V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2029.5558,2026.9535,2030.3264,2031.147,2026.533,2030.9017,2030.4962,2034.3981,2029.5588,2032.9458,2032.5143,2040.2944,2031.2684,2032.4474
2980.1216,2981.8438,2991.1763,2997.41,2995.8557,2998.695,3004.2407,3003.411,3003.4634,3013.572,3015.9778,3027.975,3014.1245,3004.6917
1112.1653,1115.6642,1134.1123,1135.1238,1127.5281,1135.5332,1150.6847,1143.6611,1138.766,1151.354,1148.7035,1184.931,1138.3082,1143.1757
1183.0714,1179.7617,1240.8643,1247.1407,1204.1581,1241.0576,1312.5403,1297.9573,1277.4104,1335.1472,1330.3383,1472.3068,1330.7352,1352.6136
5894.6304,5884.7954,5893.832,5898.256,5885.971,5901.6743,5888.657,5906.8477,5881.5547,5905.7485,5898.695,5930.47,5905.317,5901.588
3079.7476,3071.6416,3098.2686,3102.4724,3090.2012,3096.433,3144.6375,3123.9648,3106.9653,3157.2056,3153.4624,3245.3616,3172.6392,3198.18
5121.169,4907.277,5082.3374,5145.888,5022.584,4916.2227,5051.292,4897.645,4839.1187,4929.163,4716.9976,5093.2827,4743.5806,4817.808
1735.4034,1733.8986,1737.1256,1739.3885,1735.5198,1741.1971,1742.1696,1745.4374,1739.0272,1749.6517,1748.6898,1762.6804,1749.7646,1750.3257
1587.4053,1586.1475,1589.0669,1590.9625,1587.6696,1592.5818,1593.701,1596.333,1590.8707,1600.2212,1599.4185,1611.8375,1600.3451,1600.9352
2618.4392,2615.957,2616.0388,2620.8674,2612.6204,2616.499,2620.771,2620.4067,2611.8623,2626.5034,2625.2498,2644.5396,2621.557,2631.1072
2427.9336,2424.2397,2427.013,2424.906,2420.0903,2421.3103,2428.8972,2421.233,2415.888,2425.2021,2418.0728,2440.4302,2426.603,2433.0767
3669.035,3660.338,3660.4941,3664.134,3651.543,3656.7913,3648.017,3657.0872,3644.9753,3652.678,3649.3103,3665.2937,3646.2583,3652.9473
7260.6006,7248.988,7260.161,7266.2183,7236.9185,7253.7026,7213.5444,7247.005,7215.402,7231.8955,7219.032,7249.782,7193.0923,7190.283
5692.589,5677.9326,5712.0195,5721.454,5678.7236,5725.0146,5741.9023,5734.2354,5694.0044,5740.8594,5727.818,5844.632,5749.2944,5758.2847
8162.138,7992.58,8029.063,8098.458,7902.739,8055.6865,7939.7676,8082.0137,7811.592,8049.542,7899.201,8268.087,7984.3164,7981.3965
3079.7134,3077.1704,3084.29,3082.9827,3082.4185,3082.5146,3087.6538,3081.4229,3080.8748,3085.5527,3078.628,3097.7612,3081.3333,3083.7986
4061.0376,4049.9888,4060.8113,4056.199,4045.3276,4046.2957,4027.1125,4046.3154,4030.0073,4035.6487,4020.3574,4039.1719,4021.559,4027.0552
9537.081,9533.782,9543.438,9539.408,9529.951,9534.706,9545.348,9534.823,9534.831,9541.504,9537.696,9580.338,9530.163,9546.063
2688.4854,2679.8738,2702.8147,2695.8162,2681.462,2702.5347,2701.0156,2719.5386,2692.033,2721.8428,2712.3909,2777.9006,2723.1875,2731.7817
10859.922,10864.211,10887.057,10891.536,10874.741,10877.881,10892.887,10888.405,10868.1875,10904.811,10877.501,10960.912,10861.886,10902.642
2676.4712,2667.8225,2691.0933,2684.103,2669.517,2690.8608,2689.6616,2707.9924,2680.376,2710.255,2700.774,2766.7595,2711.4387,2720.1382
2849.2693,2845.056,2867.694,2872.3362,2858.4983,2874.7576,2903.0015,2899.3364,2884.759,2920.5547,2921.378,2991.8716,2917.1675,2930.5898
1904.7911,1901.7067,1911.0446,1919.6041,1912.3247,1911.4756,1932.6075,1925.1207,1926.7897,1939.4244,1942.6436,1967.3892,1936.084,1942.3121
2540.9927,2537.5647,2558.6472,2562.01,2549.6775,2563.695,2590.3335,2585.3872,2573.1982,2604.522,2605.0916,2669.3445,2601.2603,2614.4006
1581.085,1579.2549,1588.5312,1592.493,1586.9274,1588.1515,1603.031,1597.8729,1597.6189,1606.9706,1608.8085,1630.7399,1603.0875,1608.7646
