V1,V2,V3,V4,V5,V6,V7,V8
6824.8394,6825.2065,6835.245,6814.519,6830.7017,6827.889,6858.362,6872.791
7053.812,7063.795,7074.1074,7043.847,7050.6855,7062.7695,7094.9995,7111.518
7173.3506,7189.1714,7201.8174,7162.9204,7173.501,7180.2153,7237.5347,7226.7275
7660.925,7676.909,7679.419,7654.538,7657.9766,7676.821,7699.385,7712.7236
963.7878,938.2765,1202.1332,1480.4875,980.02045,952.7292,1228.4608,1541.075
9839.603,9834.644,9898.413,9961.199,10002.647,9986.437,10077.908,10147.463
3347.954,3351.3357,3341.9233,3361.4368,3372.4043,3377.968,3370.2207,3392.5178
2607.2048,2586.59,2608.9434,2647.4744,2645.8977,2620.8157,2647.3672,2686.6382
2492.355,2489.616,2492.0513,2507.345,2508.6003,2502.6404,2504.0908,2522.8901
2540.2795,2532.9404,2549.198,2545.4243,2536.165,2533.5325,2548.378,2545.2034
1156.2288,1154.3383,1153.1873,1152.7675,1154.772,1154.4694,1153.3556,1153.379
3264.526,3056.6199,3314.1562,3485.7793,3316.7737,3092.8228,3343.848,3519.0588
1759.4308,1764.826,1780.2485,1774.7208,1781.5463,1783.6184,1803.515,1797.0803
12569.7705,12575.948,12632.48,12654.879,12874.63,12808.622,12915.205,12938.482
1214.3169,1227.822,1307.8192,1343.9095,1237.067,1235.8588,1325.8187,1388.9604
2053.7615,2061.48,2129.9836,2116.4688,2105.8127,2103.5981,2175.6746,2150.9106
2440.4868,2480.2205,2464.705,2497.0422,2491.3508,2526.403,2511.182,2552.1753
4717.789,4639.745,4891.711,4778.3516,4731.417,4640.924,4883.0293,4813.9043
5771.7734,5796.6147,5842.102,5872.739,5945.966,5953.871,6040.8354,6092.6284
6314.573,6329.8555,6323.295,6396.2266,6428.18,6437.6836,6453.717,6532.1904
9736.637,9756.856,9776.691,9880.603,9911.114,9925.006,9980.314,10108.302
5076.7295,5197.6597,5214.454,5280.851,5129.2886,5226.8794,5268.936,5332.621
5991.8813,5954.803,6062.9478,6160.9263,6065.541,6019.7485,6141.939,6242.854
2335.4744,2330.6357,2349.491,2335.2373,2334.1223,2332.2732,2351.2012,2337.951
1370.9116,1369.8469,1381.4819,1369.9338,1368.3705,1370.3644,1381.2721,1372.7622
7441.297,6808.28,7231.6133,9202.332,7387.699,6871.4883,7590.8516,9467.295
9192.445,9156.288,9204.163,9158.492,9168.517,9139.903,9188.602,9175.227
4962.165,4954.0527,4901.7524,4889.2295,4982.1675,5006.0225,4991.508,4973.55
1902.7421,1892.4663,1886.6204,1883.6819,1910.8424,1895.0352,1892.8583,1891.1292
3102.2073,3114.265,3067.5388,3078.0728,3104.1711,3116.9507,3068.6204,3078.5059
2486.6326,2505.3562,2488.1394,2492.4707,2478.6594,2501.9375,2490.4185,2501.2378
4730.835,4665.6973,4683.7036,4676.1157,4766.563,4686.924,4714.7954,4692.8335
8223.921,8278.807,8289.186,8289.562,8293.624,8363.085,8392.027,8431.015
7139.085,7200.7305,7185.5747,7172.532,7131.4307,7218.059,7213.13,7243.3057
10078.553,10178.4375,10149.454,10054.1875,10100.622,10225.542,10205.08,10169.886
9014.634,8965.644,8953.339,8930.368,9003.413,8967.896,8994.431,9003.578
4399.4375,4369.102,4297.1787,4320.0264,4345.393,4358.2026,4339.3745,4352.124
