V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37021.297,37247.36,37328.72,37258.996,37266.137,37308.797,37213.695,37147.035,37293.76,37508.46,37075.51,36974.96,37308.4
3677.9648,3704.7993,3719.279,3706.223,3709.2969,3710.8445,3704.8604,3695.3428,3713.959,3739.8918,3688.2349,3670.9746,3716.0637
9631.634,9637.225,9640.413,9631.998,9628.313,9631.916,9663.223,9615.911,9610.4,9644.139,9607.996,9627.578,9646.822
2237.5688,2298.159,2295.5608,2313.8638,2261.2961,2317.9148,2311.4814,2338.0496,2244.3608,2365.647,2229.1848,2261.6265,2296.6917
1460.181,1594.1677,1595.2167,1555.6605,1562.9418,1633.6975,1566.3252,1519.6987,1522.1387,1599.7263,1367.3036,1376.6201,1514.4473
490.03503,509.01593,560.82245,532.76825,509.51685,546.1903,513.6019,531.62054,476.573,575.3154,473.58505,437.87646,484.53912
2782.0156,2873.0913,2895.8857,2899.7898,2809.89,2914.2864,2874.7793,2833.6404,2698.453,2900.9702,2649.9597,2701.645,2797.3066
2413.8909,2544.1912,2553.4854,2448.0505,2461.7747,2636.501,2492.8796,2437.6887,2338.103,2549.352,2302.0227,2291.0598,2358.8423
6609.348,6654.0615,6657.1406,6509.64,6453.864,6646.5425,6556.22,6556.0586,6347.468,6623.667,6399.246,6297.029,6245.7363
5031.716,5041.047,5018.34,4995.1743,5030.869,5060.4844,5097.8174,5001.229,5005.257,5058.131,5018.8447,5033.776,5083.463
346.54846,364.42007,379.6586,360.10992,361.57837,373.60205,358.4127,359.37433,357.9436,382.43463,338.22922,322.7098,356.57806
1039.711,1044.585,1041.5673,1042.7053,1044.7817,1047.6676,1046.5901,1040.5431,1041.3173,1047.7714,1036.5105,1040.7507,1050.4341
2301.5942,2291.401,2287.7195,2267.691,2271.825,2293.2825,2302.755,2274.8564,2252.336,2275.848,2262.329,2273.2239,2249.6978
2302.287,2296.607,2294.9849,2277.0354,2278.3884,2294.3657,2309.0083,2280.7366,2260.336,2280.3586,2267.993,2279.678,2260.2996
4220.959,4164.6113,4147.8643,4003.3467,4058.2866,4163.5093,4246.243,4049.6057,3891.1255,4052.8816,3951.2002,4025.808,3916.058
4220.959,4164.6113,4147.8643,4003.3467,4058.2866,4163.5093,4246.243,4049.6057,3891.1255,4052.8816,3951.2002,4025.808,3916.058
11999.595,12011.475,11995.587,11999.279,12006.799,12044.461,12074.732,11991.113,12003.098,12055.65,12010.193,12034.223,12081.154
4342.649,4381.8525,4394.012,4380.057,4370.045,4392.567,4374.0674,4375.382,4361.113,4408.479,4316.832,4298.855,4367.4
2667.133,2879.9912,2833.9724,2922.7864,2778.523,2868.9507,2922.4744,2784.8008,2744.3372,3030.6194,2618.082,2833.9197,2986.3909
4102.6562,4273.9194,4299.732,4318.314,4223.299,4344.365,4296.571,4245.459,4194.34,4386.9033,4081.5557,4097.468,4261.3154
1907.7891,1995.4318,2003.2266,2022.8582,1978.512,2034.8206,1998.0851,1963.1703,1886.5614,2001.5662,1793.3298,1824.4368,1944.2252
3469.0894,3576.9507,3591.3833,3631.9495,3505.3955,3679.8806,3710.0598,3673.9016,3401.7883,3773.4463,3468.4336,3494.6177,3586.751
766.14874,791.7864,789.5915,795.8134,782.0438,804.86816,799.7267,789.4525,784.15765,811.20233,763.8658,779.57764,793.79944
6408.0063,6728.7446,6676.199,6780.897,6465.143,6767.951,6780.7544,6625.163,6342.399,6780.211,6234.3535,6597.792,6664.137
1123.0044,1118.4626,1125.8197,1089.1681,1085.6981,1110.083,1106.5881,1096.5022,1060.5331,1086.559,1059.7849,1065.9556,1040.7089
2757.8242,2871.4119,2859.6902,2871.4504,2848.2908,2865.1646,2877.9219,2844.1892,2813.564,2898.9607,2732.9368,2748.9253,2853.7808
1735.7861,1862.4117,2086.6843,1944.6506,1845.4929,2016.1294,1869.3204,1813.4653,1768.628,2052.8235,1614.2623,1539.8696,1833.322
3161.0908,3527.4053,3538.9585,3638.1409,3294.6401,3638.0752,3630.0938,3307.4697,3043.6868,3676.6272,2980.1196,3191.254,3438.7798
650.8394,666.15155,690.0722,669.1733,651.23114,682.1434,659.07623,668.0718,619.6721,688.86487,624.996,605.82007,625.64294
3556.3384,3624.9714,3682.9001,3690.704,3607.2104,3716.984,3717.6062,3717.9426,3521.5117,3776.0068,3544.083,3537.3962,3632.6501
774.8546,797.4764,811.4214,784.4305,780.47186,835.0171,791.15314,791.0823,744.62476,807.89374,734.3635,736.1552,744.91364
3830.5396,3950.381,3975.844,3963.4106,3902.2844,4042.4692,4032.9373,3910.9978,3789.9182,4009.74,3753.4268,3809.034,3959.4246
1451.353,1484.5682,1526.6517,1466.8718,1454.3878,1522.792,1450.3976,1446.4047,1413.2062,1514.8497,1368.8282,1346.4724,1406.3165
