V1,V2,V3,V4,V5,V6
7274.3325,7284.7856,7278.574,7283.158,7297.23,7286.23
1529.2301,1522.5651,1508.8395,1509.0555,1563.2161,1558.7667
8566.33,8917.584,9073.2295,9311.514,9637.153,9910.819
9885.863,10287.207,10468.83,10751.785,11136.655,11455.006
7081.4893,7552.205,7774.3125,8090.5864,8545.216,8913.398
4149.323,4389.2783,4499.284,4704.013,4981.8545,5247.9053
3739.1453,3901.2524,3963.3384,4123.1113,4335.608,4554.042
2395.6902,2396.5188,2393.6936,2394.3638,2396.9675,2396.4246
2315.922,2356.8289,2375.3894,2408.6619,2454.5352,2498.356
2314.0125,2320.5752,2318.5894,2332.7397,2356.9656,2382.3037
1495.1605,1516.6761,1526.235,1545.0938,1570.4753,1594.9563
2016.7302,2097.5374,2138.155,2198.2256,2283.3223,2356.5986
4695.199,4805.8335,4807.5513,4878.057,4952.9077,4982.1284
5099.527,5207.138,5221.6836,5283.9106,5362.2417,5401.979
5445.2617,5641.912,5703.199,5827.62,5999.4224,6111.5615
2565.9546,2591.0444,2577.5986,2583.1958,2600.2368,2592.0781
3864.9534,3965.8398,3984.2158,4039.4146,4114.817,4152.6733
3180.992,3216.9421,3201.4263,3212.3225,3230.3108,3223.1194
3194.8628,3526.5435,3691.6873,3986.112,4388.2314,4768.4507
6538.0176,6734.919,6826.5444,7005.929,7227.1416,7423.948
9595.154,10170.819,10441.073,10949.023,11599.244,12179.898
4458.609,4611.8496,4653.411,4839.8394,5097.487,5356.2363
9586.303,9541.184,9478.28,9532.243,9728.194,9789.901
8780.16,8739.3,8685.264,8786.174,9015.401,9168.443
2429.92,2528.018,2569.9722,2670.3428,2801.0508,2930.2144
7433.2764,7632.051,7653.7383,7946.4116,8333.555,8701.133
1785.185,1832.9423,1843.8351,1907.1807,1996.8005,2081.8884
1725.7592,1752.2286,1751.4036,1797.4784,1867.6971,1931.4397
4198.2354,4252.775,4264.132,4330.725,4413.2183,4502.7104
4536.1055,4712.1685,4796.8623,4924.0537,5107.7017,5265.3516
3734.042,3732.8164,3723.099,3723.658,3744.381,3750.9363
5457.8306,5567.682,5615.692,5712.4136,5843.786,5972.831
1279.9167,1312.2711,1328.1301,1350.7872,1384.9316,1414.6091
1706.3883,1741.6361,1757.9316,1785.3038,1825.367,1863.9232
3430.2732,3531.6606,3577.736,3663.3672,3779.3137,3890.1987
1168.9504,1186.3752,1193.4233,1209.2896,1231.1154,1253.5072
4028.245,4141.9,4191.103,4293.749,4429.942,4563.9434
2669.3418,2877.3174,2533.8853,2555.6382,2834.5942,2534.8726
3787.0752,3901.792,3899.1436,3957.473,4044.5352,4085.8357
4764.959,4933.753,4975.845,5079.2344,5212.5107,5291.3525
14713.949,15016.831,15054.09,15220.189,15431.026,15539.283
5831.0522,6332.503,6577.3506,6944.05,7437.546,7846.352
2924.0454,3138.5298,3235.3433,3385.2607,3587.662,3743.527
10241.791,10759.044,10974.67,11314.017,11773.771,12104.9
10194.472,10618.98,10793.861,11077.447,11450.184,11727.928
6436.674,7028.1836,7312.287,7732.95,8304.055,8765.436
6445.3257,7037.781,7322.35,7743.704,8315.781,8778.145
6885.0693,6913.4736,6869.1987,6866.1416,6901.0903,6850.2036
2515.889,2552.9749,2567.6523,2590.052,2622.8645,2646.8296
18623.479,18927.17,19035.451,19218.785,19472.484,19662.06
8203.658,8306.98,8333.829,8393.914,8472.926,8529.676
17759.396,19496.559,20334.82,21630.135,23439.004,24925.797
19735.48,22440.105,23693.484,26103.07,29179.297,31929.14
8895.074,10061.885,10613.67,11511.473,12671.004,13592.776
2741.38,3088.9043,3258.5925,3525.979,3881.1523,4169.8936
12114.458,13862.628,14733.467,16084.589,17913.344,19434.05
2126.0,2317.4443,2411.9834,2553.8435,2750.8555,2915.8914
10167.809,10495.223,10565.886,10783.934,11043.516,11189.002
10088.429,10286.079,10366.133,10513.817,10692.863,10841.652
10159.148,10533.432,10684.5205,10946.897,11276.169,11524.229
10040.155,10130.326,10065.727,10118.91,10194.051,10212.793
10116.98,10650.911,10470.199,10688.125,11112.744,11009.281
10285.322,10995.319,11214.888,11669.892,12262.968,12690.28
13382.832,14072.611,14377.244,14889.35,15602.045,16100.178
10592.603,11303.642,11557.466,12161.105,12855.471,13358.882
10200.135,10702.293,10932.738,11368.762,11905.157,12314.486
10040.666,10132.761,10093.731,10119.306,10169.8545,10157.22
10048.287,10077.519,10058.061,10064.918,10109.3125,10092.725
10203.232,10609.086,10756.318,11003.413,11345.426,11565.025
10100.31,10136.207,10094.174,10091.373,10113.692,10065.38
10034.821,10138.197,10102.768,10158.698,10222.928,10191.025
10351.857,10996.769,11309.081,11750.541,12382.713,12893.77
10024.266,10095.46,10028.725,10089.936,10155.642,10202.969
10072.047,10159.1,10038.051,10071.112,10099.563,10054.14
10010.548,10049.205,9983.682,9996.861,10014.727,9983.739
10089.635,10218.002,10214.143,10285.741,10363.969,10439.192
10178.549,10609.606,10783.807,11113.049,11523.318,11869.928
9871.654,10353.049,10499.091,10812.139,11226.641,11455.053
4774.5405,4854.2324,4793.272,4794.4644,4963.832,4840.8384
3813.0037,3991.5435,3734.1262,3721.894,3919.836,3613.0486
4507.618,4841.0967,4998.2285,5224.3877,5545.927,5788.6826
11067.768,11223.468,11163.617,11273.308,11408.979,11331.059
9563.578,10091.535,10266.855,10612.907,11062.15,11342.389
3734.6416,3738.1433,3733.844,3735.3582,3738.148,3736.1128
1595.8374,1673.8038,1713.4757,1771.5376,1853.501,1922.415
2530.9883,2575.3618,2545.8738,2559.775,2583.2559,2566.3872
10110.064,10203.969,10131.577,10174.607,10334.81,10195.425
9673.201,9751.844,9618.009,9636.806,9730.395,9514.166
777.2404,832.38336,812.8574,819.001,920.1429,868.75275
6283.283,6341.0723,6269.706,6299.177,6328.616,6279.302
7943.325,8070.3467,8110.088,8278.09,8452.004,8594.83
1759.1702,1787.2375,1745.7529,1738.2775,1813.617,1728.4072
8098.665,8105.5645,8091.0303,8085.6963,8104.4062,8083.6704
6716.557,6724.034,6709.946,6714.9336,6721.6216,6711.1953
6512.497,6524.5205,6502.953,6501.841,6506.712,6490.3003
7355.6865,7426.8203,7438.3364,7478.308,7526.714,7562.9375
6412.3984,6437.2134,6431.168,6444.1387,6462.5933,6466.912
8751.569,8785.296,8755.67,8747.703,8775.895,8732.743
8120.3105,8160.4883,8143.623,8165.5615,8200.428,8207.646
8414.03,8459.784,8381.144,8389.42,8439.614,8345.012
1646.6484,1680.3036,1637.1929,1633.0599,1640.9462,1611.1001
8953.051,8995.069,8974.782,8992.97,9030.146,9012.007
3544.9849,3562.7349,3543.3738,3552.8994,3589.3247,3589.061
1790.4094,1821.1863,1818.7205,1831.6876,1852.2771,1873.4125
2088.7737,2099.521,2085.7349,2083.4622,2092.62,2079.0928
2117.6997,2143.849,2123.7358,2138.4133,2177.0254,2177.3396
3117.404,3149.661,3104.6643,3117.7808,3140.2485,3090.8167
1295.5192,1342.1146,1274.6011,1266.1697,1293.6211,1227.8768
2525.8806,2551.5955,2514.5378,2518.5515,2541.9707,2499.9543
2012.158,2021.1069,2009.989,2010.9664,2022.1932,2008.8298
2689.903,2723.5857,2691.433,2687.1587,2691.5847,2674.037
1259.4254,1274.1455,1254.7319,1249.7618,1255.8971,1244.5796
1820.2207,1824.3563,1818.432,1816.4102,1823.3503,1815.6749
1942.9207,1958.7096,1930.4736,1927.6919,1937.7483,1902.0198
1640.396,1645.6295,1640.3822,1641.7286,1643.0061,1640.094
2204.4233,2209.0894,2194.6538,2188.4404,2199.7285,2179.011
2248.7368,2307.1946,2239.7751,2238.281,2245.4668,2199.141
1829.1761,1857.9084,1817.6482,1815.7534,1821.551,1801.3683
2499.0862,2508.1177,2498.2766,2498.8784,2501.0977,2493.6033
1932.7266,1957.453,1922.8611,1931.7505,1969.8649,1966.8152
3819.9028,3853.5571,3779.7588,3756.594,3798.3174,3744.4192
2239.551,2239.7417,2225.9087,2220.011,2255.163,2237.3096
2355.0469,2398.9658,2406.4944,2442.7104,2490.106,2542.248
2409.3682,2443.1619,2400.8745,2414.053,2437.4204,2461.1355
8043.7046,8070.391,8028.33,8029.3867,8044.814,7994.0293
4340.66,4403.5786,4342.0293,4345.87,4371.551,4323.152
7038.087,7064.065,7040.452,7040.493,7044.4775,7023.7173
9397.178,9406.91,9397.971,9400.729,9436.519,9443.07
3541.8833,3589.6628,3510.0579,3496.6338,3551.3928,3446.5464
6807.5923,6811.807,6801.013,6799.8535,6813.2114,6799.434
8297.796,8315.602,8308.913,8322.446,8334.265,8328.485
7252.8633,7257.285,7252.032,7252.132,7253.1304,7250.984
4807.8813,5261.1562,5429.71,5687.783,6092.8755,6321.7812
10827.905,11553.073,11908.456,12445.744,13181.616,13758.66
8564.146,9167.757,9423.121,9959.668,10603.418,11147.707
3374.127,3680.7751,3809.1628,4044.692,4347.758,4546.9873
3343.1208,3529.65,3616.7432,3741.6323,3914.2886,4059.005
11669.959,11927.107,11981.205,12199.076,12458.749,12618.664
10148.802,10846.506,11155.257,11669.443,12366.697,12948.748
6229.125,6544.451,6699.8833,6909.7935,7212.0845,7488.0967
4334.048,4633.982,4748.008,4964.7285,5228.072,5418.811
