V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
668.3026,634.7785,567.12286,643.97577,552.8002,897.8207,496.19293,526.62524,528.21216,575.0663,594.6038,639.5097,671.6216,710.97546,717.7322,772.40125,819.0666,721.50525,766.42786,793.6905,821.55054,724.8876,726.21625,651.5675,618.5148,631.6699,576.4659,573.8882,515.08704,510.14307,510.80734,527.0801,596.9572,565.00653,574.38635,1201.593,632.7846,675.34906,734.1675,775.31934,771.3966,808.8207,817.4273,804.0075,778.62823,734.38574,728.19794,653.5292
2993.1543,2851.8037,2541.6548,2885.6648,2484.0474,3863.597,2189.5945,2282.024,2263.6838,2469.2412,2538.3633,2709.2673,2886.0745,3024.0244,3077.1636,3310.2395,3507.5112,3143.0955,3347.523,3462.875,3601.6973,3203.2485,3240.7568,2929.6077,2757.2378,2849.2737,2592.9192,2574.8044,2312.4365,2265.307,2278.6484,2314.8542,2585.5225,2443.9688,2476.1377,5104.7266,2748.194,2874.9287,3125.5593,3317.7087,3340.891,3499.0957,3551.4517,3531.0598,3438.0513,3277.187,3257.033,2949.9165
1243.1157,1182.591,1109.262,1221.2683,1053.0449,1447.6361,955.40015,954.07355,971.2028,1029.7094,1042.207,1040.1521,1088.9291,1124.3478,1134.1698,1198.0398,1245.9718,1163.5748,1236.6171,1286.0278,1367.3037,1222.9795,1254.0398,1203.9106,1074.1755,1190.7593,1088.6875,1093.6097,994.0274,966.6209,991.5648,949.4077,1041.1058,983.32556,984.359,1737.5381,1076.4794,1077.5369,1151.2421,1194.2048,1214.0437,1276.9636,1281.865,1288.901,1291.0585,1274.8536,1272.0444,1196.5953
5303.036,5137.588,4818.5693,5239.3833,4446.2847,6376.008,4050.7388,3982.8242,3919.9587,4064.122,4014.317,4185.189,4391.8027,4542.5186,4629.486,4870.8784,5180.3037,4860.9194,5305.72,5472.261,5794.6626,5199.365,5493.0645,5175.583,4701.7876,5244.1304,4842.658,4725.4087,4397.8345,4257.073,4186.5894,4026.3801,4306.534,4066.89,4038.8694,7587.569,4369.088,4314.005,4637.1562,4865.7085,5035.496,5296.2817,5480.5117,5662.5513,5605.9526,5451.629,5537.1465,5274.678
3206.7944,2969.8914,2684.5637,3114.6943,2280.304,4041.5342,1907.908,1876.1626,1940.91,2071.4866,2052.293,2017.021,2224.9556,2404.5916,2421.278,2596.7683,2851.4146,2562.4258,2950.9482,3217.3657,3590.3125,2922.9438,3177.4966,3011.024,2360.683,2955.7424,2598.705,2574.5583,2153.2952,2049.1904,2026.1865,1752.2358,2174.3376,1897.7251,1848.7607,5050.2334,2193.481,2131.741,2477.2087,2604.8538,2741.5425,3042.3223,3135.9539,3203.2637,3283.259,3203.5496,3214.88,3005.0544
5624.345,5630.2627,5530.9995,6003.529,5876.1274,7798.416,6070.9165,6421.24,6576.165,6775.8013,6794.75,6881.4565,6770.1943,6841.9355,6688.5757,6715.9854,6695.4854,6175.5894,5950.4077,6098.976,6158.0923,5761.211,5482.041,5428.043,5673.3833,5425.1714,5539.854,5800.801,5788.946,6017.007,5947.8916,6145.285,6606.3823,6551.3276,6381.8486,9308.199,6337.9414,6649.5977,6710.8794,6639.337,6323.6265,6352.2407,6200.508,5887.3486,5729.7593,5665.2734,5616.676,5388.253
44203.33,42154.63,39886.035,43457.266,35989.945,51933.945,32506.887,31834.855,32060.035,33402.566,33057.45,32910.914,34750.39,36022.387,36454.727,37955.785,40308.75,38000.766,41635.773,43786.816,47322.832,41459.777,44048.242,42503.71,36777.37,42381.582,39174.445,38551.914,35026.113,34088.664,33719.234,31192.557,34531.98,32156.602,31736.316,60481.44,34843.19,33638.133,36814.84,37962.6,39534.61,42016.023,43150.613,43909.25,44709.742,44091.2,44393.324,42650.348
29855.445,28598.578,25997.906,29176.127,25951.238,39381.543,24045.918,25422.15,26014.43,27554.928,28711.258,30233.994,31244.389,32808.047,32782.953,35298.113,36804.965,32699.133,34082.26,35170.78,36126.027,32392.863,31780.28,29186.26,28240.455,28452.348,26352.916,26567.428,24091.979,24084.275,24436.438,25277.34,28207.674,26942.414,27224.566,52008.156,29510.203,31668.852,33387.234,35157.695,34788.9,36199.035,36069.465,35594.914,34228.59,32582.367,32373.215,29092.504
36692.75,35543.766,32981.62,35736.707,32136.645,44381.156,29663.64,30486.184,30402.506,31991.969,32574.463,34164.92,35584.17,36865.832,37178.746,39497.21,41141.105,37954.176,39719.85,40789.242,42141.004,38531.73,38885.887,36231.242,34713.7,35627.336,33335.664,33099.094,30982.27,30410.742,30544.316,30734.248,33119.906,31784.96,32069.918,55320.445,34542.754,35740.24,37644.312,39466.72,39767.574,41168.066,41646.215,41595.344,40728.617,39187.17,39062.844,36475.125
438.9815,429.37906,419.88776,435.15176,409.20502,472.00497,397.04794,396.15826,398.656,405.5816,406.7245,408.2646,414.94327,421.14987,420.13416,432.04657,439.57947,426.01974,437.2404,447.12695,458.0684,434.7869,440.7178,433.0824,414.26843,431.0969,417.0544,416.44058,401.68143,397.63452,400.9963,394.0926,409.25778,399.41855,400.5598,517.86646,412.35623,414.94864,423.01025,431.37683,434.13806,446.08188,444.96594,449.42175,448.02194,443.23495,442.28366,431.25302
