V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2023.5323,2023.3667,2024.9537,2027.8441,2023.59,2027.4897,2029.247,2024.4852,2023.6423,2023.1893,2021.9943,2020.1597,2023.4152,2022.8142
2981.2651,2983.2754,2990.3394,2997.7583,3009.2708,3018.3433,3018.1895,3025.239,3028.2246,3028.1533,3029.5676,3026.8223,3027.7476,3022.3323
1136.0477,1139.1744,1145.6144,1166.479,1174.503,1186.3938,1182.4727,1187.3048,1185.2977,1174.1122,1167.524,1155.6581,1161.9863,1160.7948
1260.8376,1260.1208,1277.4694,1292.3733,1323.458,1350.2662,1339.7789,1419.3464,1422.1362,1412.2584,1441.7786,1420.4325,1471.0242,1468.9055
5849.663,5857.608,5856.211,5860.482,5834.9985,5843.875,5845.857,5826.2725,5817.2666,5813.127,5807.3394,5807.5923,5823.1973,5829.179
3066.662,3028.2556,3010.513,3004.7026,2994.428,3009.839,3027.5864,3065.5544,3082.8557,3100.2832,3130.4688,3165.6936,3200.7522,3216.9487
4922.625,4725.974,4748.55,4677.996,4549.0483,4517.877,4347.1436,4198.2524,4093.515,4003.2144,3989.2012,3840.099,3974.533,4107.2188
1726.2347,1726.7458,1726.2622,1725.6501,1723.2936,1725.4545,1727.0453,1729.8958,1729.7916,1729.9108,1731.917,1732.6642,1739.9299,1741.1157
1579.9307,1580.3184,1579.88,1579.3103,1577.5039,1579.3479,1580.7139,1583.6437,1583.6161,1583.801,1585.7145,1586.4944,1592.8821,1593.8705
2590.8406,2587.5354,2580.0876,2575.4473,2571.4458,2569.1157,2572.1724,2576.519,2574.7808,2576.9097,2579.2053,2583.7642,2589.3035,2594.3667
2425.9705,2416.7927,2407.321,2396.337,2387.533,2385.449,2384.2463,2384.9326,2387.0332,2386.536,2391.821,2399.1843,2407.285,2420.2544
3619.2178,3619.2393,3613.8828,3609.0134,3591.3635,3592.4395,3590.7207,3578.1135,3568.977,3567.2317,3565.1072,3562.8723,3569.657,3573.5571
7151.3447,7167.036,7174.3228,7178.8047,7124.0386,7132.5312,7129.412,7062.207,7034.102,7023.8564,6992.02,6966.7744,6954.806,6962.345
