V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
659.70337,642.35516,616.3283,557.6731,578.456,562.9635,596.5921,580.08417,604.30206,602.4964,634.09314,662.92847,692.7775,729.3853,700.7894,757.04395,807.6176,758.0479,758.9613,770.5227,709.3812,730.8392,690.68915,684.6757,664.70703,615.79706,602.7231,648.3256,561.2274,599.66473,1464.2449,566.62976,591.86084,623.1194,608.9785,642.63934,666.3007,703.105,718.3058,1108.3221,756.1332,769.5792,770.22437,742.9095,716.60376,1076.5474,665.56836,649.81165
2945.9001,2826.2834,2700.2986,2472.553,2561.3936,2464.5361,2604.4678,2499.0708,2607.1147,2589.8562,2727.1624,2854.1597,2958.2146,3112.1392,3004.9343,3246.5112,3472.204,3289.9358,3305.8838,3349.322,3079.3767,3199.4907,3050.358,3015.9631,2927.6064,2716.9023,2664.1685,2837.3745,2467.7505,2597.9126,6185.657,2477.6428,2570.8413,2676.275,2618.3896,2733.8552,2852.094,3004.7786,3091.2737,4730.9175,3242.1802,3324.3381,3348.0059,3256.2227,3151.5715,4676.5723,2953.0356,2884.0117
1208.7089,1153.3904,1124.073,1066.8,1086.7113,1065.6512,1060.4346,1044.7933,1065.2535,1079.835,1079.4222,1099.0294,1135.3525,1173.8091,1139.345,1185.1322,1270.217,1213.9052,1238.2373,1245.7672,1180.6108,1224.9658,1211.1798,1213.0763,1175.7874,1117.1075,1119.2196,1151.6646,1057.8464,1071.6136,2093.2,1037.8939,1032.3302,1071.133,1056.1901,1070.2229,1115.8506,1134.7261,1175.4493,1615.2129,1219.2426,1263.9786,1236.2437,1211.0421,1212.724,1638.4526,1190.0194,1168.1252
5191.027,4962.826,4784.4004,4589.354,4648.1064,4497.8467,4519.8784,4290.294,4375.8364,4267.0386,4327.5947,4451.3477,4544.745,4808.2666,4662.3447,4868.517,5360.871,5163.423,5246.9683,5354.126,5098.308,5283.2617,5230.311,5277.741,5096.298,4830.9526,4867.577,4856.0796,4587.641,4471.9663,9243.2705,4324.128,4273.3037,4392.853,4327.62,4290.6084,4539.046,4613.129,4773.5986,6944.165,5060.0654,5222.761,5292.427,5210.7915,5275.7827,7286.4785,5159.946,5122.624
3000.8623,2732.7112,2632.7332,2446.445,2461.275,2434.3955,2343.3167,2219.177,2302.8464,2254.1748,2330.026,2314.0535,2396.025,2624.444,2490.6057,2641.8127,3076.8994,2847.9368,2987.745,3057.4856,2815.5178,3017.7607,2979.9985,3031.926,2870.2314,2654.7102,2671.8433,2711.7905,2407.3887,2325.7815,6560.2373,2200.5186,2166.4897,2298.6316,2209.7078,2201.143,2397.7043,2447.2266,2625.9905,4400.414,2894.7983,3081.1733,2959.3853,2875.2795,2976.114,4721.415,2918.5227,2847.8755
5561.078,5716.046,5804.988,5649.303,5814.488,6096.0083,6172.5728,6339.4087,6401.07,6585.734,6687.3623,6628.6274,6731.572,6811.5874,6613.2075,6499.887,6697.5454,6231.87,6101.5576,6093.8853,5817.7905,5751.0957,5677.0366,5576.1025,5782.3877,5740.489,5724.756,6286.093,5923.2373,6486.127,10767.219,6264.2227,6465.7617,6534.113,6382.8354,6686.34,6529.1133,6679.824,6527.2397,8448.43,6472.994,6250.501,6098.2393,6031.9683,5823.922,7706.4297,5665.201,5729.9414
42518.34,40132.617,39253.324,37434.906,37614.887,37254.973,36307.645,34971.023,35574.695,35071.58,35620.59,35327.85,36284.59,38417.176,37113.75,38496.49,42706.06,40632.94,41850.934,42560.836,40533.777,42461.273,42264.03,42745.23,41071.96,39369.855,39721.582,39717.31,37170.19,36210.965,74857.555,34858.117,34397.047,35545.06,34766.703,34214.77,36558.43,36727.266,38350.05,54818.707,40904.81,42556.34,41654.535,41060.832,42088.875,58318.645,41761.582,41202.16
29901.102,29313.854,28246.07,26275.951,27123.434,26651.727,27918.055,27556.758,28391.926,28796.256,29627.215,30922.727,32179.963,33161.402,32367.863,33996.79,35809.844,33747.25,33946.93,34169.125,31622.262,32287.809,30951.115,30595.738,29934.354,27988.389,27519.37,29674.74,26260.326,28199.906,62120.39,26960.098,27720.6,29243.658,28625.682,30354.592,30794.043,32273.742,32651.47,48011.523,34048.457,34436.434,34304.496,33282.406,32074.883,46183.734,29844.17,29420.977
36340.035,35421.83,34229.746,32375.09,33112.07,32341.426,33453.92,32577.467,33383.426,33232.715,34240.367,35467.453,36413.977,37694.043,36753.082,38702.727,40887.38,39211.68,39381.47,39830.043,37536.98,38408.97,37331.934,37086.61,36163.598,34311.297,34004.16,35315.32,32371.83,33360.94,64877.508,32273.723,33081.332,33926.367,33355.68,34451.28,35435.04,36636.96,37428.465,51749.926,38822.6,39509.83,39818.07,39060.785,38120.824,51309.7,36457.492,35945.367
435.07614,425.20282,421.04883,414.85007,415.94638,412.95465,411.57913,408.6497,412.8275,413.61798,413.98053,416.7893,421.73334,428.8056,423.37567,430.2855,443.3421,435.5094,437.94937,440.43552,430.22406,437.41467,434.6602,434.6974,429.89706,420.47336,421.3695,424.22595,412.57455,413.4331,572.5027,408.43228,407.15884,413.76733,410.639,413.42688,420.21332,422.2546,428.05957,496.075,435.77426,443.14838,439.2745,435.887,435.58798,501.5699,431.7995,428.55435
29247.268,29331.41,29007.76,27343.104,28093.281,28984.21,29629.916,30140.172,30833.543,31229.193,32554.395,32745.652,33983.62,34756.67,34053.723,34736.29,36246.953,33733.223,33720.22,33736.074,31538.498,31542.043,30442.545,29925.637,29967.006,28580.273,28215.055,31094.97,27932.09,30486.832,60955.64,29292.469,30403.16,31750.299,31104.67,32892.97,32431.707,34083.14,33908.582,47241.168,34752.895,34417.375,33561.59,32763.88,31477.973,44248.254,29649.762,29052.658
8350.169,8136.4443,7841.9854,7248.305,7491.189,7375.1826,7724.0303,7637.909,7881.5283,8005.6816,8257.713,8636.357,9002.814,9317.439,9061.695,9562.492,10145.862,9492.731,9584.225,9653.601,8857.186,9064.565,8658.4,8563.082,8345.761,7752.7754,7621.16,8270.602,7250.8867,7802.0376,18255.703,7416.4697,7671.022,8134.0215,7951.7817,8456.407,8589.204,9034.889,9172.028,13863.268,9613.878,9747.524,9652.364,9347.891,8969.346,13348.225,8325.57,8166.8555
564.2902,567.9907,522.4538,508.02222,528.6446,518.33844,545.3793,529.4508,542.5059,568.3393,569.0057,589.49506,611.0471,620.6875,614.8231,613.82544,644.21893,601.9706,617.31335,614.0504,558.9456,578.36896,560.1356,549.477,562.46204,523.9751,529.7854,577.43146,507.9105,557.54675,1255.2256,527.6112,507.49008,558.22406,542.24023,574.86896,581.4468,602.97076,606.3214,933.9923,623.66095,626.832,630.67017,598.6057,587.69073,901.35767,553.9544,556.5387
