V1,V2,V3,V4,V5,V6
7272.1074,7294.6416,7319.2427,7281.3403,7331.382,7281.8877
1505.9124,1497.815,1524.9417,1463.1676,1502.2119,1499.5066
8566.344,8809.166,9107.983,9199.02,9604.506,9703.513
9895.75,10169.595,10526.442,10652.175,11129.407,11256.778
7071.7314,7387.256,7777.3364,7876.8135,8421.598,8554.272
4125.025,4273.8496,4500.155,4591.8203,4906.8765,5054.497
3728.4644,3816.602,3990.9944,4052.5425,4296.7485,4430.5625
2396.043,2396.0002,2399.252,2392.428,2396.8044,2397.291
2310.2446,2335.2598,2371.7212,2385.612,2436.4377,2459.214
2313.256,2310.003,2327.4688,2318.4543,2346.9246,2361.0947
1492.4198,1505.3481,1525.7253,1533.878,1561.9254,1575.6414
2008.6426,2060.0325,2131.1084,2156.8438,2254.428,2287.474
4703.23,4820.9883,4919.3286,4864.6006,5047.1445,4972.1973
5090.087,5198.741,5285.3086,5255.982,5415.337,5373.9194
5443.535,5603.339,5760.576,5770.9766,6020.417,6030.5864
2571.898,2604.8826,2622.793,2580.7166,2644.0962,2573.9958
3851.6646,3951.1458,4024.4036,3994.8247,4135.436,4097.174
3181.6765,3224.6973,3242.1685,3205.592,3274.0964,3202.9902
3157.175,3350.519,3673.151,3790.1697,4253.025,4470.199
6529.1226,6643.3115,6830.8394,6911.5723,7172.216,7275.132
9563.36,9911.631,10469.418,10711.814,11478.439,11787.523
4455.7183,4509.3203,4718.369,4752.3496,5052.4546,5207.4644
9510.32,9479.523,9641.4375,9445.766,9642.112,9706.704
8762.696,8712.992,8899.886,8753.568,9019.335,9154.861
2421.908,2469.6497,2581.4724,2618.9224,2769.9536,2847.4917
7376.406,7408.6777,7674.6523,7668.11,8094.963,8285.094
1779.6545,1794.8811,1863.0278,1869.6987,1971.7749,2019.8121
1717.6626,1718.9482,1765.0657,1754.9294,1833.1526,1867.7794
4194.616,4211.303,4278.071,4288.416,4384.4,4432.109
4518.8525,4632.832,4784.7593,4835.253,5047.932,5117.6426
3736.7893,3737.9624,3750.0017,3718.0708,3746.4214,3755.665
5444.3945,5509.784,5612.8003,5652.427,5797.4277,5869.9863
1276.2118,1296.9095,1325.3168,1332.8779,1372.5647,1385.75
1701.2155,1722.599,1754.031,1762.6567,1807.1555,1826.6528
3419.0684,3481.1775,3575.6523,3613.7407,3743.435,3803.4053
1167.1741,1177.0454,1194.0498,1199.6699,1223.5735,1236.6963
4015.665,4082.2832,4191.906,4236.7886,4387.279,4464.3354
1932.3691,2782.1216,3187.2002,2013.3037,3474.3877,2820.6455
3708.7048,3796.5342,3849.3237,3749.7432,3903.8828,3819.3958
4735.2666,4871.605,5000.6157,4958.3564,5168.3823,5119.541
14633.116,14904.032,15105.835,14967.731,15371.092,15181.921
5831.134,6160.962,6598.917,6751.524,7340.242,7505.7617
2934.3765,3082.8457,3267.359,3322.108,3571.0872,3627.3628
10194.279,10545.43,10927.289,10946.137,11504.268,11541.029
10168.936,10460.738,10787.095,10819.942,11282.341,11327.189
6426.3174,6803.952,7281.5244,7407.4756,8066.959,8222.529
6434.877,6813.075,7291.5854,7417.93,8078.569,8234.604
6789.3735,6859.292,6907.5137,6761.267,6923.3945,6846.285
2513.5403,2541.1057,2568.6228,2570.9841,2613.487,2617.4312
18596.58,18829.553,19057.3,19062.615,19411.598,19426.893
8181.1865,8265.197,8336.806,8315.677,8439.143,8422.968
17670.822,18799.375,20289.672,20889.617,22958.543,23619.062
19562.89,21194.06,23702.934,24842.535,28383.25,29840.723
8937.863,9702.607,10745.145,11157.818,12537.402,12929.839
2741.394,2968.2542,3280.1284,3406.7744,3828.428,3955.3499
12064.328,13201.238,14776.121,15409.51,17576.564,18263.406
2123.99,2252.063,2424.4146,2488.6064,2726.9731,2798.2827
10149.357,10427.965,10675.506,10589.471,11016.391,10918.345
10094.118,10225.161,10386.408,10438.258,10656.829,10710.162
10162.287,10420.131,10722.494,10773.516,11186.836,11244.986
9926.418,9977.646,10063.457,9866.793,10110.716,10017.482
9986.795,10625.623,11113.113,10206.723,11559.32,10671.58
10227.967,10769.496,11315.645,11315.724,12142.829,12139.684
13427.281,13899.228,14500.879,14719.759,15564.152,15781.314
10563.73,11008.205,11611.814,11707.741,12585.707,12743.912
10203.158,10503.737,10946.553,11090.211,11705.545,11878.064
10001.866,10108.913,10149.887,10030.968,10220.593,10054.455
10045.171,10101.083,10150.836,10069.034,10189.367,10079.619
10116.536,10399.137,10667.232,10599.545,11025.5,10971.835
10023.584,10096.936,10099.406,9950.298,10079.063,10047.235
10003.241,10148.374,10326.1455,10074.297,10402.463,10093.67
10322.121,10736.811,11251.771,11383.236,12106.904,12282.43
9976.769,10021.45,10064.281,9897.318,10054.209,10021.532
10018.767,10141.606,10163.244,9984.119,10204.05,9996.348
9995.546,10054.271,10063.729,9983.402,10086.498,9972.113
10020.122,10116.748,10154.656,10095.487,10235.471,10185.696
10181.77,10449.537,10801.137,10932.195,11395.572,11542.458
9814.911,10192.034,10575.199,10495.437,11097.706,11013.996
4719.789,4962.824,5224.6816,4801.911,5253.2246,4900.7314
3377.9077,3946.7192,4195.4204,3419.6018,4458.499,3992.0623
4487.556,4697.702,4949.8765,4992.802,5352.2993,5416.9326
10980.671,11252.882,11608.975,11133.213,11775.446,11216.405
9497.841,9886.586,10298.446,10248.383,10866.672,10816.285
3730.439,3734.27,3741.9888,3725.0645,3737.8765,3731.8425
1587.6414,1632.3429,1702.809,1723.0964,1811.3552,1841.8262
2537.7664,2591.5557,2620.5635,2552.2551,2652.2495,2558.8916
10088.944,10227.508,10454.228,10015.058,10572.286,10293.14
9609.039,9851.8955,10063.972,9672.843,10163.356,9725.675
750.7327,885.1963,1070.6392,806.204,1088.0294,860.5463
6216.177,6322.0767,6450.364,6220.3013,6467.1733,6273.3403
7919.618,7971.7104,8111.121,8146.0547,8359.51,8421.1045
1606.0703,1691.599,1726.0515,1538.8412,1801.2449,1669.598
8051.12,8077.783,8067.486,8011.845,8071.3687,8042.446
6697.1567,6720.501,6735.1157,6702.2056,6741.9033,6717.901
6487.4775,6514.021,6510.74,6449.897,6481.6187,6491.053
7327.3066,7386.1113,7421.8096,7388.6133,7472.3867,7447.566
6408.904,6435.2764,6454.2925,6437.6436,6483.2065,6456.5107
8728.773,8792.75,8801.742,8745.734,8846.432,8715.219
8099.811,8130.4644,8160.7935,8098.241,8181.2773,8140.5596
8362.528,8502.206,8560.284,8413.543,8629.768,8469.46
1615.2662,1663.7487,1693.043,1546.0583,1613.7139,1633.3562
8934.938,8990.433,9062.809,8964.948,9111.585,8994.626
3522.2559,3525.5679,3566.7324,3498.7761,3567.029,3553.588
1770.291,1797.2012,1802.3424,1775.8948,1815.2506,1803.6703
2058.2817,2083.5889,2096.9219,2054.3867,2099.942,2079.8877
2108.1318,2127.7695,2147.0715,2094.5237,2174.9146,2146.9
3088.9011,3167.7913,3214.9116,3110.54,3227.3198,3152.1533
1163.6475,1241.6252,1276.0334,1073.4211,1265.657,1198.2139
2488.367,2534.445,2569.8538,2500.4702,2597.0876,2483.5413
2011.5145,2031.2192,2048.2212,2015.5771,2054.0789,2020.0599
2665.9114,2723.1594,2749.1245,2630.9514,2715.9443,2695.319
1247.224,1275.528,1280.2047,1218.1211,1248.5829,1254.2506
1821.2428,1833.5836,1838.3226,1820.0979,1846.4142,1832.3008
1883.9244,1912.7802,1923.9944,1831.9788,1913.1875,1885.1597
1635.1692,1642.859,1649.1133,1630.1704,1645.5137,1639.1063
2168.2085,2192.9353,2178.5217,2127.6096,2166.2417,2158.9006
2185.8706,2290.1626,2310.2073,2119.93,2253.7993,2214.4702
1839.5317,1892.131,1904.848,1804.5054,1873.3174,1862.2837
2501.374,2518.1055,2528.3364,2495.4155,2525.38,2513.7163
1913.0505,1942.4569,1961.0774,1872.9028,1966.8021,1943.1483
3775.9653,3830.6553,3878.0063,3621.3103,3732.8591,3764.694
2221.28,2220.9722,2241.45,2165.9233,2214.8333,2217.2905
2340.758,2355.9695,2386.4075,2372.427,2428.225,2450.4167
2363.491,2377.9458,2409.3904,2342.909,2404.6912,2397.5544
7964.99,8008.515,8034.2075,7918.831,8039.583,7991.436
4319.573,4411.23,4511.238,4306.161,4480.349,4367.692
6977.9526,7014.625,7059.0645,6940.3853,7032.193,7016.8613
9389.11,9392.467,9423.428,9373.463,9418.893,9416.121
3374.0605,3496.3748,3559.2427,3312.3413,3592.5889,3450.9736
6787.0728,6801.386,6793.33,6761.8184,6794.005,6782.6255
8284.397,8308.99,8344.519,8293.908,8355.293,8303.733
7248.653,7256.4995,7260.3867,7243.247,7256.0234,7254.729
4729.817,5067.9805,5384.325,5294.0195,5816.427,5778.3
10826.085,11310.854,11954.552,12197.469,13075.744,13315.199
8531.607,8883.016,9390.253,9636.574,10374.863,10635.949
3427.2603,3646.7168,3933.4548,4036.3892,4418.8906,4505.35
3332.46,3458.073,3615.7026,3651.502,3862.5425,3911.1245
11623.969,11798.162,12043.3545,11977.961,12369.199,12364.661
10113.962,10551.441,11139.159,11387.85,12169.295,12430.529
6181.2153,6374.507,6621.5073,6666.989,7004.84,7099.0845
4371.7134,4598.409,4839.3926,4880.108,5241.755,5286.9
4647.5737,4650.0737,4700.33,4603.3184,4629.6577,4658.1323
4502.3164,4709.171,4983.086,5032.842,5395.752,5485.5825
5142.046,5321.4287,5541.1577,5609.7427,5924.781,6032.1875
12957.008,13652.763,14549.887,14807.092,16035.994,16363.191
7580.5728,7561.684,7792.72,7506.3745,7765.4736,7748.624
2236.296,2360.5593,2521.091,2572.6436,2787.5835,2844.4692
6718.7075,6860.633,7003.099,6995.6094,7224.745,7261.8022
2896.4739,3032.4597,3206.95,3252.4841,3487.934,3542.7358
8703.53,8914.785,9231.447,9335.273,9798.3,9978.54
1978.2266,2049.0513,2109.7708,2090.9165,2196.7197,2195.7188
7315.0073,7340.4707,7452.3604,7283.6074,7462.3315,7434.2734
9737.7295,9974.0205,10443.084,10592.325,11321.129,11566.361
3264.2239,3313.1206,3343.809,3230.983,3322.3486,3301.0796
12037.51,12559.288,13092.058,13071.6455,13896.889,13925.758
3307.6182,3429.3223,3585.708,3629.6294,3840.3257,3893.1177
3166.216,3365.1543,3622.1743,3707.5977,4051.9553,4124.621
3328.6934,3454.221,3611.285,3646.367,3856.7798,3904.2847
5233.8525,5463.0947,5791.9385,5910.3633,6358.668,6509.592
3045.7202,3113.2622,3206.74,3241.134,3366.02,3407.9941
8960.973,8963.149,9049.329,8919.235,9043.31,8986.488
11772.155,12149.7705,12713.103,12911.606,13601.08,13856.488
3024.1584,3147.505,3324.0024,3403.7686,3642.3547,3726.6414
7075.7495,7179.031,7288.855,7251.3213,7445.9863,7454.719
9770.719,10117.266,10560.508,10646.916,11263.529,11464.75
15496.943,16260.003,17412.555,17868.36,19501.023,20064.172
13561.154,13989.707,14531.683,14629.971,15384.872,15542.746
3311.6096,3434.3052,3600.294,3672.6235,3903.5137,3984.6194
8636.787,9042.723,9614.656,9847.329,10626.514,10844.764
6451.578,6706.324,7056.323,7198.725,7665.0166,7815.5513
3231.2065,3395.1943,3595.1274,3640.1587,3918.1504,3954.6128
2140.411,2187.682,2196.0786,2091.5535,2143.4065,2152.0789
18324.617,18738.621,19211.443,19263.898,19947.977,20045.738
3220.2961,3323.3987,3422.8394,3408.4607,3567.7588,3562.1934
3513.6895,3534.9883,3541.3577,3520.0386,3553.3564,3519.0237
1143.2449,1149.775,1154.4741,1140.3889,1158.6167,1150.9781
3992.6614,4182.1934,4375.4365,4342.2695,4636.5283,4611.416
1575.7673,1628.0938,1708.1692,1722.1296,1843.4594,1881.9614
1947.7524,1963.051,1980.1427,1977.7922,2006.4379,2017.8855
4008.1086,4104.45,4218.4277,4212.59,4385.5493,4434.274
8821.418,9081.485,9458.075,9594.111,10119.114,10255.1875
2214.0393,2281.6377,2333.6223,2301.7107,2400.5303,2374.0247
11602.145,11878.516,12230.064,12339.625,12819.574,12944.658
2019.1554,2046.416,2080.5122,2089.5845,2135.3728,2145.3584
1334.9425,1342.6183,1343.2029,1325.3053,1342.6777,1334.9232
2046.1193,2058.514,2070.563,2069.697,2088.0735,2087.7908
4592.4946,4621.144,4654.4243,4659.3755,4705.746,4712.386
2222.338,2225.2607,2226.252,2219.418,2226.7048,2223.1128
10005.748,10142.145,10302.006,10333.67,10553.632,10592.466
7119.9844,7163.274,7188.638,6741.6494,7045.0693,6985.332
4152.6997,4192.0127,4288.3115,4218.668,4422.999,4476.6694
5278.4126,5320.2373,5317.236,5152.2715,5205.842,5252.582
10688.028,10756.742,10943.869,10473.324,10644.988,10711.317
8583.553,8600.083,8730.54,8475.775,8578.382,8648.878
11786.738,11730.548,11955.025,11693.448,11959.225,12069.543
9935.369,9928.551,10083.034,9821.462,9919.733,10016.747
3154.497,3161.904,3205.748,3118.9329,3154.5278,3172.3174
5524.4697,5564.603,5647.3076,5406.8394,5483.7925,5528.717
6786.3506,6840.203,6915.516,6701.24,6794.8477,6795.4688
