V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36767.555,36890.52,37107.355,37087.727,37108.973,37192.684,37123.91,37307.516,37590.57,37778.58,37571.465,37551.844,37472.8
3638.0212,3653.0906,3682.4377,3682.8384,3688.5808,3699.0046,3689.9358,3713.0242,3746.9558,3771.4949,3750.3806,3749.3967,3738.2844
9566.144,9536.6,9512.107,9489.883,9510.75,9496.388,9491.04,9509.664,9506.856,9535.187,9533.863,9557.108,9563.1
2441.4485,2431.4956,2440.193,2398.043,2415.901,2422.4883,2442.8657,2497.9758,2534.1545,2593.202,2562.1282,2508.6736,2450.5874
1511.772,1513.6105,1617.9402,1635.6215,1734.1926,1708.6232,1613.5503,1668.975,1684.2373,1736.7394,1668.5597,1714.125,1637.606
486.29572,483.08792,514.82764,473.01385,497.1232,516.71436,495.89688,525.7987,542.5082,575.3093,542.3909,529.02167,521.3268
3047.2983,3022.7705,3012.7275,2982.6577,3072.8176,3120.1592,3077.1116,3106.913,3052.5723,3038.2922,2902.9192,2807.056,2740.4639
2847.0007,2680.6448,2632.8604,2506.63,2518.9724,2465.8794,2406.4153,2406.936,2314.7346,2405.6611,2261.7854,2148.5593,2076.0613
6882.181,6639.1143,6479.219,6279.5366,6241.4263,6228.0312,6195.1953,6183.7896,6191.4023,6271.484,6148.0605,5960.009,5901.211
5022.7954,4925.2163,4910.4473,4864.2236,4896.5137,4931.643,4924.7197,4916.0664,4867.4727,4911.6133,4889.1562,4867.7915,4888.533
332.7473,331.85135,347.5319,340.72726,351.22556,359.30838,350.87988,366.37036,383.9859,405.26694,397.69366,404.34393,396.29086
1047.5116,1046.9667,1050.821,1049.651,1054.2186,1055.1165,1049.3208,1046.869,1038.0754,1038.2357,1031.5575,1030.8881,1035.1917
2314.2478,2257.9993,2222.2163,2181.626,2176.931,2192.7236,2187.606,2187.606,2190.6184,2207.45,2208.0354,2202.7734,2204.6487
2307.6584,2251.5933,2219.6165,2179.808,2179.416,2192.7197,2190.9578,2201.2112,2206.7092,2220.41,2218.067,2209.0789,2205.0903
4234.4917,3789.3955,3574.272,3307.017,3358.9446,3495.6885,3455.1672,3504.0981,3478.6445,3555.3376,3513.3171,3412.6487,3448.4558
4234.4917,3789.3955,3574.272,3307.017,3358.9446,3495.6885,3455.1672,3504.0981,3478.6445,3555.3376,3513.3171,3412.6487,3448.4558
12008.225,11946.233,11945.729,11926.776,11961.737,12002.236,12004.797,12007.241,11961.621,12000.041,11982.619,11966.08,11976.264
4331.004,4315.2876,4336.418,4328.6704,4350.863,4353.35,4317.748,4356.034,4388.706,4436.4155,4443.36,4464.964,4450.1553
2931.3872,2857.7952,2927.557,2840.0251,2971.9163,2993.1243,3020.4822,3151.7065,3239.817,3393.3955,3160.8774,3128.168,3037.0413
4201.9814,4198.7437,4282.828,4197.55,4344.4766,4378.9165,4376.385,4536.8804,4631.6187,4706.3853,4530.9062,4462.355,4325.428
2044.269,2007.9519,2034.6227,1978.6268,2041.1156,2015.4039,1891.0024,1974.738,1978.7751,2046.5927,1995.6033,2021.5447,2007.1262
3930.014,3762.937,3749.97,3732.7651,3866.8262,3947.9185,3971.5322,3996.576,3877.1233,3967.1743,3806.0386,3658.2905,3593.7317
787.1487,803.14795,837.158,855.0488,892.32324,918.3,907.3152,918.60254,915.27936,914.56195,878.9121,863.41125,844.5241
7230.73,7018.429,6950.674,6775.5435,6828.829,6968.206,7022.075,7166.6206,7120.1494,7285.539,6903.3374,6690.089,6559.3467
1180.8066,1138.7333,1108.2286,1074.5453,1062.5591,1054.7693,1038.1359,1022.9287,1003.1151,996.2094,978.08905,977.8934,977.0013
2829.6777,2839.9407,2893.555,2866.1104,2962.0586,2939.3047,2919.7395,2980.6345,3026.5654,3090.714,3026.465,3048.557,3008.0386
1867.633,1893.396,1935.4401,1686.7952,1748.2908,1834.1078,1765.872,1905.9701,2030.3053,2175.4397,2011.5198,1978.7792,1972.935
3602.0898,3319.0647,3155.0745,3003.229,3330.6301,3552.4182,3764.433,3870.5576,3728.8625,3810.687,3506.177,3355.165,3118.769
716.14667,691.4854,682.4033,643.25085,641.53894,650.0215,639.1138,656.486,667.06287,684.4409,650.8408,625.03754,619.3513
3792.391,3722.564,3796.4275,3810.3857,3913.0144,3938.126,3897.192,3927.9722,3863.3518,3916.5513,3798.898,3687.1628,3646.7615
965.5991,935.56036,924.42944,901.71313,919.8353,901.1605,880.9752,832.34326,759.39545,752.0844,706.07404,689.8446,694.4844
4180.1426,4056.0967,4060.0579,3956.7231,3992.4688,4006.478,3896.3132,4012.3188,3979.4983,4052.5002,3855.0144,3790.234,3733.026
1539.9695,1529.8027,1583.5168,1557.8566,1577.9003,1571.167,1500.5,1511.0706,1498.793,1530.2192,1480.4944,1464.6532,1454.7235
1217.5399,1196.0194,1182.8345,1158.6788,1154.3347,1142.1464,1119.7804,1102.1891,1093.9471,1100.0917,1073.7812,1056.9133,1053.0562
1112.744,1099.4258,1105.6702,1066.4525,1074.4546,1069.7319,1051.5795,1072.8508,1095.2726,1132.691,1104.6298,1094.7875,1086.9728
15814.957,15669.25,15782.429,15525.639,15711.765,15641.796,15158.611,14977.162,14470.967,14653.098,14291.979,14103.199,14327.505
2888.046,2885.051,2883.7131,2863.5474,2864.1418,2862.6562,2856.6382,2859.9893,2863.0503,2874.8926,2863.5522,2861.4368,2857.596
3087.3518,3091.367,3109.3577,3091.556,3106.8074,3112.7083,3108.949,3128.5303,3149.9521,3171.0151,3149.6348,3147.8147,3132.4868
5764.2593,5686.6006,5643.3027,5590.578,5599.729,5601.368,5578.163,5577.1284,5567.927,5593.0796,5589.403,5589.511,5611.0356
