V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37379.92,37293.71,37281.79,37304.68,37159.527,37507.09,37338.387,37689.574,37889.168,37665.523,37797.12,37704.297,37640.164
3720.925,3713.1096,3712.2458,3712.5103,3697.4412,3734.8606,3715.8577,3761.8748,3786.8398,3761.0154,3776.2363,3764.097,3755.4734
9660.217,9602.216,9498.786,9574.045,9527.221,9540.817,9573.923,9555.725,9566.9795,9505.098,9546.633,9586.293,9560.449
2354.6653,2323.9668,2218.1707,2332.1514,2281.8147,2359.3145,2436.935,2428.4958,2389.1519,2365.7637,2384.882,2381.959,2325.868
1704.8112,1677.6162,1562.7869,1709.4059,1646.4844,1758.8439,1791.756,1741.3173,1784.9965,1631.994,1691.7369,1675.8408,1614.9412
569.5248,559.0497,514.46655,570.72064,525.136,585.4661,572.6158,613.78644,589.34125,583.5057,578.74695,546.5648,494.66278
3032.0774,2952.3132,2699.3162,2965.6147,2816.3777,2947.6206,3041.9905,2923.4202,2875.8994,2748.3115,2770.7253,2806.3464,2665.9194
2689.7588,2597.661,2292.0137,2488.3652,2360.147,2528.213,2510.2505,2387.4253,2376.621,2175.802,2229.1553,2270.477,2054.801
6883.1387,6653.8604,6268.7925,6445.343,6259.4126,6452.2607,6381.1465,6228.5635,6150.961,5967.0537,5955.9536,6100.1787,5718.2646
5067.9985,4968.852,4798.4824,4901.0425,4856.8525,4894.361,4973.1094,4900.5913,4884.555,4803.0776,4865.7896,4908.175,4894.21
389.20996,385.88458,376.75305,383.27795,375.86237,399.28644,386.8557,404.9607,419.04877,402.50162,405.01047,399.4604,388.00046
1050.0837,1041.2926,1032.0559,1041.036,1036.6484,1046.9844,1051.1671,1047.3402,1047.4738,1034.3304,1044.4462,1043.4569,1043.6588
2326.7625,2271.2747,2187.0718,2227.7769,2210.2402,2227.2603,2249.3284,2200.9001,2189.144,2147.4812,2165.0342,2216.7305,2166.7358
2327.6125,2274.1562,2192.9587,2232.6687,2213.1118,2225.8052,2247.512,2208.0693,2195.96,2153.4114,2172.2063,2219.391,2175.6064
4375.947,3989.4773,3404.816,3684.9084,3545.1643,3632.1768,3768.8298,3506.4983,3396.3093,3088.3867,3222.3425,3557.0037,3248.5935
4375.947,3989.4773,3404.816,3684.9084,3545.1643,3632.1768,3768.8298,3506.4983,3396.3093,3088.3867,3222.3425,3557.0037,3248.5935
12023.058,11955.369,11832.786,11936.893,11897.666,11941.59,12021.395,11955.605,11949.362,11908.156,11949.71,11969.6875,11958.901
4432.4536,4420.0986,4369.1216,4420.9565,4394.1406,4433.6646,4426.2114,4454.647,4478.682,4437.0474,4451.4414,4453.587,4429.9346
3036.9077,2895.7002,2549.8816,2928.1506,2780.9075,2993.202,3263.4614,3064.915,3171.7588,2967.6753,3096.8953,3093.778,3021.2559
4404.017,4366.6147,4175.6987,4395.6523,4309.926,4487.5615,4589.0303,4523.3813,4571.629,4447.8804,4496.482,4446.6914,4359.5547
2115.5557,2040.8358,1855.8473,2062.2976,1955.9349,2055.231,2098.3208,2064.6123,2083.5203,1928.3074,1992.1561,2023.411,1966.4758
3734.0754,3605.9524,3310.786,3712.4316,3529.2864,3776.438,4013.7656,3834.9248,3653.456,3652.7668,3682.0674,3680.9216,3461.5515
807.265,796.24414,773.7634,815.2471,798.8238,839.1399,860.2542,839.6185,844.47797,826.2852,831.6986,830.0308,811.8141
6992.881,6745.505,6084.2964,6703.9546,6334.3564,6729.8286,7076.3794,6738.49,6764.7134,6312.0,6507.108,6641.921,6375.872
1167.9937,1116.5593,1040.6868,1076.8513,1039.4875,1055.2175,1063.656,1018.3007,1007.2276,949.5129,963.46875,1015.1925,945.83655
2900.9807,2887.2434,2770.6313,2902.7747,2872.943,2947.864,3023.5098,2988.7888,3032.939,2939.267,2990.245,2975.8582,2927.2834
2125.994,2038.4318,1839.1609,1958.367,1798.9581,2071.4382,1974.3347,2128.8955,2270.5664,2012.6782,2078.2927,2036.252,1933.8804
3782.7942,3560.686,2689.138,3536.1118,3129.1829,3515.482,3915.7246,3469.1785,3426.8687,3102.1526,3202.9258,3376.0166,2998.6028
704.6645,700.7984,643.50995,674.90344,644.3708,678.3304,667.9945,680.6745,666.15674,648.26013,641.1963,631.4343,593.2492
3765.5852,3666.6462,3495.1704,3793.0398,3650.2444,3828.9749,3964.007,3891.5342,3758.1367,3744.2944,3789.7852,3752.8672,3592.9937
855.56824,816.14233,740.5485,802.1305,769.65533,822.01294,834.1036,785.62256,774.4175,717.8895,733.3341,753.4945,698.3131
4082.1665,3956.5981,3584.0903,3930.3015,3730.7368,3915.8887,4023.2754,3921.7537,3933.7073,3677.604,3788.9336,3829.9,3704.143
1599.4979,1574.6516,1486.2505,1584.1407,1504.6705,1581.8207,1574.893,1565.6481,1547.6316,1495.5312,1497.605,1473.1664,1392.2744
1195.5798,1170.3129,1108.7556,1145.3983,1122.3544,1152.1832,1135.6494,1121.3027,1111.856,1080.2971,1090.4316,1098.7643,1055.5665
1142.8394,1118.5928,1044.1233,1103.5121,1085.5349,1140.8469,1136.4753,1133.406,1170.2148,1119.761,1129.5728,1123.7828,1094.1274
16496.605,15885.8545,14354.712,15725.202,15065.33,15728.507,16016.616,15925.829,15483.781,14714.05,15409.04,15313.392,14965.005
2908.4314,2899.6868,2871.228,2883.9302,2864.4946,2879.1223,2869.3057,2872.9292,2875.6047,2854.759,2858.1077,2856.753,2842.07
3152.3674,3149.2512,3132.0469,3143.4229,3131.2004,3157.9185,3152.2651,3165.967,3176.3865,3156.934,3156.3413,3145.6526,3132.4097
5794.8325,5735.4004,5634.9175,5671.642,5644.7266,5648.9614,5660.815,5639.918,5627.3525,5560.771,5603.9175,5643.7993,5620.819
5789.906,5730.2207,5629.739,5666.4785,5639.62,5643.7383,5656.025,5634.7583,5622.0757,5555.4937,5598.7534,5639.2134,5615.8613
6201.8438,6184.815,6157.1797,6179.8486,6168.075,6178.4746,6204.9707,6204.344,6203.517,6188.5264,6202.038,6200.396,6205.0693
6212.454,6196.309,6168.6978,6190.7764,6179.291,6189.9263,6215.1978,6215.339,6215.315,6199.661,6213.25,6210.862,6215.747
6207.1387,6190.5737,6162.9556,6185.3096,6173.6997,6184.1973,6210.061,6209.8267,6209.433,6194.1094,6207.6523,6205.617,6210.3994
5784.9854,5725.0493,5624.566,5661.325,5634.5156,5638.535,5651.2876,5629.6274,5616.7896,5550.2173,5593.594,5634.625,5610.857
2963.1006,2953.2446,2918.8247,2940.973,2925.4019,2940.7769,2946.2979,2951.712,2956.6204,2937.6338,2947.3164,2947.6128,2937.8088
3307.9946,3288.7646,3255.5115,3283.2793,3263.7493,3278.0764,3287.9736,3288.928,3290.4614,3260.1926,3277.1416,3281.3928,3274.0293
2961.9014,2952.0642,2917.6162,2939.7375,2924.1113,2939.5527,2945.002,2950.417,2955.4429,2936.327,2946.041,2946.366,2936.6147
3053.1133,3015.9204,2943.4873,2984.8047,2955.5828,2966.3196,2980.1685,2978.909,2975.4802,2922.5054,2958.6067,2969.3113,2973.2988
3290.6287,3279.7812,3247.719,3265.127,3249.7224,3269.011,3268.6963,3284.8857,3299.378,3270.7986,3286.1765,3288.7317,3280.0913
3291.955,3281.0818,3249.0796,3266.5066,3251.156,3270.3909,3270.1562,3286.329,3300.688,3272.2363,3287.5872,3290.0984,3281.394
6647.1826,6625.648,6577.5015,6627.883,6598.8267,6613.421,6634.292,6637.9365,6630.892,6622.9023,6635.975,6642.138,6621.578
7212.6436,7201.0176,7178.511,7236.384,7217.887,7286.457,7319.034,7322.7246,7335.7964,7321.629,7331.4,7313.5215,7291.6074
1869.3555,1785.1934,1628.9299,1694.1134,1654.0444,1660.2223,1683.3102,1655.0636,1627.8323,1534.8743,1602.0099,1656.4287,1616.0494
2525.0095,2522.724,2514.9165,2522.495,2517.466,2527.609,2530.4146,2536.7385,2541.5098,2533.1675,2535.291,2534.8652,2532.1633
4811.7817,4720.977,4608.8516,4702.383,4637.376,4753.5366,4794.4795,4668.83,4655.3726,4547.967,4577.783,4597.849,4522.484
2805.208,2543.709,2087.1755,2255.8323,2145.9136,2145.6868,2214.0352,2141.5698,2086.6423,1814.7167,2017.7761,2203.4624,2101.6963
2332.0288,2263.6543,2151.0498,2232.0432,2203.2734,2238.964,2297.6138,2305.6726,2315.6057,2263.2175,2327.664,2355.6096,2361.8367
3686.4087,3664.5564,3626.759,3738.1125,3698.854,3844.2627,3881.3438,3886.6216,3895.7761,3864.5317,3873.1511,3852.5715,3787.137
2270.069,2064.3936,1615.9082,1919.22,1765.687,1869.1519,1985.7782,1905.2499,1865.8423,1692.3036,1876.5879,1993.2863,1933.7289
9021.715,9004.012,8949.969,8995.41,8977.375,8985.035,9007.381,8999.564,8993.735,8973.575,8996.436,9009.651,8992.027
10586.587,10337.027,9927.844,10270.405,10076.6,10138.257,10340.768,10218.428,10207.25,9982.933,10154.041,10334.074,10188.827
7099.733,7047.467,6959.926,7024.1274,7003.9893,7035.552,7069.8623,7046.807,7039.971,7008.9644,7043.9766,7077.5977,7060.635
6069.774,6016.2847,5936.7964,6022.549,5992.0386,6012.2544,6090.1445,6065.9707,6041.1733,6022.5957,6061.946,6097.104,6079.4316
13548.224,13340.581,12830.492,13196.63,13061.48,13216.6,13276.94,13227.694,13155.279,12914.496,13067.597,13134.017,13031.22
18948.945,18707.453,18108.018,18544.598,18378.271,18563.91,18634.736,18579.89,18493.111,18215.514,18393.354,18470.371,18344.371
