V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2025.83,2027.939,2033.0708,2031.7188,2031.693,2032.5153,2034.9064,2034.0907,2031.9764,2034.1486,2032.1523,2033.7997,2032.4552,2034.1404
2972.7139,2973.6838,2988.9214,2981.1926,2983.422,2983.3516,2982.7913,2985.3958,2982.9868,2985.8652,2978.0872,2981.4648,2984.7017,2981.6492
1129.1915,1137.8446,1150.3541,1147.0681,1142.055,1148.5049,1161.4614,1154.2784,1147.8488,1152.4277,1143.1782,1152.6959,1143.409,1148.2845
1226.3529,1253.7843,1297.1049,1279.2306,1267.3024,1289.1495,1313.3286,1299.9817,1280.4158,1302.8478,1261.4987,1292.266,1270.3586,1284.7153
5849.313,5862.156,5881.9272,5877.924,5876.6895,5881.7896,5891.0537,5888.658,5877.9346,5888.411,5878.971,5886.1655,5880.6494,5887.0786
3097.1575,3112.695,3141.1553,3127.5776,3120.634,3136.981,3142.4878,3137.2668,3122.6956,3143.295,3108.4773,3126.726,3121.2852,3123.0051
5274.8374,5416.7783,5497.754,5539.784,5527.125,5490.3164,5630.042,5605.6133,5526.953,5651.1567,5570.982,5633.5,5547.552,5575.1504
1727.1262,1731.2521,1737.571,1735.898,1735.3088,1737.7136,1740.3154,1738.8411,1735.7526,1738.342,1735.6355,1737.7598,1736.202,1738.6057
1580.699,1584.2871,1589.8018,1588.3037,1587.764,1589.8939,1592.1727,1590.8444,1588.1448,1590.4215,1588.0272,1589.8517,1588.5067,1590.6077
2617.8938,2625.632,2633.4485,2633.3074,2632.3652,2633.9487,2639.9807,2639.154,2634.1636,2637.5366,2633.6406,2636.9,2633.3767,2636.194
2433.7134,2438.342,2442.195,2441.1687,2439.7346,2440.0115,2444.5322,2441.7588,2438.301,2443.023,2437.8848,2441.3816,2438.1704,2440.4133
3655.6218,3660.3755,3677.926,3676.273,3676.1746,3675.3855,3681.9783,3683.5757,3679.0632,3683.9602,3680.948,3685.1016,3680.1997,3682.9407
7195.99,7223.1953,7257.222,7247.699,7252.872,7252.701,7268.296,7267.605,7253.3613,7269.62,7258.567,7272.12,7256.1597,7264.7305
5661.6543,5688.0747,5726.178,5723.9204,5714.2773,5724.7417,5754.2764,5740.0728,5720.618,5738.585,5717.147,5734.99,5716.334,5735.902
7757.8403,7853.666,8142.3755,8127.1914,8126.999,8139.2393,8219.742,8249.348,8142.475,8222.049,8157.14,8238.709,8167.175,8236.669
3062.966,3063.622,3071.3992,3067.385,3067.4878,3067.6526,3069.26,3068.351,3066.5085,3071.8157,3064.4382,3068.7195,3066.1772,3066.2324
4024.9058,4033.2427,4049.8315,4047.1953,4047.5806,4046.8596,4054.1914,4054.2373,4046.6628,4053.2783,4046.9585,4054.417,4050.8499,4053.6555
9537.82,9541.411,9557.914,9554.372,9552.004,9561.331,9558.279,9556.197,9558.572,9566.456,9552.422,9561.152,9550.167,9550.147
2672.4355,2688.7407,2715.458,2706.8098,2703.1497,2713.6724,2728.9714,2724.008,2707.7568,2717.5374,2704.0872,2717.382,2712.2288,2720.6843
10842.609,10864.355,10857.782,10854.37,10852.633,10871.349,10886.96,10876.928,10866.43,10884.439,10873.54,10879.413,10877.228,10875.001
2660.9382,2677.348,2704.1687,2695.383,2691.723,2702.291,2717.795,2712.7637,2696.431,2706.2712,2692.697,2706.0872,2700.738,2709.3174
2858.8245,2874.7852,2902.9111,2894.602,2891.96,2900.8042,2912.8909,2907.6606,2894.818,2905.8542,2891.1697,2897.4094,2896.7861,2900.885
1923.6671,1931.052,1940.2312,1933.929,1934.466,1937.5514,1939.21,1939.3605,1935.1827,1939.85,1929.6176,1934.4727,1936.6758,1932.9938
2551.4595,2565.7585,2590.6396,2583.1323,2580.5479,2588.493,2599.1257,2594.3247,2582.955,2593.0913,2579.5688,2585.1443,2584.5942,2588.072
1593.3986,1599.3992,1607.4934,1602.9622,1602.6017,1605.3677,1607.2502,1607.1804,1603.5049,1606.9866,1599.7347,1603.2883,1604.4025,1602.307
2370.5132,2384.126,2409.0398,2401.078,2399.2505,2406.9167,2417.5496,2412.1453,2401.5398,2411.071,2398.3523,2404.3682,2402.2812,2406.854
1716.9148,1723.2543,1731.6407,1725.8462,1726.2086,1729.1256,1730.1936,1730.304,1726.9141,1731.1826,1721.4556,1726.0759,1728.1571,1724.5519
425.5445,429.96365,429.1381,429.16562,428.4757,430.86118,436.44952,434.77246,429.95486,437.97452,430.92014,435.25583,434.64026,433.95566
6393.4453,6416.9106,6444.6973,6443.3716,6434.43,6447.8135,6458.7856,6458.9233,6436.422,6451.6807,6435.742,6447.795,6438.891,6450.67
611.56934,617.9202,616.73376,616.77325,615.78174,619.2103,627.2414,624.8313,617.9074,629.43335,619.29456,625.52594,624.6409,623.6571
2076.5996,2086.3455,2084.2927,2079.8142,2079.4675,2082.799,2089.2588,2086.825,2080.1145,2092.1233,2080.6865,2089.0557,2087.219,2088.47
1883.4323,1892.2738,1890.4108,1886.3557,1886.036,1889.0597,1894.9192,1892.7087,1886.6233,1897.5154,1887.137,1894.7329,1893.0668,1894.1976
6755.3604,6786.4473,6808.109,6808.8936,6798.302,6813.2954,6822.7134,6816.834,6798.9106,6822.898,6818.363,6821.503,6809.372,6804.0015
2259.009,2272.9946,2296.0227,2288.6172,2287.628,2292.3252,2302.8115,2298.0635,2286.7532,2297.617,2284.3735,2292.4963,2288.7075,2292.2356
1653.6793,1657.5261,1657.063,1656.0834,1655.1223,1658.7426,1665.0776,1662.1508,1655.8374,1666.9695,1657.7994,1664.6578,1662.2565,1661.403
3762.8696,3771.7012,3769.4275,3766.7505,3764.3792,3770.2827,3775.2358,3773.611,3766.303,3777.327,3769.5076,3774.467,3773.4673,3775.0632
2449.1243,2450.2114,2482.0725,2469.5317,2469.3408,2464.0886,2467.423,2469.5225,2465.6714,2478.9563,2454.8677,2464.5464,2472.0117,2462.7783
2263.3582,2271.042,2285.2593,2277.529,2269.9475,2278.1978,2285.3389,2281.9023,2277.2634,2293.2502,2266.3752,2283.3374,2282.6487,2278.332
2494.8628,2528.7878,2554.2407,2557.2793,2554.1855,2554.6174,2573.4429,2574.6367,2551.0176,2565.6372,2550.2488,2571.7732,2553.7322,2566.5615
3880.6626,3896.492,3916.6013,3913.2646,3914.8345,3917.7202,3924.1504,3922.7766,3907.1804,3919.9163,3912.064,3920.728,3918.3164,3922.2168
6462.336,6529.622,6593.7207,6589.7344,6582.5923,6597.3896,6644.6416,6631.6377,6588.206,6646.745,6568.8574,6618.3677,6565.4077,6590.7905
6996.754,7033.808,7099.351,7073.8823,7060.175,7077.608,7102.038,7098.485,7065.7153,7109.49,7050.4956,7079.687,7058.689,7069.6777
1122.5265,1124.6316,1129.549,1127.2355,1126.9431,1127.9921,1129.4384,1128.08,1125.6594,1129.702,1125.5048,1128.0857,1125.7377,1126.7301
8587.76,8599.289,8601.028,8595.156,8595.627,8602.621,8619.303,8616.525,8602.985,8620.404,8607.552,8614.6875,8614.46,8611.978
1120.7814,1121.3873,1122.7899,1122.5251,1122.6273,1122.6632,1123.6367,1123.1156,1122.5555,1122.9319,1122.5447,1122.8385,1122.5802,1122.9933
10187.773,10205.523,10245.977,10219.358,10222.115,10230.28,10245.109,10231.282,10223.847,10243.187,10206.869,10223.875,10220.165,10223.46
1010.9795,1011.6333,1011.6546,1012.2049,1011.4069,1012.60626,1013.5809,1012.6047,1012.09827,1013.65186,1011.9671,1013.6827,1013.2469,1013.1364
10436.197,10436.717,10499.235,10468.012,10469.318,10474.414,10484.157,10478.53,10458.5625,10493.684,10450.61,10477.953,10463.634,10468.454
11031.348,11041.672,11099.306,11071.003,11070.118,11078.72,11088.805,11079.519,11057.272,11095.661,11052.74,11079.247,11060.48,11066.87
9969.624,9977.921,10021.712,9995.115,9997.266,10007.766,10014.918,10005.105,10000.095,10015.721,9984.717,10003.035,9995.944,9996.133
1026.954,1028.3082,1032.388,1029.7908,1030.0243,1030.9436,1032.121,1030.8907,1030.1592,1031.9355,1028.7754,1030.502,1029.7386,1029.9346
2907.1782,2925.219,2923.3352,2918.8838,2918.8027,2930.9482,2939.8728,2937.3794,2926.4895,2937.1292,2929.1377,2940.2297,2939.4983,2936.2568
1107.6017,1108.178,1109.5215,1109.0426,1109.2363,1109.3247,1110.2563,1109.8037,1109.4232,1109.9792,1109.347,1109.8276,1109.3257,1109.6807
2815.5264,2820.5955,2826.6807,2826.076,2825.989,2826.6174,2828.5288,2828.6968,2824.2808,2826.8206,2825.4026,2827.8809,2826.976,2828.2432
1078.2114,1079.6295,1079.0464,1078.841,1078.6699,1080.2522,1081.6053,1080.4886,1079.9481,1081.2485,1080.2632,1080.616,1080.9016,1080.1166
10534.072,10540.216,10550.117,10548.471,10550.671,10550.55,10556.405,10552.407,10550.11,10553.321,10550.546,10553.486,10552.518,10553.582
