V1,V2,V3,V4,V5,V6,V7,V8
6839.914,6775.576,6816.871,6797.1157,6841.865,6781.868,6821.5967,6819.913
7056.478,7010.71,7049.196,7032.794,7057.7886,7018.863,7066.1494,7050.9097
7199.0273,7155.0117,7195.153,7149.2017,7189.8267,7171.4644,7215.9214,7190.0225
7673.6455,7648.0703,7666.46,7650.806,7675.7344,7660.354,7688.895,7668.465
994.4978,947.6781,1216.457,1502.4143,1035.4349,988.91284,1266.017,1530.669
9847.838,9833.033,9906.807,9964.482,9993.932,9980.49,10049.239,10092.715
3351.1365,3351.088,3345.503,3365.766,3374.1912,3375.2537,3369.3972,3387.5708
2606.716,2585.799,2608.1895,2635.391,2634.8257,2615.7786,2638.0571,2662.387
2493.2854,2483.1885,2486.9653,2503.7146,2506.0854,2497.7913,2501.5774,2518.8179
2543.1714,2536.564,2557.1355,2556.815,2542.813,2539.8853,2559.2222,2558.4043
1156.5319,1154.1992,1153.7493,1153.9979,1156.532,1155.0569,1154.4542,1154.536
3267.3555,3036.3708,3296.7485,3458.3257,3315.38,3096.8103,3352.3767,3500.8657
1758.4421,1758.9135,1776.3828,1777.1901,1786.1803,1788.5597,1804.084,1799.3322
12606.301,12541.616,12609.705,12656.012,12901.78,12892.156,12960.968,12989.383
1236.1697,1229.0726,1321.5332,1348.4698,1253.7745,1244.8115,1334.6979,1363.2283
2041.4485,2029.4786,2104.8232,2115.0093,2097.62,2094.6743,2166.7974,2173.7214
2440.4766,2464.4448,2449.3674,2487.5403,2483.546,2512.097,2495.4092,2526.9097
4742.6064,4667.1147,4870.4873,4800.3394,4757.2896,4690.0635,4890.8027,4819.5283
5768.392,5785.687,5838.6455,5871.988,5919.6123,5952.652,5998.4585,6026.684
6324.149,6344.47,6349.681,6433.5034,6446.978,6469.1772,6478.4497,6548.647
9772.285,9792.316,9838.722,9967.4,9952.956,9986.924,10034.334,10154.091
5052.218,5118.843,5183.712,5252.634,5114.246,5190.551,5251.469,5309.037
6017.752,5958.534,6082.097,6155.178,6085.6606,6035.105,6155.053,6217.568
2333.6257,2326.4968,2347.798,2333.538,2332.5828,2330.937,2350.3342,2337.0667
1368.336,1367.8801,1383.091,1369.3315,1364.5782,1369.3589,1382.5294,1368.4777
7623.969,6964.8706,7401.4214,9243.501,7557.581,7006.6934,7402.768,9249.06
9206.426,9159.058,9214.664,9185.166,9198.801,9173.563,9215.399,9181.174
5003.469,4987.7407,4954.7686,4943.06,5040.593,5047.461,5019.1333,5000.021
1912.6388,1887.3859,1882.1151,1880.2719,1918.156,1890.5936,1887.8486,1887.8118
3104.6733,3117.8953,3066.4067,3074.988,3103.2776,3119.5552,3070.3154,3078.3662
2491.2058,2510.5193,2495.267,2505.5996,2493.7952,2518.5928,2506.6545,2512.552
4797.552,4699.2354,4706.911,4700.8896,4842.4126,4742.6772,4754.962,4750.6226
8265.992,8310.835,8318.633,8318.633,8349.559,8404.719,8406.258,8394.367
7167.1255,7225.226,7212.9165,7206.3843,7187.2817,7267.406,7258.1333,7242.073
10082.622,10161.492,10136.619,10053.828,10110.712,10199.133,10182.774,10100.163
9116.724,9048.381,9067.347,9091.093,9161.258,9124.419,9128.702,9133.248
4498.9927,4477.6084,4439.5273,4475.784,4487.9106,4503.4463,4460.871,4495.76
6370.4023,6313.0356,6344.8286,6369.143,6372.8506,6337.564,6370.897,6377.888
5245.5513,5466.2583,5986.283,5953.407,5260.214,5528.1074,6054.024,6003.856
5228.409,5253.2144,5254.708,5258.3677,5281.3716,5311.7573,5311.881,5312.0107
1908.2842,1904.8159,1909.4323,1910.1718,1916.149,1913.2427,1917.8507,1916.6846
2118.1575,2106.8386,2113.3652,2115.9705,2132.1416,2122.7048,2130.3525,2129.3035
5401.427,5436.898,5415.772,5434.8027,5441.6987,5491.358,5468.325,5484.013
1279.4425,1285.2649,1277.9829,1280.4103,1289.633,1295.3453,1288.2546,1287.7665
1922.0076,1916.3042,1921.3021,1921.5659,1928.4127,1922.7561,1927.6388,1927.0103
3379.8154,3384.528,3386.1572,3372.22,3382.2817,3390.561,3394.4028,3384.1084
9626.37,9657.726,9658.491,9654.56,9644.326,9690.325,9685.308,9672.571
1423.081,1400.622,1429.5243,1434.6235,1438.2795,1415.0543,1447.6383,1451.2045
8915.488,9018.548,9039.036,8973.554,9012.51,9151.962,9179.03,9091.391
9264.077,9375.425,9349.578,9314.266,9311.271,9466.451,9457.595,9389.98
1488.2517,1508.7301,1512.6158,1473.0243,1511.0397,1534.1094,1542.3884,1501.9602
5778.9614,5782.919,5790.6577,5774.857,5778.1357,5791.016,5801.3438,5781.9834
2611.8994,2605.1196,2623.9028,2598.8105,2617.9048,2608.964,2628.6792,2599.618
1655.09,1649.0677,1655.7095,1659.876,1663.481,1658.2197,1666.1359,1669.1858
6869.8794,6886.4546,6848.1177,6881.666,6888.4497,6913.876,6877.692,6900.2363
2941.3992,2937.4468,2973.457,2924.3564,2954.258,2943.5515,2976.2395,2925.9263
1472.8533,1475.9767,1479.258,1478.6825,1488.7058,1493.6268,1495.9186,1492.2257
7302.1377,7320.935,7318.344,7278.248,7311.4526,7323.5063,7323.11,7286.406
9396.578,9464.188,9467.508,9381.471,9426.181,9475.376,9481.344,9388.364
1384.6403,1393.0121,1397.1216,1393.3448,1388.6395,1398.4368,1403.1001,1397.97
2836.796,2869.8315,2911.4023,2951.9507,2964.2568,2998.521,3033.2275,3059.983
2105.608,2114.234,2125.7122,2128.7686,2132.4111,2148.9668,2155.2148,2155.7024
2984.5027,3041.4346,3107.4602,3174.4895,3251.1753,3312.0972,3360.7705,3401.3188
3241.9263,3252.919,3310.3596,3383.3271,3415.8274,3421.7764,3475.3035,3528.7036
4777.7256,4838.8184,4910.9507,4951.325,4936.5713,5016.3125,5062.4375,5096.3765
6358.358,6507.8857,6628.0977,6754.3867,6795.0356,6950.184,7063.4634,7141.0884
10953.937,11122.085,11257.939,11392.764,11539.271,11706.964,11812.596,11891.389
3228.1914,3249.7417,3282.7434,3261.7366,3265.1353,3293.9382,3325.735,3300.4094
1095.2639,1102.0044,1096.0493,1098.4902,1108.7904,1118.3961,1115.3386,1116.191
10724.764,10755.343,10799.306,10809.405,10816.044,10851.9795,10890.148,10889.814
4901.0615,4921.4087,4868.5034,4913.2734,4924.635,4957.7646,4923.3423,4951.9316
3934.6064,3908.7668,3898.1484,3924.9397,3985.9243,3967.4927,3951.568,3967.2925
5272.7837,5317.163,5350.616,5410.448,5457.786,5499.866,5529.9873,5569.034
3063.543,3092.2659,3112.5676,3150.2195,3167.4663,3196.7556,3212.9282,3239.938
1613.0326,1619.6859,1625.8495,1635.8647,1641.0991,1647.7949,1653.2706,1660.7277
13596.764,13640.797,13694.256,13793.411,13835.672,13878.968,13927.773,14006.743
17862.492,18034.482,18184.166,18381.566,18481.992,18648.992,18783.969,18915.842
17417.965,17585.586,17732.84,17926.73,18025.436,18188.137,18320.9,18450.8
1693.6218,1704.8208,1722.8943,1733.9994,1737.782,1750.1486,1765.7412,1771.3005
6806.3975,6812.3506,6811.2583,6805.8794,6806.0605,6814.1514,6813.1426,6804.564
4521.9565,4523.6465,4523.3027,4521.9478,4521.989,4524.793,4525.762,4522.621
2195.217,2193.7969,2195.5244,2191.6277,2190.1392,2195.1252,2195.3037,2195.41
3431.4607,3425.0466,3432.689,3448.654,3441.254,3442.8696,3445.459,3467.786
12267.648,12242.117,12243.285,12264.867,12266.158,12250.206,12252.247,12287.822
33832.227,34212.36,34966.094,34856.977,35308.29,35853.99,36549.19,36277.684
1104.6477,1103.8732,1103.8784,1105.8875,1105.1667,1104.7195,1104.8046,1106.7979
2380.049,2392.2444,2402.804,2413.716,2420.3152,2433.7883,2443.6924,2450.9126
3842.4724,3827.9534,3824.1301,3851.912,3842.3193,3835.5906,3832.2744,3871.2048
8345.621,8282.447,8272.749,8352.885,8329.339,8307.74,8296.245,8421.202
8493.78,8342.021,8375.023,8449.366,8508.367,8349.373,8370.857,8429.372
1079.3553,1077.4426,1078.0979,1078.8351,1079.2686,1078.9178,1079.005,1081.3071
7212.317,7217.3267,7213.729,7206.168,7208.313,7218.4272,7213.736,7206.7734
1576.5092,1587.3822,1596.1058,1604.4556,1608.5654,1620.5835,1628.5856,1633.711
3986.5825,3970.1418,3972.1292,3976.4114,3980.9,3971.4226,3973.8423,3978.2966
5926.1577,5906.48,5916.3257,5916.7104,5925.005,5915.332,5925.508,5929.1387
9087.329,9016.408,9037.143,8955.852,9072.804,9012.988,9028.837,8952.754
21212.7,21310.406,21391.164,21451.006,21505.395,21616.508,21690.94,21728.092
2434.3513,2410.0688,2418.024,2424.4443,2425.8457,2415.0684,2420.9424,2443.9744
1512.3596,1491.0127,1499.501,1501.8982,1507.9951,1518.2615,1537.2936,1561.2971
6861.3994,6818.1816,6817.6846,6851.6113,6837.129,6827.2656,6826.8574,6900.4043
4270.9146,4269.0483,4274.5796,4272.544,4272.088,4276.805,4279.1045,4274.5723
2275.3457,2265.7312,2279.8333,2276.7866,2276.0813,2271.1357,2287.9714,2289.8245
2288.9268,2286.3762,2286.4397,2289.0835,2287.8728,2288.1528,2287.6409,2292.783
6063.789,6055.615,6048.7686,6067.7896,6061.422,6060.545,6055.092,6087.8643
1824.0641,1824.4958,1831.6127,1833.5903,1837.8075,1840.2523,1846.6442,1848.3419
3710.5906,3736.4119,3776.0867,3804.5586,3808.5276,3839.2178,3867.7402,3887.428
6239.981,6246.255,6256.5273,6258.098,6238.57,6240.4473,6252.7944,6256.781
2316.2388,2311.7817,2316.5237,2318.4458,2316.3584,2312.137,2317.338,2319.6138
3089.6824,3092.7012,3092.6113,3100.6694,3094.282,3100.32,3099.8733,3109.1692
2324.6313,2319.029,2321.1108,2322.7134,2324.0374,2320.3232,2323.0845,2326.923
5657.2993,5642.5225,5643.9585,5663.528,5657.3022,5651.989,5654.5386,5689.1816
3899.6438,3892.7014,3901.5981,3914.3428,3899.6597,3893.5737,3902.2563,3917.5662
3383.389,3384.2314,3388.524,3390.0312,3385.1763,3389.1943,3390.2253,3391.2505
3261.5105,3256.8489,3266.7185,3265.9448,3261.4463,3257.6157,3269.7253,3271.6997
1425.0017,1442.7653,1441.0732,1445.5874,1436.0222,1457.3613,1455.5283,1459.5303
2430.4963,2418.3423,2433.6672,2430.7146,2430.965,2426.8167,2445.5486,2449.6577
1564.082,1436.2378,1539.2881,1701.8954,1563.3799,1458.6707,1561.488,1719.3076
4073.542,4092.2505,4100.248,4124.1,4141.625,4164.0205,4169.8813,4189.258
3252.756,3269.9976,3284.4954,3305.8591,3313.192,3332.6108,3347.5615,3361.716
1489.0004,1519.9467,1555.6659,1571.6487,1576.7494,1612.5582,1643.604,1656.0835
1678.2054,1683.003,1680.3988,1681.9502,1676.5687,1683.5609,1680.9489,1683.1299
3308.1704,3309.2065,3306.66,3309.2092,3308.7278,3313.7678,3311.1887,3314.7065
1786.2493,1803.4481,1818.4166,1838.1567,1848.1992,1864.8992,1878.397,1891.5842
10293.799,10323.053,10307.239,10316.633,10283.471,10325.777,10310.062,10323.391
1423.0769,1431.7131,1422.9241,1436.2782,1428.7063,1436.8519,1433.4863,1445.6923
