V1,V2,V3,V4,V5,V6
7296.696,7288.635,7308.4287,7358.313,7312.24,7282.298
1498.8467,1513.305,1481.5789,1566.0907,1630.3661,1665.4021
8448.296,8765.73,9039.559,9324.98,9547.053,9644.586
9752.705,10108.561,10426.293,10760.285,11025.28,11136.06
6879.4395,7302.1157,7655.684,8040.002,8358.459,8453.844
3973.4023,4207.7217,4421.243,4618.31,4859.505,4963.032
3601.7568,3784.8481,3954.1968,4125.8477,4338.707,4417.1377
2394.9197,2395.7207,2400.2515,2406.3281,2406.685,2408.9807
2286.1948,2323.87,2358.591,2389.0818,2426.8184,2446.8726
2310.3462,2330.9263,2354.8975,2381.7148,2414.6172,2427.995
1478.4153,1499.5693,1518.7694,1537.5557,1560.2006,1569.2758
1969.3657,2038.2227,2100.3606,2159.9316,2220.7993,2247.4822
4726.2666,4890.8354,5006.249,5213.1807,5265.2393,5205.707
5106.8643,5257.042,5367.4805,5509.265,5589.735,5568.0044
5416.9717,5647.1323,5824.6816,6024.4624,6183.413,6205.248
2596.5442,2604.6472,2628.1255,2693.1094,2643.106,2604.139
3849.328,3975.0193,4062.9778,4184.5913,4238.356,4213.343
3197.9143,3223.319,3257.7725,3323.5435,3289.8552,3241.3875
2931.9363,3260.096,3533.5737,3881.4106,4208.591,4310.541
6422.927,6605.923,6744.6567,6987.5815,7144.2964,7172.5596
9247.672,9784.61,10210.863,10849.533,11338.18,11446.762
4336.5986,4557.2676,4750.8896,5022.542,5266.3613,5373.412
9494.138,9558.974,9742.748,9903.256,10069.281,10180.298
8797.592,8975.479,9166.454,9476.461,9675.65,9824.087
2350.6814,2460.2239,2549.8354,2687.982,2793.6191,2830.004
7289.628,7618.6357,7886.212,8367.121,8727.033,8880.804
1745.3134,1820.9501,1882.542,1986.8857,2061.3777,2096.8176
1709.6096,1766.8522,1815.2053,1903.7124,1968.2004,1998.5485
4155.763,4231.2,4300.783,4383.2295,4476.0674,4510.7695
4432.438,4585.2324,4721.9697,4844.6997,4978.024,5045.6016
3741.0605,3751.7976,3768.0166,3799.3584,3815.5366,3819.4636
5369.4136,5480.174,5581.7397,5676.284,5795.548,5846.655
1259.8351,1287.3066,1312.8752,1334.6161,1359.2119,1372.5083
1678.8464,1710.2657,1740.6649,1766.1654,1798.38,1816.486
3357.5642,3454.8193,3544.2588,3625.555,3724.0156,3771.265
1154.221,1172.525,1190.074,1205.6028,1226.5562,1236.3712
3939.6821,4055.4653,4160.8164,4262.923,4387.7705,4438.0947
2635.7935,2511.8955,2847.5435,3700.8389,3176.501,2567.585
3717.7217,3737.105,3838.5151,3952.0596,3929.3994,3878.1587
4740.7983,4922.3325,5061.827,5289.966,5357.8916,5311.732
14654.086,14960.052,15203.635,15605.455,15632.688,15493.686
5626.9,6068.8896,6448.0283,6884.496,7226.917,7330.3125
2861.7395,3065.1206,3234.305,3429.35,3571.8145,3612.414
10086.79,10560.269,10937.119,11451.299,11729.714,11732.567
10083.978,10482.426,10804.392,11231.302,11471.363,11492.176
6204.589,6708.4365,7126.83,7689.203,8041.7812,8105.9834
6212.7637,6717.315,7136.475,7699.4062,8052.6777,8117.4326
6902.202,6851.884,6886.2964,6996.255,6970.8496,6936.95
2503.6477,2540.4375,2568.914,2600.0002,2622.886,2628.6638
18546.953,18849.93,19090.559,19360.98,19540.477,19582.492
8177.9956,8277.221,8358.85,8454.272,8509.655,8509.297
