V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2022.6506,2017.0173,2016.6235,2013.0732,2007.238,2004.5745,2004.9996,2015.8679,2019.4423,2014.7888,2011.9878,2012.8916,2008.3016,2011.29
2971.5205,2976.7837,2999.333,2995.268,3012.2244,3000.9155,2996.692,2986.9749,3014.7983,3033.3142,3033.794,3019.7058,3017.1213,3012.45
1097.9167,1086.8635,1110.7524,1083.255,1074.1001,1085.0774,1119.3372,1124.5133,1145.6554,1150.09,1135.2714,1119.4436,1115.4075,1107.827
1170.1846,1153.0956,1136.5165,1133.0493,1005.39465,1028.0123,1098.8696,1127.9489,1161.1582,1212.9767,1172.8025,1120.4364,1165.6549,1237.0835
5868.888,5861.716,5883.407,5895.08,5917.575,5920.724,5920.4233,5910.692,5991.327,5969.988,5970.156,5978.6147,5994.635,6019.644
3029.0725,2969.9326,2967.75,3002.712,3005.881,2982.0684,3018.5005,3061.9336,3050.9844,3059.0308,3095.563,3140.3787,3160.2358,3166.8315
4707.569,4830.693,4367.705,4364.5273,4404.6104,4807.0493,4707.5044,4426.118,4165.217,4191.972,4516.396,4379.094,3981.3022,4548.7476
1729.582,1727.1968,1723.3193,1720.6266,1715.2423,1709.8152,1706.9451,1712.9698,1708.3297,1701.4576,1695.357,1688.8939,1694.4658,1705.0348
1582.5483,1580.3657,1577.0359,1574.3715,1569.4645,1564.7041,1561.7666,1567.2695,1562.7256,1557.0032,1552.0819,1546.2797,1551.5299,1560.7538
2598.4478,2572.701,2568.3816,2553.2908,2536.0918,2529.7537,2518.3032,2535.2932,2533.1328,2516.7288,2520.0347,2527.3997,2524.183,2538.9236
2429.2566,2414.951,2421.711,2420.6147,2418.6702,2414.427,2412.7065,2409.653,2406.6409,2406.6636,2407.8782,2405.2886,2411.4443,2424.0166
3630.7288,3620.3826,3614.5144,3604.7659,3585.4404,3581.9429,3582.9482,3592.95,3593.9607,3583.2246,3591.621,3590.3184,3578.2722,3600.4343
