V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
618.0658,559.0822,500.14868,465.9008,430.03586,417.66064,419.75537,432.89438,436.32806,493.26672,569.7347,644.07666,694.73944,748.81055,805.27814,845.0725,865.9681,865.7286,837.0017,801.1714,773.35065,730.80756,663.8716,610.3924,581.6768,542.79376,510.21698,468.0941,457.17676,449.2328,467.71793,472.4522,465.1256,511.35754,573.3248,620.8406,698.5668,758.8213,806.7399,823.2452,846.5459,847.1304,814.0278,775.1214,738.6621,710.0336,635.06244,556.1892
2813.531,2556.166,2235.2112,2070.0605,1837.4156,1797.5962,1770.8346,1850.5929,1922.1305,2114.0813,2384.9744,2669.9111,2861.0283,3068.549,3257.045,3472.7595,3595.4238,3652.2134,3610.4175,3573.9695,3527.6958,3342.2083,3115.7646,2928.896,2714.5522,2438.5713,2200.5923,2025.5078,1932.5052,1848.7822,1873.6265,1955.2551,1986.4285,2147.8513,2383.4448,2578.2642,2850.0085,3004.321,3113.7966,3244.5005,3411.0107,3504.6484,3481.3604,3477.65,3388.9058,3292.0808,2978.6912,2701.4563
1442.3925,1367.227,1236.2499,1170.6782,1082.1882,1036.4452,966.829,989.5859,982.7794,1025.7809,1076.7612,1163.28,1237.3711,1292.0769,1308.4193,1366.4727,1398.332,1460.8384,1498.5535,1531.6244,1527.4872,1554.4832,1569.3423,1571.1904,1482.0068,1371.1042,1268.4181,1179.3789,1097.3689,1001.6938,968.3332,958.8469,984.7641,1041.5834,1065.3412,1148.0554,1232.7705,1286.1396,1296.8279,1349.5214,1407.1119,1461.9984,1511.0262,1561.2222,1587.6364,1601.9032,1644.3467,1637.5879
5274.977,5091.546,4676.3477,4372.771,3988.2397,3735.8003,3582.1853,3385.726,3406.436,3440.8684,3504.0781,3659.2515,3909.7773,4107.7573,4250.59,4590.9106,4874.7627,5121.8677,5287.198,5442.8813,5527.023,5456.677,5314.2915,5261.0586,5155.9814,4877.116,4724.6167,4376.291,4133.08,3919.5688,3733.7017,3739.2734,3731.8389,3728.5676,3617.025,3664.596,4027.872,4150.5386,4224.8906,4360.0347,4592.0654,4855.3916,4922.2334,5062.9287,5103.705,5241.398,4997.281,4929.3945
3744.2148,3446.1208,2999.7688,2744.7947,2405.3809,2188.206,2039.9635,1954.8945,1874.9373,1958.7395,2013.1035,2112.6602,2344.7935,2538.963,2677.7185,3095.6018,3418.568,3762.9023,4058.331,4200.508,4371.0776,4457.4937,4474.499,4246.8115,3940.4663,3542.8823,3087.9458,2799.2651,2606.4429,2297.949,2147.6174,2003.9308,1942.6545,2014.8999,2007.348,2089.5828,2330.5967,2511.894,2672.5225,3005.6577,3421.0825,3835.3628,4140.4746,4321.7563,4502.177,4513.125,4403.386,4164.9883
5141.737,5302.4067,5567.225,5807.5884,6054.919,6349.389,6486.8516,6742.538,6947.18,7267.3467,7472.6895,7753.8076,7789.9917,7810.043,7838.5254,7694.514,7387.44,7018.8657,6551.246,6078.344,5660.451,5392.833,5229.591,5161.2246,5173.0747,5359.3926,5641.93,5676.498,5922.17,6212.914,6422.3633,6602.062,6780.085,7020.9756,7400.6885,7620.8384,7763.4634,7839.7437,7804.3394,7680.801,7341.369,6874.2593,6477.707,5981.26,5674.8804,5357.361,5293.1406,5209.685
49101.887,47520.58,43997.836,41064.4,36798.805,34162.727,32428.598,31234.004,30072.531,30987.193,31692.447,32679.768,35386.543,37778.195,39472.207,42634.926,45011.363,47569.89,50127.19,51335.305,52636.5,53519.54,53710.867,52726.297,51094.414,48056.22,44010.19,41143.82,38473.914,34575.766,33291.395,31859.45,30907.629,31914.672,31986.621,32716.252,35271.137,37808.473,39322.547,41605.086,44654.797,47685.992,50392.34,51721.156,53521.043,53509.223,52801.84,51543.008
28384.373,25863.242,23946.668,23117.41,22849.537,22917.473,24011.488,25283.676,25973.117,27865.086,30850.252,33646.63,34487.7,36183.973,38383.152,39836.203,40161.035,39587.21,38947.656,37967.938,36697.58,33982.21,32097.037,30674.281,28128.074,25322.521,24369.693,22949.988,22877.363,22448.133,23947.93,25036.152,26134.258,28392.354,31506.184,33320.434,35553.668,36669.523,38625.918,39678.95,40786.906,39988.734,40090.33,40187.438,38479.13,36482.645,34886.55,32181.031
34834.707,32328.367,29301.57,28313.666,26359.006,25711.037,25517.113,26754.61,26846.152,28408.912,30780.162,33018.504,34422.453,36015.965,37970.375,40069.766,41353.36,41852.77,41566.273,41215.65,40438.086,38645.46,37020.977,35382.156,33324.793,30586.082,28792.066,27265.57,26680.465,25438.758,25797.227,26877.373,26847.865,28200.867,30234.75,31999.955,34261.203,35616.406,36747.293,38162.1,39583.73,40028.043,39799.54,39924.24,38903.793,38369.387,36157.285,33994.125
462.5128,460.87473,433.90332,433.41046,415.47058,406.51846,393.86362,409.44476,414.55515,405.14285,405.78574,410.72455,420.9657,431.2977,431.50226,451.49118,451.09683,470.39993,468.0746,479.83157,480.12732,490.86505,490.25073,485.74014,476.45044,459.95184,439.96545,443.12094,434.01205,417.8825,399.53235,410.80988,406.62015,413.27332,406.5068,416.05484,424.28494,436.30835,432.3512,436.36383,449.56543,463.18124,466.60107,486.3874,485.99512,495.18994,485.5083,494.62085
