V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
8008.96,6992.494,5901.2046,5544.4043,5628.317,5208.084,5273.786,5225.4023,5232.1694,5162.14,5884.787,6883.7686,8002.6636,6921.0107,6478.1084,5961.122,6098.442,5785.08
2255.3438,2129.6782,2256.6104,2210.5134,2060.2502,1927.0217,2083.3389,2133.241,2102.0984,2063.4314,2107.9417,2346.7856,2343.466,2099.9612,2179.4788,2219.5525,2127.904,2034.0221
13283.943,13392.607,13418.071,13289.03,13260.322,13357.989,13356.431,13454.959,13489.026,13562.075,13459.942,13340.554,13266.695,13409.928,13427.579,13214.295,13211.78,13277.211
6612.4673,6588.2056,6576.2837,6535.2446,6595.813,6638.826,6619.3486,6565.876,6571.064,6587.501,6582.082,6599.8623,6628.9517,6598.916,6594.0947,6595.4907,6684.2173,6637.0938
4338.992,4367.775,4378.6973,4400.1167,4418.72,4420.879,4421.103,4421.8345,4436.9336,4420.254,4412.7666,4426.238,4414.324,4420.176,4420.0083,4421.212,4427.57,4435.053
11487.307,11509.0,11430.374,11459.279,11458.099,11538.101,11534.955,11525.477,11483.941,11510.019,11379.956,11440.231,11451.016,11474.361,11449.888,11528.233,11587.6875,11657.808
1112.358,1134.2091,1134.1844,1149.297,1182.609,1201.922,1195.5951,1192.9989,1211.391,1195.4824,1192.2781,1197.8606,1183.0908,1190.0569,1190.1564,1196.3203,1209.8046,1230.4923
1360.512,1366.312,1346.299,1350.6578,1388.2488,1389.2402,1378.9194,1396.1427,1405.0697,1391.2222,1374.9617,1386.1055,1365.7007,1365.7955,1363.8915,1364.0958,1375.5089,1388.3276
5332.245,5450.444,5579.2856,5542.126,5478.401,5321.494,5220.7817,5097.3257,5088.0093,4970.4814,5132.437,5235.575,5318.7266,5410.635,5504.4165,5445.3887,5394.901,5206.3394
6577.769,6504.051,6418.1465,6311.7627,6298.3115,6275.2695,6130.979,6013.232,6037.1777,6028.2275,5990.585,5933.304,5966.524,5916.6772,5935.856,5727.8936,5788.83,5791.716
11551.803,11817.335,12469.062,12901.4795,12892.873,12833.336,12555.363,12734.587,12897.549,12947.093,12817.795,12431.577,11609.043,11813.863,12530.61,12882.325,12902.316,12776.326
2770.3064,2784.8494,2773.5266,2772.857,2772.6345,2780.5654,2762.8127,2760.181,2767.3318,2778.9124,2773.519,2777.0361,2777.024,2777.7266,2774.3052,2770.6646,2771.5298,2777.663
2178.722,2182.198,2171.4233,2163.5503,2159.0798,2156.5786,2143.5083,2144.5293,2151.8699,2153.3784,2160.5881,2165.6572,2167.0605,2166.4805,2168.1357,2161.3567,2163.2402,2157.7727
4695.6045,4862.181,5083.379,5259.636,5263.1265,5149.3726,5011.767,5182.7944,5299.447,5298.7495,5046.666,4861.042,4721.84,4848.596,5091.699,5244.5254,5231.2666,5098.5894
2699.4429,2688.6873,2669.6567,2663.7747,2657.7556,2661.2932,2662.7878,2670.3416,2667.1038,2671.4485,2685.718,2696.9692,2694.7224,2685.3105,2662.8467,2660.1287,2654.4165,2658.72
13318.787,13456.007,14028.945,14411.504,14377.993,14316.802,14050.832,14182.456,14345.515,14419.6455,14483.106,14217.354,13328.83,13465.368,14141.8,14452.013,14446.204,14298.038
6716.1167,6982.7993,7696.8877,8138.4873,8135.0493,8123.2627,7880.853,8000.597,8158.7324,8201.195,8149.5723,7711.6885,6763.3647,6955.888,7773.9272,8122.7715,8178.743,8077.6064
6543.4116,6452.76,6301.3276,6247.468,6237.1763,6218.6987,6185.7666,6175.7964,6169.725,6213.192,6353.819,6507.799,6534.5996,6455.671,6284.7446,6229.3306,6222.5435,6189.902
