V1,V2,V3,V4,V5,V6,V7,V8
7150.036,7203.741,7324.6436,7381.2734,7621.671,7395.8496,7400.6875,7567.795
7328.34,7382.6885,7539.8,7579.733,7656.9087,7556.2827,7544.711,7677.8545
7324.5537,7304.8315,7417.4883,7552.652,7669.479,7676.868,7749.569,7796.78
7916.497,8007.985,8106.159,8168.7256,8262.052,8191.1655,8223.338,8272.423
953.78253,895.6549,1167.696,1315.8634,924.99036,878.1278,1125.1189,1296.7861
9880.728,9876.235,10021.253,10109.564,10169.48,10045.379,10167.868,10262.584
3358.4475,3361.7446,3334.123,3383.5635,3385.6667,3363.797,3341.7815,3382.8042
2599.6294,2579.542,2621.2036,2668.4907,2658.3945,2610.786,2645.1702,2696.4072
2484.8745,2477.806,2483.7375,2517.1172,2505.8875,2480.6235,2482.6326,2507.9602
2535.4631,2528.5552,2534.0195,2533.2048,2525.7466,2520.8022,2530.6494,2527.6165
1152.754,1144.9131,1144.8627,1151.1165,1154.9152,1150.9437,1149.4966,1150.2783
3227.0205,3005.6035,3318.8713,3425.3833,3240.69,3015.8955,3352.1277,3476.085
1723.9155,1703.7367,1699.046,1681.1091,1667.538,1657.1781,1638.2743,1658.6943
12365.912,12285.686,12327.012,12586.916,12748.312,12564.703,12269.854,12591.658
1265.745,1264.1444,1291.6515,1275.9578,1212.3164,1218.3002,1232.0198,1259.8163
1999.6802,1916.0928,1936.2822,1908.5839,1829.1641,1797.3372,1841.809,1858.9198
2427.6096,2462.6885,2415.132,2493.767,2465.5754,2488.1106,2423.8313,2501.4446
4797.2725,4797.603,4883.736,4797.5854,4769.151,4749.9526,4868.528,4819.6133
5787.6074,5840.8643,5917.2656,6008.0396,6028.907,5909.195,5905.4917,6002.791
6245.438,6216.8774,6168.1294,6253.3433,6245.619,6219.8057,6185.2324,6303.542
9894.25,9960.356,9924.491,10113.028,10021.192,9801.329,9845.996,10036.868
4908.414,4907.0493,4875.739,4989.963,4871.4316,4873.3936,4792.4507,4846.4004
5980.948,5925.159,6158.4707,6236.6587,6109.9585,5972.6953,6201.889,6301.5894
2321.6533,2319.9346,2335.2012,2325.427,2323.7803,2318.1223,2337.0422,2327.8523
1369.3289,1361.885,1363.9727,1370.5164,1365.0378,1367.5576,1370.6085,1373.031
7447.103,6823.254,7689.7676,9597.336,7416.4263,6895.5757,7508.4375,9105.287
9133.834,9116.056,9122.447,9158.551,9145.471,9089.831,9103.961,9150.116
4848.0225,4724.4414,4714.466,4771.7046,4753.276,4780.1577,4748.13,4772.2065
1923.3163,1887.2656,1890.431,1886.9534,1925.309,1892.0203,1892.1052,1894.2896
3127.7205,3123.2766,3067.7307,3099.703,3126.6074,3133.2485,3087.5583,3098.6309
2473.3965,2475.5237,2457.388,2488.3347,2471.9739,2481.5913,2468.7656,2481.8682
4891.825,4749.6113,4777.8325,4753.188,4913.266,4713.229,4718.4453,4716.7295
8228.487,8278.229,8228.308,8259.842,8249.439,8265.757,8182.3477,8242.162
7116.14,7135.238,7091.1294,7121.2124,7076.7686,7100.4644,7074.0166,7119.318
10013.096,9996.926,9959.307,9982.465,9981.639,9992.327,9919.607,9933.191
8957.189,8797.051,8845.647,8945.444,8870.899,8831.17,8821.459,8879.45
4372.785,4232.0186,4225.5474,4264.887,4252.516,4297.6665,4272.2124,4301.884
6294.1313,6154.125,6153.0586,6263.4775,6204.752,6237.4927,6248.7583,6221.4033
5409.9595,5484.3374,5821.072,5876.915,5363.422,5493.737,5923.1113,5860.9404
5242.186,5280.9824,5255.1167,5289.7314,5300.0503,5331.344,5290.5024,5307.119
1890.44,1887.6995,1885.146,1885.2821,1879.1536,1857.2147,1842.7295,1863.6587
2130.5894,2116.334,2116.9067,2122.7417,2153.7527,2124.5564,2105.0688,2126.6501
5446.242,5496.3726,5432.0522,5521.094,5492.265,5527.811,5450.935,5486.79
1289.5103,1283.4352,1268.4738,1270.9617,1289.634,1286.6796,1261.9159,1268.9514
1911.5499,1906.2888,1905.1617,1905.2151,1902.421,1884.1697,1877.5662,1891.9872
3354.1548,3330.495,3298.4077,3290.5051,3263.3665,3267.8152,3259.0117,3305.7402
9512.262,9566.591,9493.889,9503.366,9456.38,9521.256,9431.843,9515.3955
1378.6908,1352.4064,1396.5707,1380.427,1370.8539,1357.7651,1377.5458,1379.223
8771.272,8708.304,8693.31,8750.902,8685.871,8748.262,8755.3,8806.68
9155.2705,9077.572,9037.162,9114.377,9029.457,9105.942,9121.845,9202.802
