V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
35798.95,35978.15,36432.12,36522.035,36428.176,37311.39,36866.78,36919.01,37094.395,36642.773,36987.297,36330.38,36941.63
3570.1377,3604.8433,3638.1833,3674.3633,3609.5635,3735.6267,3672.1636,3697.204,3707.8755,3698.113,3692.9219,3648.1475,3683.58
9622.429,9609.622,9538.383,9586.971,9626.964,9569.086,9550.2,9524.367,9608.626,9636.512,9577.28,9570.638,9642.465
2382.673,2405.029,2406.7803,2403.1807,2390.5027,2422.951,2464.1719,2423.2148,2384.096,2342.913,2295.7815,2447.4192,2300.069
1443.1232,1576.7847,1579.3875,1622.8809,1680.8077,1782.9277,1899.2649,1855.3376,1764.638,1761.0347,1691.5862,1883.3389,1801.3032
503.66608,547.6473,585.4298,601.51294,573.57983,579.3102,609.95233,543.83765,582.50793,669.0595,654.19104,643.44244,627.1443
2634.2441,2639.42,2608.7488,2689.5002,2698.5903,2803.7253,2913.9902,2957.2373,3005.464,3087.2078,3200.0273,3109.2925,3020.633
2500.0825,2264.661,2234.1758,2449.0583,2388.6897,2217.6226,2430.4976,2575.4023,2424.8179,2354.1902,2312.6711,2598.9343,2386.1978
6821.3228,6433.123,6583.6035,6539.7593,6476.19,6232.7983,6591.957,6444.2046,6457.3535,6304.183,6296.04,6503.72,6330.071
5096.811,5031.867,4974.379,4924.977,4900.359,4945.1113,4998.449,4954.2534,4981.138,4985.396,4968.84,4945.672,4905.198
340.63666,335.3666,347.06622,371.94284,359.40884,394.77347,366.34637,366.10382,359.25647,361.62805,367.19238,372.50375,376.11487
1022.2627,1027.1829,1025.4758,1046.42,1041.2142,1063.7988,1075.4877,1073.916,1066.6267,1069.3606,1050.8075,1043.826,1049.1658
2423.8271,2377.6177,2343.3008,2329.4065,2404.811,2430.7212,2470.8975,2350.024,2343.0874,2349.673,2395.836,2413.7446,2441.7478
2417.8552,2372.9785,2308.2317,2295.287,2332.2405,2396.9485,2417.1963,2287.496,2324.7578,2334.4795,2334.2483,2337.6575,2411.541
5278.53,5268.7793,5459.8857,5254.7812,5216.4717,5903.144,6356.784,5202.353,5205.9565,5367.124,5825.88,5386.1255,5814.1777
5278.53,5268.7793,5459.8857,5254.7812,5216.4717,5903.144,6356.784,5202.353,5205.9565,5367.124,5825.88,5386.1255,5814.1777
11956.722,11902.871,11868.354,11804.412,11781.523,11849.583,11913.978,11913.976,11955.954,11978.611,11942.754,11904.723,11887.32
4351.314,4421.3696,4454.4473,4461.1934,4446.4595,4497.84,4479.918,4456.204,4439.68,4467.578,4448.999,4483.4,4479.6396
2575.7058,2657.4265,2606.1367,2835.1565,2859.1904,3192.317,3333.6223,3236.8826,3011.953,3322.6262,2728.7302,3146.4553,2868.9294
4080.9111,4256.0757,4153.7764,4225.668,4151.5938,4322.2554,4368.9644,4557.1577,4620.034,4648.161,4192.1055,4660.4775,4536.417
1911.6416,2001.2739,1930.4039,1973.9454,2133.7917,2268.8105,2226.5857,2110.1316,2156.9514,2086.9822,1950.919,2196.6528,2154.793
3971.0,3818.3625,3866.949,3796.2148,3736.2798,3846.4292,3900.484,3400.7422,3340.0305,3707.867,3949.4036,3988.7998,3803.5452
772.6569,795.8491,805.3231,808.9859,813.18494,849.265,845.10223,834.564,847.2459,859.3034,840.23676,848.2914,843.5817
6515.5854,6283.529,5801.195,5959.2573,5781.6426,6453.8364,6777.9355,6361.287,6364.4995,7155.8193,6017.505,6759.392,6493.4077
1215.241,1187.4824,1136.7631,1120.1758,1104.2041,1126.106,1149.526,1125.4731,1149.9705,1141.9221,1086.6754,1109.3313,1068.8501
2870.2441,2926.6724,2864.2705,2841.5515,2865.9514,2927.025,2905.6248,2917.1274,3095.6455,3187.4783,2796.1345,3036.0286,3145.3843
1955.6868,2183.3093,2042.229,1906.0686,2098.0505,2259.962,2218.3474,2075.5154,2520.7744,2439.847,1745.8567,2193.2417,2378.249
2833.064,2724.6323,2755.8376,2625.856,2840.1064,2722.665,3396.586,3321.0356,3168.388,3398.827,3735.4116,3839.169,3834.3667
718.2995,704.2967,708.6116,682.7054,702.6876,650.7821,684.1619,636.74756,654.51337,650.33295,650.2641,707.55444,679.8615
3610.962,3737.029,3797.4326,3809.9644,3642.6812,3867.4136,3941.951,3745.5835,3749.9404,4022.6968,4011.0898,3936.9885,3859.4932
844.22003,822.1826,822.0335,811.97107,792.1445,803.3081,887.32446,844.7856,832.3727,799.2394,746.30804,843.9078,780.6405
4132.9443,3768.0898,3679.9902,3786.826,3769.3193,3945.2659,3829.4377,3896.4634,4284.288,4129.4214,3493.3047,4224.454,4297.3984
1468.4552,1454.4128,1541.8325,1596.8544,1558.9418,1512.006,1614.0312,1628.3389,1608.1937,1603.4796,1543.7614,1596.5283,1502.3176
1269.1824,1185.5057,1229.6298,1250.4882,1238.4753,1187.5088,1252.1113,1205.0353,1214.4939,1138.4539,1154.1559,1163.93,1148.9935
1126.0985,1052.7505,1089.9554,1113.6195,1203.9948,1121.2753,1187.225,1162.0498,1179.187,1108.0608,1090.0225,1133.9666,1149.3923
14926.999,15915.191,17199.906,16052.535,13870.455,14959.314,17716.04,17198.41,15931.729,15641.194,16828.426,16460.314,14396.838
2904.879,2900.0479,2888.7393,2897.7922,2897.741,2890.253,2913.7336,2901.48,2902.2488,2897.7021,2881.4631,2895.149,2881.5413
3120.7068,3137.099,3124.348,3152.7712,3169.405,3209.9646,3204.279,3190.214,3184.6375,3200.3818,3160.4404,3174.5322,3167.8171
5851.972,5872.1343,5902.4497,5896.3193,5889.233,5905.098,5946.4077,5891.6313,5920.89,5925.5283,5934.624,5865.2183,5894.634
5852.792,5874.2886,5904.4595,5898.0386,5893.723,5911.354,5953.029,5897.6016,5928.095,5932.121,5945.4473,5870.5054,5900.954
6195.7603,6203.073,6179.9795,6156.186,6185.4546,6210.0654,6206.4517,6182.0225,6178.2734,6191.165,6173.3613,6177.1685,6185.8076
6206.139,6214.711,6194.704,6173.7163,6198.644,6220.8794,6216.978,6192.009,6189.1187,6202.4067,6182.8086,6188.3706,6199.2837
6200.8877,6208.937,6187.483,6165.1836,6192.2905,6215.447,6211.612,6186.9336,6183.622,6196.773,6178.1953,6182.9697,6192.689
5853.537,5876.2637,5906.247,5899.418,5898.0986,5917.409,5960.1885,5903.5977,5935.811,5939.0527,5956.352,5875.4194,5907.4653
2943.208,2959.2903,2934.848,2940.7976,2933.8718,2940.9602,2955.6792,2977.631,2928.9827,2918.678,2944.039,2959.8127,2941.577
3266.5166,3305.4907,3293.23,3231.5974,3259.076,3309.9248,3337.594,3306.8638,3294.717,3305.5918,3306.5276,3254.6494,3296.8767
2941.939,2958.435,2934.0195,2939.7444,2932.8281,2940.061,2954.4512,2976.4983,2928.0662,2917.5134,2942.6504,2958.573,2940.365
2963.871,2920.7805,2847.0425,2853.6157,2895.273,2914.3071,2963.3452,2946.674,2920.583,2934.3535,2924.9612,2946.4893,2980.938
3262.9358,3297.5544,3280.0093,3287.2417,3269.3884,3282.813,3302.935,3330.3765,3281.7627,3261.3718,3295.8484,3287.4,3281.197
3264.5605,3298.728,3281.3792,3288.7053,3270.7402,3283.8325,3304.226,3331.4836,3282.6887,3262.471,3297.2388,3288.5813,3282.4858
6574.2324,6622.4487,6624.803,6573.568,6534.2095,6543.323,6595.451,6606.3086,6637.706,6711.9517,6691.178,6648.0713,6638.1587
7108.278,7193.8926,7208.123,7180.886,7190.382,7274.7095,7244.9062,7268.4155,7308.538,7362.6426,7321.8945,7308.289,7304.009
1807.7783,1816.3491,1777.6133,1722.55,1623.8241,1659.7058,1669.0702,1626.7808,1664.408,1675.3461,1622.3063,1653.314,1584.1947
2502.073,2514.7722,2510.8154,2505.8687,2519.0212,2547.49,2538.8008,2532.0051,2530.7822,2540.2236,2526.053,2537.6846,2533.5317
4845.635,4711.4937,4769.9175,4807.7954,4746.5024,4876.294,4934.977,4748.5967,4704.1274,4624.601,4750.1343,4727.0547,4735.385
2978.8528,3038.8445,3127.75,3178.563,3047.442,3062.5764,3277.4746,3062.249,3117.6655,3141.49,3123.678,2975.3997,3017.3435
2070.1392,2060.7195,2033.1984,1996.7374,1958.0396,2055.5093,2117.3994,2159.6533,2164.9292,2194.0034,2207.969,2157.9958,2187.752
3456.192,3519.3022,3624.1973,3661.6287,3650.7869,3830.7375,3811.5627,3812.4749,3802.9558,3873.6062,3883.0579,3886.6912,3832.2004
2296.2869,2434.7356,2436.8208,2620.002,2087.5344,2058.6396,1832.8826,1932.0898,1621.3561,1890.8624,1897.454,2164.89,2133.3303
8984.061,8982.533,8966.958,8960.896,8944.365,8951.865,8973.126,8991.539,9003.477,9025.229,8983.515,9006.909,8965.457
10167.899,10339.381,10305.234,10037.785,10115.113,10280.206,10469.708,10089.336,10169.86,10434.313,10558.833,10250.377,10267.611
7099.7373,7043.3203,7014.13,7051.593,7040.5576,7017.235,7066.2764,7029.1685,6940.1304,7010.028,6991.8213,7054.23,7027.0264
6048.5576,6095.1187,6044.7837,6038.2476,6051.39,6089.564,6088.5312,6025.3433,5960.466,6019.9233,6015.7725,6046.9214,6014.4243
13063.951,13164.964,13305.783,12995.068,12739.023,13112.108,13539.075,13424.001,12979.622,13118.558,13169.063,13392.257,13020.293
18387.367,18487.17,18652.283,18314.639,18061.434,18432.314,18903.67,18761.156,18270.172,18434.861,18488.564,18764.082,18326.463
7331.4004,7316.071,7242.3,7283.357,7324.1357,7276.1367,7256.4854,7225.181,7316.1084,7344.5854,7285.4526,7269.3735,7350.3784
13217.369,13251.155,13294.146,13322.775,13244.662,13286.792,13309.134,13179.721,13036.324,13097.57,13055.812,13105.911,13094.348
6934.966,6993.2295,7023.4536,7053.5513,7053.399,7181.034,7134.4785,7098.641,7082.3696,7122.0728,7135.377,7114.201,7109.018
6943.6577,7008.023,7026.6475,7041.532,7033.6987,7166.053,7106.5264,7070.6904,7065.5483,7110.9775,7117.913,7106.96,7101.325
2628.781,2634.5889,2639.1812,2645.118,2646.3572,2644.307,2643.2832,2634.9846,2634.706,2634.696,2626.1172,2633.6392,2634.1006
1973.4747,2015.6279,2042.2075,2114.5278,2125.0125,2299.659,2279.3096,2192.3918,2175.927,2224.6265,2175.566,2104.1074,2112.457
1973.3785,2015.6497,2042.1106,2114.5337,2124.9973,2299.7598,2279.2239,2192.3042,2175.828,2224.483,2175.4,2104.1313,2112.4346
1973.4747,2015.6279,2042.2075,2114.5278,2125.0125,2299.659,2279.3096,2192.3918,2175.927,2224.6265,2175.566,2104.1074,2112.457
5038.49,4873.665,4831.5723,4771.6597,4958.51,5214.974,5580.91,4923.38,4783.6255,4657.867,4975.832,5253.865,5410.6367
24364.21,24189.62,24014.418,24000.629,23842.088,23944.799,24512.346,24679.238,24807.04,24888.74,24134.957,24289.912,24400.727
450.04666,465.4629,482.28604,443.2955,423.58383,793.34607,555.5637,439.99765,431.79892,429.422,440.91656,399.73984,536.7475
3897.7822,3725.5164,3219.6714,3200.1726,3388.205,3422.6611,3379.171,3301.1133,3433.2224,3498.2925,3275.6426,3549.6191,3657.5623
3809.8486,3566.0806,2942.4963,3127.102,3401.824,3482.1045,3369.6128,3425.4426,3567.767,3543.1506,3292.2515,3707.3904,3749.3357
1299.1316,1316.3265,1318.7992,1360.4716,1386.4056,1301.1404,1394.7477,1201.1345,1178.4319,1224.2065,1169.2231,1146.0112,1091.685
1430.1393,1399.5294,1463.4244,1473.3843,1482.6777,1387.2836,1502.7783,1305.7406,1288.604,1240.1924,1268.4265,1201.0205,1192.8751
24726.0,24476.13,24251.771,24296.846,24084.441,24148.55,24449.287,24726.975,24653.629,24755.559,24249.143,24523.387,24566.414
4424.8804,4426.3325,4422.735,4425.5244,4426.7583,4432.4663,4426.729,4425.626,4428.758,4428.3457,4423.653,4422.7334,4432.086
5971.7134,5957.828,6011.576,5950.31,5875.5264,5924.761,6026.9136,5811.739,5850.5957,5834.3535,5789.7446,5707.256,5783.2754
5913.191,5919.782,5954.727,5886.404,5810.5635,5894.8506,5926.6807,5724.141,5721.963,5734.752,5649.347,5607.656,5664.2603
17035.936,16992.912,16952.156,16768.74,16595.984,16661.732,16718.096,16652.25,16557.66,16612.484,16526.46,16570.656,16535.523
17061.936,17045.984,17022.965,16861.18,16692.582,16775.973,16845.113,16772.21,16670.54,16730.81,16642.35,16654.807,16602.62
1085.1222,1085.3798,1085.2646,1085.9741,1085.2461,1084.8105,1085.3687,1085.8622,1086.861,1086.9458,1085.252,1087.1215,1087.5845
11916.121,11909.095,11914.821,11881.483,11836.93,11866.374,11872.344,11862.605,11812.195,11835.93,11833.325,11865.93,11850.21
1206.7766,1232.8843,1229.5569,1223.8098,1268.7385,1259.7871,1252.8517,1218.9744,1234.9319,1234.4889,1250.8513,1225.5403,1246.0138
1839.4523,1871.475,1865.3278,1870.9941,1857.2329,1865.5114,1864.8193,1864.6417,1864.5164,1882.6807,1864.5438,1871.0642,1865.0021
19634.99,19979.348,19896.479,19945.498,19835.371,19908.309,19900.28,19890.432,19903.215,20079.588,19893.115,19925.795,19903.46
23142.75,23421.582,23597.695,24118.922,23867.012,24580.643,23877.059,23863.146,24158.887,24147.205,23889.936,23920.191,24024.95
1727.7416,1722.4551,1725.1382,1720.5114,1712.2174,1709.7351,1712.1526,1708.1515,1706.7102,1703.4294,1699.9459,1705.2129,1705.6962
1831.8615,1840.9772,1818.548,1806.0149,1799.7369,1820.3514,1814.6515,1789.0106,1800.7274,1781.4364,1753.0067,1737.9226,1738.3569
1701.8207,1699.4517,1690.9692,1695.6151,1668.9486,1683.7163,1670.9316,1622.1798,1679.3936,1655.4558,1642.6843,1596.9517,1618.0172
11205.6,11185.893,11175.1,11191.518,11148.021,11160.337,11189.997,11211.4,11181.818,11198.661,11211.196,11220.355,11227.929
466.80682,493.292,492.78662,492.71106,518.48596,530.12,535.3419,516.5514,516.0185,529.31573,525.74274,504.0024,504.8475
603.08484,629.5283,629.85266,628.6255,651.7624,659.8787,669.6551,650.76215,647.3481,662.61285,659.6492,638.36316,638.2693
14828.678,14757.841,14698.338,14771.177,14374.858,15599.616,14707.663,14746.842,14519.968,14457.373,14342.395,14538.87,14858.925
11376.116,11388.676,11338.007,11393.076,11383.762,11365.431,11377.509,11419.418,11389.074,11398.586,11378.964,11398.35,11405.568
9700.581,9662.8545,9651.912,9636.318,9581.217,9582.032,9583.711,9570.189,9538.485,9552.285,9550.334,9574.399,9586.085
15628.204,15636.038,15653.142,15559.628,15511.331,15575.238,15636.726,15579.38,15463.003,15504.883,15524.331,15569.027,15527.421
4024.836,4026.9343,4017.778,4047.2454,4017.5544,4022.6543,4047.1501,4081.9993,4052.917,4059.421,4029.6094,4060.298,4031.6968
1022.1259,1007.4112,1006.06384,1007.75586,979.1076,1066.7313,992.28894,997.779,985.96027,978.51465,973.4144,985.6793,1004.45844
9148.167,9140.182,9136.727,9141.819,9123.156,9109.433,9131.403,9119.001,9108.286,9099.618,9079.869,9093.19,9091.764
2142.1746,2137.1016,2138.8916,2134.4185,2127.296,2125.5906,2126.768,2124.66,2123.4204,2120.8862,2117.8313,2123.1648,2123.3328
23945.516,24074.982,24200.621,24154.736,24183.498,24237.139,24474.951,24303.41,24374.443,24358.951,24498.656,24309.08,24414.549
15876.621,15869.437,15854.381,15870.949,15839.044,15865.045,15883.375,15901.335,15919.114,15930.107,15914.359,15927.663,15934.882
14137.096,14140.381,14130.358,14146.005,14118.637,14139.09,14159.24,14180.321,14190.895,14198.291,14185.299,14191.349,14201.2705
7369.8945,7438.1553,7485.807,7444.026,7455.064,7519.502,7557.7163,7486.2427,7499.5376,7508.101,7611.6514,7518.097,7563.3687
1071.4762,1071.935,1071.8931,1072.6906,1072.0471,1071.6593,1072.1617,1072.6747,1073.5378,1073.6353,1071.8259,1073.7651,1074.0653
9417.402,9419.851,9417.224,9390.885,9351.459,9379.082,9372.601,9363.169,9318.3545,9343.625,9336.855,9371.641,9354.0205
751.526,760.43317,764.85974,760.20123,769.2169,767.4342,771.5145,764.7017,762.7212,768.4671,770.49066,771.6264,766.23737
10424.47,10456.645,10451.626,10340.769,10242.573,10311.989,10338.49,10377.397,10397.61,10444.051,10415.168,10463.999,10360.175
11201.005,11261.785,11240.335,11114.793,11023.792,11096.185,11089.044,11126.559,11156.532,11200.272,11182.645,11215.723,11146.323
14547.399,14653.241,14678.348,15044.423,14853.863,14809.653,14824.786,14866.996,14877.236,14949.187,14585.305,14927.314,14875.288
7054.64,7083.3745,7114.4546,7111.5,7088.8564,7118.296,7178.6543,7145.9956,7120.46,7134.6,7124.9336,7105.8643,7100.951
1727.121,1721.7891,1724.6191,1720.1311,1711.8004,1709.2839,1711.8353,1707.8285,1706.3782,1703.0548,1699.5836,1704.755,1705.235
1007.35175,1007.7886,991.4081,976.1637,989.00323,1009.72015,1018.3658,1001.12463,1011.76324,1010.718,996.5445,981.6796,996.1556
873.6031,864.9243,845.0995,839.67236,817.4419,827.7366,827.2865,785.0764,804.5566,798.3754,780.5701,765.82697,768.33746
10273.969,10246.617,10234.658,10224.414,10169.343,10178.667,10185.913,10187.418,10152.52,10167.91,10160.681,10191.044,10194.423
353.0828,374.5448,367.85867,357.22906,364.0399,372.42862,359.5589,347.18863,344.15106,360.83975,368.9984,363.12448,359.2568
456.7796,479.28165,472.7456,463.05643,469.89844,478.94373,464.45142,448.31564,444.53705,465.01797,477.45468,467.7007,464.19235
8410.113,8396.52,8410.029,8447.515,8405.061,8592.046,8529.072,8562.518,8525.923,8530.604,8538.405,8572.044,8612.982
10811.185,10810.698,10789.227,10821.77,10810.755,10799.633,10811.24,10845.279,10848.637,10842.784,10810.216,10820.72,10843.377
9429.038,9399.437,9392.315,9381.193,9322.453,9326.538,9326.152,9317.035,9284.629,9297.313,9287.883,9318.154,9322.208
10846.903,10855.9,10910.005,10874.9375,10819.771,10844.919,10955.741,10918.981,10778.641,10783.43,10810.118,10924.757,10839.735
3531.2327,3531.0776,3539.388,3546.4,3516.3823,3505.4062,3558.516,3602.419,3583.4133,3552.5784,3538.6758,3551.9614,3563.7627
