V1,V2,V3,V4,V5,V6
7267.444,7328.682,7341.087,7365.0474,7358.1587,7299.0146
1448.1886,1307.2963,1293.2014,1215.9749,1174.8585,1231.9336
8641.545,8719.966,9244.928,9397.072,9478.191,9299.916
10087.849,10169.9375,10751.62,10931.023,11036.105,10815.995
7213.5205,7197.5522,8165.128,8451.679,8429.463,8054.782
4083.4006,3996.2676,4407.511,4716.3013,4653.642,4438.9985
3561.9705,3424.692,3739.2563,3991.1343,3931.2393,3759.9238
2382.5798,2363.6353,2368.3967,2378.538,2375.2576,2373.644
2306.685,2283.0615,2362.5422,2419.5164,2409.5632,2369.435
2250.1042,2196.1448,2239.31,2282.6091,2265.6895,2245.3945
1486.7375,1471.4539,1511.0046,1544.6621,1538.968,1514.4246
2038.4126,2031.957,2154.9478,2248.865,2241.3704,2178.1
4483.057,4322.1226,4311.074,4389.2603,4491.6396,4411.75
5022.417,4933.378,5060.9434,5145.711,5245.1226,5148.0796
5336.3306,5232.204,5461.2617,5545.73,5699.5674,5554.379
2486.7651,2492.1396,2489.2002,2537.2664,2549.5334,2507.8462
3829.6533,3759.0415,3857.2698,3889.9165,3989.379,3940.043
3112.73,3052.7192,3050.641,3088.8552,3116.0127,3068.7334
2975.1558,2821.9106,3458.0146,3904.9849,3691.2185,3315.279
6581.2393,6654.0317,6899.0786,7143.774,7036.5625,6865.7373
9657.029,9774.139,10442.549,11158.968,10886.036,10418.651
4091.1138,3901.8025,4243.5723,4575.812,4417.7217,4241.6846
8760.022,8193.379,8308.294,8327.766,8046.2305,8151.888
7961.215,7420.6714,7561.1426,7817.376,7613.2173,7641.1553
2330.885,2280.8135,2422.1523,2604.2798,2533.1992,2430.9958
7122.34,6842.3145,7439.0186,8080.934,7779.9053,7376.2373
1689.7764,1630.5515,1740.7268,1859.4016,1811.4438,1748.2885
1661.4911,1605.9196,1720.877,1834.6675,1779.4181,1712.9019
4124.1333,4040.99,4180.257,4308.3223,4283.2275,4201.4233
4596.351,4529.308,4821.4155,5041.2974,5055.457,4902.116
3620.5854,3550.276,3560.3225,3554.7832,3542.9004,3574.8857
5403.286,5330.2485,5551.064,5712.7124,5683.077,5565.2935
1281.9271,1261.7499,1312.6066,1360.2664,1361.3105,1332.8643
1680.0592,1648.9395,1713.2194,1766.6572,1762.0868,1732.2046
3416.8865,3369.0186,3541.3755,3682.0164,3666.3652,3568.9756
1151.472,1134.3071,1170.27,1198.4672,1193.9658,1174.9357
3986.0046,3916.7065,4119.4717,4289.844,4263.258,4136.9175
1809.6943,2910.1997,2794.5503,866.2988,2173.4297,2201.9053
3684.8477,3526.6892,3580.7195,3565.3518,3560.7883,3517.0332
4616.181,4472.4814,4537.758,4488.846,4570.089,4487.1274
14415.977,14096.417,14177.423,14070.676,14233.539,14093.561
5904.1216,6092.7,6738.702,7040.2153,7065.922,6816.1953
2947.8833,3002.2856,3276.2617,3351.917,3423.5747,3323.728
10197.321,10125.331,10625.293,10671.897,10895.256,10706.34
10084.913,9997.538,10372.12,10410.984,10607.59,10413.398
6498.4883,6726.466,7462.9766,7696.898,7776.5317,7587.949
6508.548,6736.9375,7475.127,7711.1357,7790.1865,7600.762
7332.358,7523.6216,7490.4067,7546.961,7623.6504,7499.0044
2531.8542,2528.4707,2590.153,2604.448,2629.5005,2607.048
18583.426,18503.123,18847.219,18953.12,19139.834,18968.6
8162.041,8097.296,8210.673,8267.444,8344.883,8284.655
18334.49,18789.195,21538.434,22531.406,22557.797,21473.584
20658.629,20896.846,25361.277,27911.504,27375.312,24773.238
9012.668,9510.174,10799.115,11302.783,11473.174,10947.904
2850.1396,2982.4097,3425.3997,3633.0422,3649.2737,3440.3757
12626.715,13265.172,15658.186,16953.488,16791.227,15683.646
2192.8777,2284.8313,2549.4082,2663.145,2654.6,2574.6455
9786.508,9403.39,9478.583,9344.715,9577.0625,9491.154
9951.835,9954.171,10132.098,10135.746,10180.351,10100.297
9986.82,9893.523,10196.476,10236.411,10405.342,10240.079
9412.812,9418.473,9543.46,9426.712,9245.739,9029.167
9607.518,7815.5933,7720.262,7366.89,7913.0356,6831.7207
9850.459,9738.887,10265.554,10234.182,10492.555,10222.324
13639.905,13633.859,14666.822,14640.882,15099.676,14417.088
