V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2033.5934,2029.0687,2028.48,2028.9965,2027.0098,2029.5327,2029.0906,2027.008,2025.3773,2026.1946,2024.0557,2022.1095,2020.9824,2018.1473
2971.2612,2974.381,2991.48,3006.5173,3020.4058,3026.9702,3033.3386,3036.1135,3038.5342,3044.9546,3043.5496,3039.1907,3036.634,3031.582
1106.188,1114.2465,1131.4287,1153.9564,1165.7832,1183.2411,1179.935,1179.1731,1170.4042,1171.6957,1159.2686,1153.2333,1156.6265,1152.4152
1114.8003,1149.5955,1186.0198,1270.8528,1306.177,1330.9495,1358.7075,1382.8112,1413.3403,1448.0334,1477.3549,1488.7502,1523.5109,1534.7577
5910.9526,5888.282,5877.5776,5868.4062,5858.2275,5858.9346,5849.3115,5832.2407,5822.7925,5820.8203,5812.579,5808.7734,5800.421,5794.0103
3059.2576,3003.1787,2982.2031,2982.8943,2975.192,3001.6482,3018.1917,3032.8748,3060.0496,3108.4114,3131.6064,3197.5027,3257.3203,3278.7173
4778.561,4678.7925,4571.625,4509.045,4383.95,4390.162,4251.2837,4206.4326,4041.4282,3953.9814,3963.4656,3987.2366,4020.8916,4101.753
1744.5208,1736.0928,1734.4747,1731.4126,1729.1548,1730.4639,1730.3362,1727.6436,1728.3112,1731.9076,1732.767,1732.5725,1730.9792,1729.7175
1595.3921,1588.0853,1586.8663,1584.2887,1582.3888,1583.5032,1583.4945,1581.2769,1582.0205,1585.4299,1586.4537,1586.3866,1585.1357,1584.088
2619.4412,2602.109,2595.5103,2588.0408,2584.5486,2585.2578,2582.703,2582.6162,2579.3389,2580.1982,2579.813,2583.8625,2579.1577,2572.9353
2431.808,2419.9426,2408.1113,2399.458,2387.7139,2386.4353,2386.2192,2383.1992,2384.1597,2388.2163,2394.3562,2401.7908,2413.1577,2423.2517
3662.2954,3641.1458,3627.3667,3615.5098,3605.4502,3605.6895,3600.3638,3595.603,3583.7754,3575.094,3567.1675,3566.1306,3559.8442,3551.8872
7171.484,7144.4453,7134.517,7125.672,7107.54,7100.342,7089.7637,7055.915,7030.957,7020.321,6987.508,6963.5967,6938.0923,6921.1636
5787.3296,5756.838,5750.795,5760.976,5754.7744,5750.4614,5736.06,5695.7456,5685.699,5693.7373,5696.402,5694.8364,5699.4346,5696.149
8110.204,7804.159,7546.7695,7407.985,7232.155,7246.999,7132.176,7017.3936,6766.836,6630.2793,6479.7373,6502.792,6443.7876,6420.26
3078.5786,3079.5232,3080.0403,3082.355,3082.137,3081.2244,3079.9683,3075.1648,3073.5876,3073.3564,3072.464,3071.6807,3070.4893,3075.536
4037.2063,4027.222,4019.3704,4008.4248,3995.529,3983.1646,3968.6814,3953.5134,3936.8838,3926.606,3916.58,3918.9014,3914.3694,3910.7515
9530.7705,9529.601,9529.434,9525.331,9519.779,9521.075,9525.432,9522.2295,9527.839,9530.465,9522.615,9521.067,9519.826,9516.291
