V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
639.4747,573.4769,603.9593,542.9506,524.95874,530.9637,511.28528,506.98993,562.10425,626.6842,589.8034,612.2381,683.66394,672.8313,704.485,724.7821,732.0767,728.60535,1441.6023,708.0537,718.3084,710.68164,667.9411,659.80896,895.6044,624.9221,601.5402,534.48737,548.2731,550.247,488.2918,544.5734,558.25275,597.0281,600.1285,680.092,622.2932,670.2061,688.78784,710.6994,720.0191,712.82837,725.79193,715.6544,690.5274,691.6061,696.74835,651.7847
2855.295,2545.3489,2671.8835,2378.3857,2292.2668,2298.647,2194.2861,2178.1045,2405.1272,2658.8013,2502.8623,2627.1228,2912.9868,2893.5208,3056.6008,3117.7847,3157.1006,3166.0054,6138.1567,3084.4766,3179.3208,3124.5664,2985.5903,2916.254,3871.2195,2764.8098,2650.7334,2345.542,2390.7842,2384.728,2103.681,2336.1123,2401.329,2569.431,2574.3967,2889.9326,2644.9297,2876.359,2965.6853,3071.9785,3096.78,3087.6628,3149.6418,3142.107,3053.1252,3042.7346,3084.8965,2903.5435
1167.0876,1073.2112,1115.1989,1013.73083,996.0576,979.1827,945.9245,950.494,996.6419,1067.7966,997.7231,1053.5343,1101.6381,1098.4263,1131.6278,1175.7384,1172.9949,1186.8639,2069.982,1184.3788,1196.729,1191.7444,1165.5117,1146.518,1432.532,1124.8009,1095.8545,1000.2717,1016.61743,1002.6127,920.3404,976.12335,986.30975,1047.2388,1043.7324,1143.6831,1069.83,1118.2186,1124.8624,1163.5267,1157.1753,1157.6687,1193.4183,1194.2913,1174.115,1188.8976,1210.8801,1174.7708
5052.3784,4787.0444,4713.1245,4529.052,4456.6406,4192.361,4082.8625,4007.4453,4066.7434,4311.476,3980.8623,4135.9404,4377.5293,4424.9717,4458.6553,4592.137,4743.6226,4862.9634,9158.004,4926.419,5180.356,5091.8047,5046.112,5044.1514,6395.5586,4962.672,4848.6133,4515.0317,4524.8394,4367.676,3996.4998,4133.6943,4127.0093,4194.359,4149.5825,4652.067,4257.0405,4377.098,4530.079,4632.746,4754.5776,4782.211,4946.782,5068.669,4979.5474,5224.354,5269.3276,5134.921
2843.7715,2525.558,2558.2766,2298.4297,2248.8733,2044.3934,1969.0698,1944.3,2006.5684,2244.7288,1879.3906,2092.4746,2249.892,2262.683,2317.678,2506.8877,2588.9277,2664.9043,6411.4766,2766.4233,2904.6191,2845.7583,2745.8257,2732.889,3941.8252,2720.0232,2602.3782,2262.3857,2300.6384,2204.2708,1890.8953,2019.366,2011.3684,2122.875,2106.3887,2596.0732,2210.4202,2313.1895,2383.2751,2514.397,2558.097,2605.3481,2767.6938,2816.473,2719.7153,2929.0598,3016.9585,2869.0225
5478.4395,5461.9697,5520.0767,5624.5806,5807.2954,5790.2334,6099.7637,6184.7466,6383.6235,6433.117,6488.0156,6376.3906,6607.8047,6250.322,6195.2617,6374.646,6226.2617,6241.5254,9711.59,5876.6787,5826.2617,5431.286,5335.579,5361.4473,6634.168,5494.063,5711.967,5694.728,5938.689,6101.6357,6097.4624,6129.2954,6281.7856,6409.3174,6451.194,6606.5693,6452.0005,6408.3755,6618.705,6034.93,6228.6597,6156.3774,5884.2925,5800.298,5500.0894,5605.946,5348.425,5547.617
41214.152,38482.62,38366.598,36461.523,35927.387,33659.934,32777.117,32635.527,32739.562,34749.03,31445.246,33339.21,34784.78,35106.23,35209.62,36968.47,37969.367,38900.09,73475.95,39767.086,41204.75,40594.742,40179.105,40053.53,51253.617,39872.74,39059.33,36133.484,36091.188,35067.895,32171.123,33030.07,32739.527,33776.875,33520.832,38036.477,34629.566,35390.562,36205.688,37133.812,37706.797,38386.043,39733.64,40531.57,39602.617,41871.633,42418.504,41454.48
28766.752,26267.992,28083.953,24991.39,24312.87,24953.182,24423.992,24191.621,26678.95,29206.572,27875.215,28811.055,31248.252,30843.006,32272.95,33094.133,32893.508,32958.684,60745.83,31871.027,32166.57,31739.133,29946.42,29504.873,38500.28,27728.688,27087.434,24692.082,25232.928,25682.846,23309.938,25512.885,26449.877,28264.611,28411.557,30958.287,28842.795,31024.133,31465.137,32413.523,32662.473,32326.371,32637.809,32068.766,31149.7,30779.611,30749.016,29226.611
35448.785,33161.2,34009.344,31622.346,30853.707,30770.75,29962.057,29771.73,31512.225,33761.637,32445.43,33508.87,35798.01,35773.992,36908.812,37521.383,37854.836,38052.312,64537.83,37331.312,37968.57,37833.98,36569.312,36067.797,44387.273,34519.258,33779.06,31347.883,31571.094,31623.738,29069.957,30958.93,31590.926,33005.375,33081.316,35712.195,33494.52,35493.285,36206.54,37295.023,37483.23,37388.12,37860.516,37706.52,37185.332,37319.117,37277.586,35941.773
427.1973,414.1644,419.23,406.92197,404.2398,400.6153,397.04626,396.7787,402.2479,413.33575,402.05557,410.29333,417.56516,416.73035,420.87115,426.48856,428.4713,429.0382,568.3989,429.34793,432.41058,432.1417,426.65036,425.80905,471.90793,422.609,417.59125,404.66357,406.679,404.79733,393.1663,401.3449,401.69107,408.37112,408.4931,424.93433,413.3047,419.23828,420.33087,425.8378,425.28415,425.42545,431.9977,431.28854,428.34103,433.2514,434.62592,427.9536
