V1,V2,V3,V4,V5,V6,V7,V8
6865.229,6787.8574,6812.0767,6809.9277,6867.7363,6803.3433,6813.791,6853.3867
7086.726,7050.288,7067.929,7051.934,7091.333,7063.9077,7079.0063,7097.7983
7213.863,7187.3267,7201.6387,7172.855,7235.912,7218.762,7211.883,7220.8804
7691.639,7674.002,7683.574,7668.359,7703.4023,7688.477,7698.6455,7706.3657
1082.8367,1058.8073,1148.7367,1333.7399,1098.3284,1087.7587,1187.0145,1359.8481
9850.977,9819.242,9877.388,9919.403,9990.956,9971.274,10005.659,10045.74
3353.751,3347.4065,3334.062,3359.295,3375.174,3372.9473,3358.0552,3379.948
2611.6223,2589.7136,2605.5315,2632.1775,2644.421,2623.3958,2638.3044,2662.5469
2494.406,2482.894,2484.4963,2504.2495,2511.0134,2501.0881,2502.1792,2519.5027
2542.1958,2535.8271,2548.5112,2552.0232,2541.6982,2536.0894,2549.166,2555.7214
1157.9294,1153.8191,1154.2576,1154.3651,1156.5048,1154.2571,1154.9803,1156.5182
3307.1814,3171.5298,3314.4026,3406.245,3326.299,3205.9944,3347.5173,3437.3223
1769.6952,1774.2772,1786.7834,1788.7314,1811.852,1818.2698,1822.2463,1823.5044
12714.718,12636.036,12698.051,12852.865,13168.982,13139.4,13130.072,13289.654
1255.6823,1259.5559,1299.5189,1308.2375,1268.8127,1268.1378,1309.0924,1310.4681
2046.6631,2040.297,2125.997,2140.8574,2131.1768,2130.6875,2202.0862,2202.2083
2440.4844,2466.2131,2435.818,2485.8784,2487.6628,2515.5334,2485.3186,2525.7546
4766.152,4703.794,4842.4385,4760.592,4772.4,4724.068,4842.533,4769.805
5789.0864,5795.7383,5853.62,5868.7837,5964.741,5999.948,6017.9814,6041.523
6324.0767,6298.311,6307.1504,6378.666,6437.8027,6419.0405,6427.9126,6492.125
9755.629,9720.312,9768.856,9867.565,9932.879,9910.935,9949.478,10043.723
5061.8955,5086.079,5206.2715,5260.4062,5159.0625,5176.1035,5270.0815,5331.3594
6047.7476,5994.4316,6097.181,6153.4365,6126.9414,6074.897,6169.7183,6219.3066
2334.1494,2329.4573,2349.1863,2338.139,2335.144,2334.777,2352.6602,2341.324
1372.607,1373.8499,1387.8684,1376.4242,1372.3855,1375.0359,1387.5671,1378.5203
7673.4033,7506.835,7483.868,8901.5625,7553.4297,7432.6777,7592.0186,8976.012
9218.655,9175.652,9268.088,9193.823,9223.373,9200.767,9257.965,9206.874
5101.477,5128.212,5019.756,5026.0103,5181.5996,5241.6313,5113.5205,5142.1533
1925.8706,1897.8004,1887.7433,1884.7726,1926.9767,1910.1519,1893.2147,1903.184
3093.7593,3097.453,3075.7698,3079.4915,3096.3306,3096.8213,3074.7712,3080.9333
2493.0674,2514.104,2504.8066,2508.2727,2499.1846,2523.3015,2510.1738,2516.8992
4839.89,4729.456,4692.17,4728.2363,4885.229,4815.24,4766.5234,4809.384
8263.081,8337.21,8309.128,8310.206,8357.891,8437.49,8384.69,8394.683
7161.4526,7246.9644,7241.339,7228.599,7205.2993,7295.236,7273.7324,7276.884
