V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36609.723,36568.734,36714.848,36866.95,36866.523,36980.492,37087.754,37106.613,37314.633,37309.62,37374.824,37256.492,37275.266
3616.6958,3613.3462,3633.1953,3655.1309,3658.0247,3671.4597,3683.0303,3687.9932,3712.9248,3712.835,3726.7598,3712.393,3713.427
9556.746,9497.971,9480.793,9496.278,9492.79,9501.189,9509.46,9528.911,9530.219,9513.628,9524.136,9552.451,9573.891
2445.3828,2427.0417,2443.922,2435.5398,2391.7507,2431.1736,2498.2375,2548.889,2611.4001,2658.0461,2658.1543,2553.7324,2440.1912
1497.995,1552.6757,1619.4026,1698.3873,1730.9917,1713.1353,1705.093,1704.3292,1688.0038,1649.0745,1632.205,1632.4503,1586.3488
491.0805,453.49985,478.30206,476.09283,476.17926,501.3197,513.7189,512.5353,525.2548,512.9793,519.64667,485.76657,492.71368
3000.1292,2983.8284,3059.6956,3203.5059,3257.603,3383.2275,3514.092,3530.856,3484.507,3240.5205,3009.6824,2769.4922,2611.3774
2619.9355,2401.4082,2319.6394,2369.1543,2360.3445,2374.0952,2428.2976,2333.2131,2275.0596,2214.1658,2136.128,2083.194,2022.5173
6556.8784,6188.3926,5994.1426,5998.219,6048.715,6121.031,6180.4434,6045.878,6025.3438,5992.24,5947.4883,5887.4287,5894.6675
5098.8813,5003.6934,5014.041,5036.766,5066.427,5108.3457,5088.024,5040.642,5029.934,4976.1396,4928.9116,4868.939,4879.5547
318.13107,307.61002,316.75122,325.1687,337.88284,341.98785,350.529,351.85205,361.0676,368.7414,382.43253,380.49875,385.02313
1044.3683,1047.9221,1053.129,1058.1619,1059.1025,1061.5387,1059.873,1050.9961,1044.9631,1038.2145,1033.544,1029.3711,1031.7004
2268.7178,2202.7268,2177.5464,2175.6743,2172.6333,2191.8674,2195.638,2170.9385,2178.6704,2176.1936,2176.5562,2173.093,2184.0886
2265.92,2201.96,2176.4634,2174.9248,2169.065,2191.035,2196.6929,2179.308,2191.8823,2190.113,2188.3123,2181.7808,2189.1997
4015.4285,3540.2358,3414.7969,3444.6052,3441.9868,3600.182,3622.9578,3474.851,3533.2876,3478.25,3407.662,3292.0576,3381.7866
4015.4285,3540.2358,3414.7969,3444.6052,3441.9868,3600.182,3622.9578,3474.851,3533.2876,3478.25,3407.662,3292.0576,3381.7866
12053.889,11990.03,11996.719,12021.536,12048.3125,12094.609,12094.953,12065.932,12057.149,12015.248,11979.899,11944.811,11945.5
4328.3213,4308.4844,4321.529,4334.7773,4349.997,4352.4946,4348.659,4350.7856,4369.347,4384.5293,4417.3584,4418.917,4431.4175
2850.199,2753.901,2881.16,2939.7124,2968.6743,3092.6309,3197.6406,3264.8413,3335.1396,3417.465,3317.2551,3143.679,2975.025
4096.4277,4068.9333,4181.2188,4215.986,4252.2734,4328.452,4431.72,4513.038,4560.085,4571.108,4498.4795,4369.7563,4276.098
2000.387,1974.9764,2028.4352,2059.7632,2052.7097,2042.6672,1985.2079,2007.617,1992.554,1993.8086,1972.3864,1962.7864,1971.4235
3824.7852,3545.4817,3542.6323,3833.8867,4106.0874,4397.002,4641.1313,4511.077,4317.3755,4091.874,3868.6064,3708.7273,3568.255
777.0321,793.12067,827.2926,880.47095,910.3164,948.7249,958.0947,953.8487,952.3978,924.1471,882.9801,846.7982,831.84827
6847.407,6411.2744,6356.97,6455.809,6461.035,6696.7188,6874.973,6880.1406,6948.7256,6987.1733,6769.8906,6574.505,6413.661
1141.7355,1061.8221,1038.2634,1037.577,1025.8724,1025.1199,1024.1973,998.63745,996.0993,967.53845,954.324,959.0958,976.1698
2806.934,2839.5127,2922.9075,2964.1719,3009.2407,3008.5593,3036.529,3049.6475,3064.5444,3105.3289,3096.6438,3107.2283,3066.0237
1964.706,1832.4498,1901.7131,1789.1687,1778.2748,1902.6622,1960.1914,1944.5809,2078.3135,2006.4463,1963.0767,1776.5051,1878.849
3419.8015,2790.5657,2561.339,2718.1648,2853.8606,3169.3704,3621.4822,3615.2854,3646.6812,3591.6584,3326.5547,3163.2676,3142.979
728.5024,680.3692,672.82074,653.1021,631.90063,658.85834,670.3682,673.0952,683.7086,679.93835,665.333,622.6478,619.7605
3738.7483,3628.5571,3720.054,3848.8296,3916.1414,4024.2334,4119.6772,4057.0427,3935.0752,3835.1982,3784.018,3699.7957,3633.5786
904.374,830.9442,808.0874,810.27734,819.43286,831.4342,843.97485,792.6283,763.23065,723.29474,682.3373,674.3346,697.71185
4086.8086,3835.9292,3831.4834,3918.395,3896.2114,3991.041,4007.2998,3998.8848,3944.767,3855.3035,3741.9592,3729.8127,3747.3638
1477.6813,1475.4766,1519.4049,1543.6365,1532.6549,1540.4165,1534.9954,1491.3317,1501.5139,1471.5007,1463.3914,1444.8717,1434.5288
1204.0868,1162.3961,1149.1414,1142.5068,1143.5562,1140.5309,1143.1418,1104.971,1093.8721,1070.3889,1054.094,1033.6855,1043.8967
1071.4006,1045.2252,1069.5471,1067.5618,1062.507,1073.3121,1079.4778,1066.4548,1097.8103,1110.0729,1110.2991,1078.3301,1067.2526
15675.692,15391.485,15638.724,15882.571,15836.22,16088.876,16180.939,15375.0205,14869.302,14242.668,14106.942,13878.512,14069.873
2886.0527,2879.9084,2880.4424,2875.0647,2865.9033,2864.8274,2869.0244,2865.2769,2875.945,2878.3052,2873.0598,2856.8875,2850.8567
3075.993,3058.0312,3068.287,3071.724,3084.612,3089.632,3106.7778,3110.8926,3120.47,3126.8325,3133.3657,3123.1082,3113.28
5793.607,5715.4766,5688.272,5663.795,5649.197,5652.2344,5635.4365,5615.8696,5625.1953,5621.882,5615.103,5596.9424,5613.2207
5789.7393,5712.1885,5685.1733,5660.3813,5644.6733,5646.482,5628.5854,5609.286,5618.976,5616.0405,5610.2246,5592.6216,5608.6504
6189.326,6170.0693,6161.8384,6163.7803,6165.8887,6177.26,6191.8784,6193.388,6199.5205,6198.8125,6196.9478,6191.963,6199.852
6200.325,6181.0,6173.424,6174.923,6177.7783,6189.7207,6204.793,6206.6934,6212.568,6211.6836,6208.2456,6202.508,6210.1167
6194.889,6175.535,6167.642,6169.3564,6171.8516,6183.5366,6198.333,6200.0015,6205.957,6205.143,6202.4834,6197.152,6204.9487
5785.885,5708.9023,5682.08,5656.977,5640.146,5640.72,5621.717,5602.6943,5612.742,5610.191,5605.357,5588.3057,5604.082
2934.5542,2925.4053,2926.676,2921.777,2920.034,2923.4822,2922.9219,2925.9624,2928.8386,2931.1467,2934.1035,2925.9307,2922.0835
3275.445,3268.0005,3275.0825,3281.6326,3277.1587,3278.4263,3277.4292,3276.7231,3272.494,3263.8875,3261.9033,3252.4963,3251.613
2933.3499,2924.314,2925.609,2920.6714,2918.8745,2922.3198,2921.6985,2924.7861,2927.7651,2930.0356,2932.8894,2924.6262,2920.7
2999.7964,2987.5479,2976.0244,2968.8152,2962.0454,2947.7136,2941.3376,2927.1343,2923.7617,2917.2292,2922.7366,2920.8655,2916.905
3240.3608,3235.2073,3237.8464,3237.2205,3238.1873,3239.6904,3240.2693,3243.8816,3255.5996,3257.246,3262.809,3257.001,3252.6013
3241.3308,3236.0693,3238.7036,3238.1953,3239.2815,3240.7722,3241.3992,3245.005,3256.641,3258.3376,3264.044,3258.3708,3254.0354
6573.421,6558.629,6572.449,6589.9175,6598.078,6617.794,6646.398,6658.5967,6659.3594,6659.831,6651.488,6635.511,6623.9883
7063.6587,7046.974,7081.892,7114.75,7144.144,7161.095,7204.944,7215.0615,7239.3286,7260.919,7258.646,7251.648,7231.644
1844.7639,1773.3483,1780.8351,1783.252,1767.2897,1745.5494,1708.9701,1634.4867,1615.7338,1579.3425,1577.8098,1578.7195,1624.6184
2493.688,2485.592,2488.5974,2494.4534,2499.0605,2501.1917,2504.072,2508.5415,2514.013,2517.5044,2520.3606,2520.2854,2519.4734
4710.589,4631.7637,4598.5796,4672.5103,4733.9287,4792.9766,4809.149,4712.1274,4650.4043,4577.7134,4501.6216,4467.141,4485.299
2628.336,2210.8071,2069.8735,1945.8336,1887.3295,1922.0791,1899.9237,1864.0586,1964.3896,2034.9204,2099.245,2113.4285,2282.7278
2188.9097,2182.4292,2202.6592,2232.1653,2265.8987,2293.1416,2306.1855,2313.9768,2340.5242,2347.0383,2383.3037,2384.3396,2398.7114
3418.1868,3353.4434,3398.145,3449.938,3491.5227,3535.005,3600.6313,3603.5771,3634.6304,3666.873,3698.8472,3685.1143,3702.0212
2370.4116,2156.1382,2120.2446,2021.0543,1950.599,1917.1987,1876.7198,1706.4943,1639.2756,1600.8846,1637.4222,1783.9841,2090.8918
8990.864,8967.141,8971.454,8983.649,8990.458,8996.646,8996.552,8982.128,8988.999,8992.625,9002.096,9013.039,9030.989
10329.74,10152.268,10184.125,10302.443,10256.111,10214.505,10140.937,10114.911,10097.59,10011.405,10086.476,10143.969,10166.483
7111.433,7027.163,7009.761,6994.6025,6987.8877,7012.2944,7029.273,7013.654,7022.257,7037.2017,7041.6387,7037.454,7066.7827
6020.2183,5977.742,5966.272,5987.5366,5990.3022,6013.0947,6035.0547,6023.155,6028.381,6027.187,6030.707,6039.702,6057.129
13504.076,13176.959,13082.563,13032.81,13010.429,13056.438,13127.647,12952.95,12982.671,12978.957,12987.495,12920.932,13005.881
18895.213,18501.225,18378.97,18313.346,18280.855,18343.143,18437.484,18249.984,18296.562,18296.6,18311.4,18224.451,18317.848
7275.5547,7211.526,7193.2505,7204.1157,7199.581,7209.4497,7212.798,7233.9355,7239.2734,7223.091,7236.559,7264.026,7285.6743
13237.289,12960.8,12923.847,12899.629,12935.555,13064.588,13109.23,13118.777,13165.588,13150.277,13097.686,12994.242,13044.202
6912.981,6888.5635,6906.0356,6934.184,6962.797,6973.727,6990.884,6989.463,7005.3066,7021.642,7052.5938,7057.314,7072.713
6913.8037,6889.022,6908.2266,6937.3564,6968.007,6973.9067,6986.027,6991.1997,7006.659,7024.8633,7052.9146,7058.5234,7069.6274
2614.473,2613.2356,2616.4294,2618.3518,2617.1504,2619.8816,2622.4617,2620.3784,2621.7595,2621.6736,2622.3765,2621.4214,2624.2712
1904.45,1852.5116,1884.0868,1913.689,1940.5256,1974.9143,2021.6826,2029.5873,2053.7874,2064.4746,2078.5818,2047.6705,2043.1858
1904.4554,1852.5288,1884.114,1913.6953,1940.5435,1974.9231,2021.6675,2029.5577,2053.7449,2064.3926,2078.5132,2047.6154,2043.1392
1904.45,1852.5116,1884.0868,1913.689,1940.5256,1974.9143,2021.6826,2029.5873,2053.7874,2064.4746,2078.5818,2047.6705,2043.1858
4057.7048,3554.3083,3360.9858,3361.3906,3351.417,3484.3564,3521.0176,3360.6096,3417.6694,3381.6887,3350.751,3238.9453,3310.999
24144.193,24059.81,24153.137,24217.602,24223.818,24290.871,24380.393,24484.844,24628.271,24717.21,24734.393,24624.8,24501.133
569.664,541.37415,557.76697,597.7722,620.0012,640.58545,667.6825,676.1055,709.3092,717.77167,746.11835,743.0148,755.8293
3595.647,3377.6533,3298.4448,3322.1484,3331.9854,3382.6921,3417.254,3334.8167,3335.416,3352.5916,3370.352,3436.6985,3475.0024
3620.291,3421.093,3318.8809,3326.969,3294.0974,3316.045,3381.4563,3369.0195,3420.5676,3464.4216,3485.4507,3509.323,3485.8433
1413.7095,1295.8507,1243.1432,1161.7887,1071.0542,1057.3335,1044.0947,975.7572,899.9114,822.5748,739.3181,681.3196,715.58374
