V1,V2,V3,V4,V5,V6
7304.931,7320.388,7312.7544,7294.3633,7303.593,7318.5684
1541.8392,1569.1963,1568.7471,1568.4131,1567.6428,1635.357
8583.396,8814.24,9090.031,9251.443,9517.555,9784.861
9900.049,10166.987,10481.071,10676.789,10987.136,11289.947
7075.509,7373.372,7733.2056,7960.9453,8296.536,8639.141
4081.17,4256.5854,4475.254,4618.8022,4839.37,5076.3604
3673.0881,3814.3516,3988.1,4110.019,4282.6895,4490.0645
2401.2634,2402.7646,2403.8652,2403.0295,2404.744,2411.2627
2304.8625,2332.7346,2369.343,2392.4287,2428.479,2467.9832
2314.9724,2331.7065,2357.728,2377.1123,2399.0872,2435.0908
1488.0016,1503.915,1524.1738,1537.8934,1557.8162,1579.593
2002.8005,2053.8782,2118.1636,2159.0334,2220.7522,2284.266
4762.396,4842.09,4951.8354,4985.2617,5089.1255,5174.8667
5151.5786,5233.4062,5343.158,5380.0903,5481.432,5565.354
5498.012,5634.42,5818.793,5911.831,6085.5625,6242.938
2613.9912,2625.8364,2627.2825,2599.7305,2624.244,2642.7268
3898.1123,3971.3198,4055.9722,4083.6877,4165.9766,4239.351
3219.124,3235.6182,3254.0923,3228.361,3263.3682,3283.8965
3055.73,3299.4302,3566.8823,3796.2156,4068.0015,4373.071
6498.498,6643.2563,6797.3447,6946.673,7107.8193,7257.3047
9476.1,9904.718,10369.595,10772.583,11258.17,11711.189
4396.2456,4579.046,4792.9785,4966.045,5170.577,5436.051
9596.566,9731.167,9853.737,9874.3545,10022.872,10288.339
8879.584,9070.635,9322.084,9513.611,9716.433,10072.232
2389.2249,2474.705,2569.5093,2656.3489,2749.0981,2857.6943
7374.0244,7671.8115,8009.5156,8304.882,8645.279,9053.304
1765.5345,1828.365,1900.2732,1962.8722,2032.7711,2120.5947
1720.7234,1772.544,1833.9087,1887.5182,1948.5034,2025.7241
4180.083,4239.5576,4316.358,4374.1904,4447.2407,4542.0835
4511.8994,4624.6743,4768.772,4853.2734,4992.549,5138.7744
3760.815,3774.9092,3790.5105,3800.0806,3814.025,3845.937
5420.5576,5501.922,5606.5493,5677.466,5780.77,5899.175
1274.3102,1294.9348,1321.2471,1336.7566,1361.3917,1388.9764
1695.9938,1719.6699,1751.06,1771.349,1800.5846,1836.4078
3402.9434,3475.0369,3568.019,3628.2651,3720.2097,3819.6753
1162.4249,1176.0077,1194.0199,1206.1559,1223.4977,1244.9364
3990.4927,4077.2202,4186.9463,4261.176,4370.446,4492.009
3101.9985,3507.2646,2714.3213,2863.974,2786.0796,2588.0776
3762.0527,3824.3132,3888.059,3838.7976,3910.5425,3979.727
4809.3364,4934.346,5080.6133,5160.5244,5283.015,5398.786
14809.385,15033.414,15290.988,15367.59,15603.327,15799.211
5818.4146,6138.5195,6525.464,6797.669,7161.2256,7521.0547
2944.2114,3085.436,3257.3494,3370.5203,3529.3877,3685.1948
10293.269,10633.336,11025.476,11283.906,11617.168,11975.918
10249.166,10535.083,10869.451,11089.199,11376.747,11678.2705
6430.399,6799.951,7226.3604,7560.9834,7940.4995,8353.525
6438.8594,6809.073,7236.259,7571.3525,7951.6543,8365.427
6871.6836,6910.5415,6790.6943,6817.158,6809.0806,6783.93
2519.5703,2543.693,2572.2095,2586.4597,2613.148,2641.0771
18669.348,18873.521,19119.41,19235.625,19460.693,19688.947
8217.953,8284.119,8366.541,8397.993,8471.775,8547.15
17600.492,18704.697,20068.902,20952.246,22310.676,23646.742
19128.822,21111.895,23378.36,25160.25,27549.133,29854.934
8898.239,9650.036,10547.98,11246.623,12099.107,12910.158
2720.9775,2944.7075,3212.3687,3409.1562,3670.315,3918.8186
11930.939,13063.047,14417.132,15392.523,16726.57,18019.191
2113.4639,2239.21,2386.7341,2487.5142,2632.8745,2777.791
10233.113,10443.116,10678.723,10805.012,11015.903,11249.622
10109.4375,10240.075,10393.846,10516.472,10657.908,10801.806
10218.395,10471.65,10773.498,10991.31,11250.648,11516.104
10050.414,10151.52,10126.12,10134.019,10199.474,10379.08
10485.624,10893.05,11114.862,10815.724,11297.845,11777.547
10474.309,10991.207,11594.013,11979.527,12507.99,13051.227
13462.26,13925.643,14507.361,14914.664,15493.965,16021.867
10743.158,11252.808,11886.928,12521.801,13080.855,13606.113
10139.81,10444.072,10786.525,11166.47,11505.014,11809.743
10107.747,10157.808,10179.202,10102.519,10187.529,10242.484
10117.31,10159.426,10133.955,10093.03,10102.699,10144.768
10250.175,10509.827,10813.967,10974.721,11218.261,11502.455
10063.269,10126.624,9993.465,10023.054,10025.487,10031.463
10240.679,10329.897,10337.674,10260.949,10348.917,10495.582
10323.088,10721.777,11193.99,11524.887,11949.325,12418.199
10028.691,10097.71,10138.371,10039.269,10083.553,10248.912
10199.435,10241.655,10205.851,10079.454,10134.332,10281.152
10097.582,10115.589,10097.551,10047.216,10079.286,10148.028
10100.386,10155.242,10238.873,10238.294,10324.932,10458.502
10190.485,10443.097,10792.145,11048.754,11361.548,11688.993
9984.583,10332.424,10742.057,11006.281,11351.397,11673.786
5100.0107,5265.385,5171.4907,4982.1807,5003.362,5135.5234
4158.0635,4503.0547,4033.6638,4018.0789,4019.5698,4181.3423
4508.127,4714.7393,4954.8706,5133.162,5340.5645,5571.714
11281.521,11548.752,11407.747,11271.195,11423.002,11690.428
9666.512,10036.724,10477.145,10771.5625,11135.216,11485.734
3740.3208,3748.1448,3743.9058,3743.2476,3745.6516,3758.79
1579.6477,1625.617,1685.1956,1731.2188,1780.8024,1835.8252
2594.0837,2625.4927,2641.411,2606.2869,2655.625,2694.3628
10361.779,10565.309,10455.6875,10453.968,10595.801,10842.801
10054.162,10218.123,10074.549,9969.998,10060.657,10200.415
923.8655,1034.2329,993.24756,876.63696,926.5632,1005.5632
6456.3735,6527.094,6512.523,6441.9253,6508.22,6680.9995
7892.0093,7990.875,8093.198,8245.402,8359.401,8490.312
1699.0833,1751.9478,1571.066,1635.4497,1633.0249,1541.6841
8074.9053,8089.705,8018.4844,8052.453,8041.427,8000.9546
6745.4863,6755.942,6739.0117,6739.8003,6733.002,6742.8594
6516.901,6535.1743,6473.9473,6490.688,6475.284,6489.839
