V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
697.47034,640.0793,831.3667,559.7608,430.14352,544.0861,525.8102,532.464,550.13416,605.36273,616.8987,617.02606,677.6663,696.7356,788.6094,757.216,713.5626,724.44025,792.7258,787.37854,779.2782,745.79504,741.5753,696.4009,613.35864,608.181,576.846,567.85645,522.2199,520.09534,519.09656,547.7082,556.31934,619.652,604.64856,650.0719,677.5562,700.1105,681.594,755.71564,776.06775,782.5218,784.78076,785.99457,762.4537,739.4805,713.51117,673.1988
3082.9902,2839.5632,3603.9192,2499.267,1936.7686,2396.7856,2294.7317,2329.888,2336.0542,2595.1846,2622.201,2647.6228,2874.5977,2968.7864,3353.3892,3240.4583,3104.1538,3163.4375,3471.5063,3454.1514,3424.7856,3304.116,3306.6309,3088.8694,2763.6992,2716.655,2605.5283,2497.9126,2315.1785,2299.6873,2269.8628,2378.4287,2420.311,2668.0981,2594.7021,2753.0125,2913.932,2982.1946,2929.3457,3257.9324,3371.2073,3412.862,3427.015,3454.8289,3378.352,3285.752,3186.4592,3031.1887
1244.6643,1159.1044,1438.1165,1091.1595,913.87415,1004.92377,1009.008,1014.4376,984.0802,1041.0686,1058.4854,1065.6417,1084.9514,1108.2367,1236.6804,1193.5194,1132.983,1181.8242,1229.3457,1286.9778,1290.6942,1244.0201,1259.7406,1256.097,1118.8572,1140.4733,1089.9583,1110.0945,1046.0992,1007.1001,986.67615,1000.23694,1014.7643,1045.0038,1030.1929,1076.1006,1086.7526,1110.3364,1078.397,1167.4427,1228.4127,1249.7751,1246.1678,1288.9276,1263.1882,1252.2148,1261.73,1205.251
5298.959,5018.196,6128.8975,4689.63,3913.8096,4417.3936,4085.5742,4087.2522,3984.6646,4255.544,4171.3438,4234.961,4375.7026,4401.5522,4905.3105,4812.9985,4895.9883,4965.283,5371.062,5560.8945,5546.5293,5324.8164,5605.8696,5340.9365,4951.2065,5007.036,4862.0815,4644.3555,4369.9126,4226.2676,4183.295,4118.077,4183.045,4315.2646,4182.7134,4193.445,4388.373,4440.4062,4443.307,4881.4463,5048.462,5184.036,5361.4854,5474.664,5433.612,5479.12,5433.266,5329.6143
3141.476,2779.1213,3975.8455,2537.92,1812.8635,2204.1782,2098.0718,2080.37,1916.0288,2102.3826,2180.2214,2174.4849,2186.7708,2295.2607,2770.666,2588.4011,2493.6003,2676.134,2965.1602,3242.5723,3274.9043,3025.1396,3227.988,3150.207,2627.7847,2710.8948,2573.3835,2601.452,2290.9712,2138.449,2046.3408,1997.386,2112.9243,2128.7112,2036.1588,2177.6003,2212.792,2242.7402,2190.0127,2527.8948,2839.27,2930.0205,3025.9475,3198.6895,3159.6997,3128.306,3185.2927,3023.231
5917.995,5717.8364,6984.8457,5773.0947,5375.364,6001.887,6223.649,6369.995,6609.599,6733.3477,6798.564,6548.6265,6872.633,6830.804,6985.1836,6613.311,6292.2676,6137.124,6183.199,6039.458,5871.7935,5872.5884,5677.8643,5684.34,5560.4707,5649.745,5604.3853,5943.658,5910.3545,6015.798,6021.107,6244.2183,6135.694,6524.0244,6602.155,6819.37,6634.4404,6738.132,6602.823,6520.942,6435.8066,6332.366,6068.8887,5997.113,5790.4346,5713.6943,5687.1646,5453.3125
43561.758,40615.273,51462.37,38371.543,31680.75,34970.43,34039.605,33708.594,31997.879,33720.18,34103.53,34380.46,34505.41,35289.016,39517.773,37898.746,37408.355,38929.61,41461.285,44265.113,44537.27,42479.953,44568.1,44064.54,39201.41,40137.453,38995.938,38934.777,36062.824,34645.605,33724.65,32839.484,33968.043,34404.824,32902.23,34059.484,34331.43,34892.824,34468.344,37550.18,40124.977,41241.797,42167.953,43636.555,43411.28,43673.28,43844.504,42720.72
31292.434,29102.293,36595.812,26465.994,21165.39,25701.572,25337.781,26026.639,26749.15,29136.873,29567.652,29378.322,31784.492,32144.775,35997.59,34517.45,32590.135,32959.832,34921.426,34702.684,34250.293,32976.082,32390.781,30954.76,27967.145,27922.54,26435.998,26586.746,25143.504,24874.055,24745.05,26413.568,26398.504,28686.488,29029.885,30602.979,31386.783,32390.66,31444.896,33990.098,34755.94,35201.07,34649.3,34847.234,33558.516,32394.287,32029.713,30110.12
37503.56,35378.01,42066.734,32711.965,27571.668,31537.758,30592.898,30915.064,30955.16,33482.414,33375.285,33677.63,35565.367,36219.133,39811.715,38777.727,37818.76,38374.055,40751.34,40690.51,40486.375,39107.492,39423.316,37458.152,34782.555,34342.785,33441.92,32495.227,30923.32,30779.473,30419.932,31446.35,31542.375,33541.72,33326.77,34320.785,35904.93,36457.906,36160.21,38946.285,39804.863,40300.28,40373.934,40795.715,40047.87,39293.805,38604.645,37234.816
439.5231,424.38235,469.38043,416.23132,388.30637,404.58932,401.63632,402.91574,399.79996,409.1676,410.06345,412.28558,415.47574,417.97604,436.83496,430.56418,422.93,429.3849,438.32376,447.46954,447.03912,438.6629,442.02936,439.84067,420.53885,423.21143,415.76492,417.68582,407.9846,402.67603,401.47537,402.39432,403.3389,408.0806,407.01334,413.03088,414.68692,417.5326,415.59628,428.15604,437.04227,439.43338,439.77606,447.13687,443.36868,440.9949,441.51328,435.54245
