V1,V2,V3,V4,V5,V6,V7,V8
6878.402,6818.8584,6898.611,6802.4536,6893.206,6859.6025,6914.9775,6845.584
7102.242,7089.8447,7168.3496,7044.177,7103.0273,7110.7183,7170.4165,7090.4795
7196.831,7182.7114,7266.9463,7133.879,7192.053,7222.8125,7254.6387,7137.208
7704.5664,7704.2456,7754.5063,7654.406,7709.418,7729.3916,7761.498,7679.054
1024.6794,967.98303,1229.6599,1463.9175,1128.6119,1100.2361,1307.7998,1529.1824
9854.908,9768.398,9887.475,9958.359,10019.283,9950.557,10050.993,10126.942
3368.1365,3348.888,3336.3289,3361.1711,3388.525,3368.863,3351.8848,3378.8955
2608.493,2572.2686,2611.6355,2655.4575,2661.9517,2629.6584,2652.541,2690.884
2501.881,2474.702,2487.6292,2509.4177,2517.1592,2489.2078,2495.671,2518.9373
2528.9983,2519.5806,2527.0962,2522.3774,2519.5103,2521.4128,2528.2688,2523.607
1152.5459,1146.5586,1148.1578,1147.6813,1151.2838,1150.8622,1152.4613,1150.1014
3286.515,3112.5361,3378.758,3540.7036,3413.6924,3248.9429,3448.6562,3595.1401
1771.9352,1763.4513,1786.9647,1775.367,1807.2948,1828.9689,1859.6418,1851.4967
12854.397,12681.641,12688.263,12737.343,13058.248,12850.931,12811.924,12899.389
1220.381,1218.8882,1300.7306,1344.0961,1278.542,1302.4778,1361.3977,1379.034
2076.4875,2047.795,2208.51,2221.4377,2202.9607,2190.146,2301.3555,2272.7534
2461.3516,2473.709,2435.6897,2491.8757,2509.378,2533.164,2483.6167,2546.6343
4705.1655,4672.21,4763.3696,4721.106,4704.3184,4695.6484,4769.3516,4724.429
5794.0176,5738.8965,5818.169,5799.76,5844.8584,5786.276,5856.828,5874.15
6317.834,6271.446,6266.8994,6275.983,6271.221,6196.8706,6107.638,6082.2275
9735.648,9628.771,9670.311,9666.999,9641.935,9514.43,9448.288,9410.704
5140.198,5183.9697,5298.101,5379.1753,5197.1626,5210.8574,5280.8364,5345.417
6017.4316,5939.008,6116.784,6221.3164,6150.03,6078.912,6217.804,6304.248
2325.4646,2318.9895,2330.7793,2318.286,2312.9434,2315.7644,2326.0266,2316.6714
1371.0322,1367.7819,1369.9972,1364.9069,1364.3734,1367.246,1370.6913,1368.0974
7485.297,6903.715,7395.1284,8529.447,7359.585,7096.8247,7509.49,8694.721
9142.041,9085.494,9075.887,9020.051,9013.091,9005.339,9030.4375,9029.542
4931.4014,4879.3276,4848.041,4815.9644,4852.023,4845.5005,4794.7227,4754.8237
1907.3093,1891.1023,1886.516,1882.7052,1920.435,1907.9253,1904.8531,1895.3994
3091.1294,3097.6738,3073.5347,3077.6765,3090.2559,3099.8406,3077.5254,3083.1501
2485.1116,2491.2551,2483.9756,2484.388,2478.792,2497.1255,2484.1135,2482.7852
4804.7256,4700.1895,4700.606,4690.537,4832.1304,4742.451,4731.531,4697.37
8271.056,8320.256,8296.383,8234.928,8292.593,8402.806,8378.602,8356.65
7183.0054,7233.5107,7223.9956,7169.645,7142.532,7234.076,7215.1396,7187.7183
10114.625,10202.332,10163.429,9983.826,10062.851,10235.617,10212.6,10039.781
9141.184,9048.645,9041.455,9033.63,9096.208,9059.24,9040.726,9032.739
4394.68,4281.916,4272.38,4273.645,4310.632,4335.1694,4307.823,4266.7837
6363.547,6297.0415,6308.6123,6273.118,6253.983,6242.354,6206.0884,6140.7095
5373.5186,5546.5386,5950.003,5900.9316,5369.4556,5623.0137,6007.0215,5956.1514
5249.614,5284.3833,5260.093,5245.6436,5281.7363,5336.3877,5319.346,5318.0757
1913.8585,1903.8717,1910.6484,1906.7637,1918.5375,1916.1158,1915.5044,1917.567
2134.7566,2111.3599,2115.263,2114.8022,2139.5137,2116.7222,2105.5845,2111.6143
5434.895,5476.74,5418.0435,5433.232,5446.7314,5507.7876,5459.8193,5486.4043
1289.0933,1293.4622,1274.7036,1270.2621,1298.2458,1314.696,1299.201,1297.862
1927.4326,1915.1843,1923.2075,1918.9153,1932.597,1923.9294,1926.5951,1926.3695
3349.9001,3353.1262,3358.1367,3331.7576,3319.6775,3336.148,3324.4785,3295.169
9648.686,9706.791,9672.318,9664.198,9606.314,9669.741,9584.762,9550.02
1425.1497,1400.6653,1433.2759,1430.5197,1418.4485,1381.4288,1378.6182,1349.889
8967.895,9080.979,9072.968,8942.971,8963.145,9160.926,9139.322,9016.931
9321.662,9436.566,9358.632,9314.226,9258.245,9452.188,9365.086,9319.51
1511.5289,1519.868,1523.7185,1431.7179,1509.2266,1548.8615,1560.6416,1464.294
5785.56,5791.8877,5795.4585,5767.8545,5765.148,5777.843,5762.163,5723.1606
2597.9019,2582.08,2591.0305,2550.1943,2562.1628,2564.913,2580.7937,2535.8215
1663.3088,1655.0933,1666.1385,1667.5662,1667.7941,1654.1921,1649.2227,1646.107
6918.4185,6932.958,6886.813,6893.696,6907.153,6923.718,6848.5596,6839.1855
2944.9502,2932.333,2983.9448,2904.5784,2954.812,2967.6804,3014.871,2942.0283
1478.9507,1478.5483,1475.6777,1465.7903,1485.9692,1495.7559,1492.3933,1489.4717
7277.3813,7267.5464,7265.853,7243.5015,7250.6665,7262.8057,7267.152,7240.1655
9368.859,9401.738,9388.775,9227.315,9346.307,9515.459,9535.109,9352.934
1378.8087,1380.9513,1386.0587,1366.445,1361.4857,1389.1555,1408.6475,1394.1082
2844.5703,2832.4,2911.2192,2933.963,2955.68,2979.308,3047.417,3085.2427
2103.3674,2087.6648,2103.1912,2100.6619,2092.2883,2132.6138,2142.73,2133.0442
3012.9045,3008.2488,3093.6982,3127.1187,3248.439,3347.6895,3430.3179,3487.9402
3277.6372,3224.0886,3331.1694,3418.744,3490.2656,3456.7524,3531.626,3630.4631
4771.0957,4767.0527,4848.636,4787.129,4735.2407,4847.095,5022.5415,5089.745
6382.9004,6480.6006,6637.713,6770.8594,6848.8203,6979.0513,7058.952,7188.2676
10971.796,11030.738,11167.357,11210.439,11412.781,11697.514,11851.77,11968.939
3225.7874,3256.8733,3306.486,3220.023,3217.5276,3271.2083,3314.3677,3247.8403
1093.6028,1091.0465,1088.6251,1092.377,1101.5199,1104.0393,1088.0885,1078.0847
10715.838,10770.173,10818.957,10832.171,10840.698,10937.632,10978.5,10976.991
4858.1675,4830.4287,4799.8584,4840.751,4861.523,4885.132,4843.309,4829.5645
4016.8184,3970.0823,3916.7231,3901.3171,3994.5835,3981.6577,3921.0251,3901.1277
5296.187,5301.1504,5340.905,5396.44,5478.176,5513.0117,5550.4697,5620.026
3069.5393,3071.3818,3103.5312,3135.7114,3162.5393,3191.746,3223.2188,3267.396
1614.6318,1613.5916,1625.1841,1634.6858,1643.3136,1645.1768,1656.1796,1668.1447
13629.576,13586.844,13698.634,13810.468,13885.577,13848.7295,13954.543,14096.654
17858.191,17907.215,18117.03,18307.377,18473.959,18622.256,18808.533,19012.035
17412.854,17459.205,17666.979,17853.79,18016.436,18160.166,18345.396,18545.734
1697.7827,1688.9974,1724.3723,1719.9963,1727.5781,1738.5398,1769.6284,1773.8159
6808.597,6810.9224,6810.733,6804.6636,6808.954,6818.762,6817.0693,6804.4214
4523.4585,4523.6846,4524.4546,4521.541,4523.9126,4527.4893,4526.7163,4521.0405
2194.6665,2187.73,2190.824,2181.1553,2181.0002,2188.4194,2186.1685,2172.6753
3454.5803,3410.231,3452.6196,3455.8567,3497.0637,3500.5444,3514.862,3482.707
12271.77,12229.549,12261.268,12269.58,12279.5205,12273.5205,12273.6045,12253.626
34367.945,34948.6,36064.758,35433.28,36121.61,36840.37,37190.1,36059.516
1107.5801,1105.4886,1106.9404,1107.7189,1109.1378,1109.6647,1109.4867,1108.3743
2379.9624,2390.91,2404.1458,2417.6343,2427.3206,2442.869,2452.0269,2461.0564
3854.1865,3829.8918,3847.1062,3861.9114,3864.5647,3864.413,3859.608,3860.9707
8373.162,8294.285,8363.43,8391.81,8399.397,8389.029,8386.804,8379.373
8388.968,8252.107,8299.853,8317.002,8402.875,8381.575,8426.781,8377.273
1079.4805,1076.3566,1080.6415,1078.8998,1081.4858,1083.2772,1083.6752,1078.3168
7226.535,7233.967,7231.155,7201.3867,7200.8823,7224.873,7227.8735,7200.779
1579.5721,1588.3805,1598.7673,1607.602,1614.9891,1624.751,1631.5269,1637.7722
3962.484,3922.7302,3942.9077,3937.4226,3947.3901,3946.489,3969.4424,3959.7976
5926.5376,5901.988,5913.5547,5902.8135,5915.0996,5905.889,5895.411,5866.3784
9035.974,8985.009,8968.255,8930.468,9001.263,9007.687,9005.655,8941.028
21218.758,21315.51,21407.326,21454.074,21520.336,21654.24,21734.846,21763.27
2433.1487,2408.0918,2430.3853,2423.8237,2425.632,2424.0383,2432.7856,2419.0444
1501.4507,1467.2131,1508.808,1474.064,1490.9746,1539.7599,1557.7866,1488.0874
6861.6016,6800.9893,6837.686,6838.5337,6832.139,6829.901,6833.6206,6814.089
4281.552,4280.8945,4288.6304,4284.722,4296.679,4303.225,4302.9736,4296.6875
2280.9795,2267.9038,2297.738,2285.3074,2288.1252,2288.4097,2308.972,2293.948
2291.3198,2288.6511,2292.9539,2292.4946,2294.0898,2295.2283,2296.1787,2294.3223
6066.5537,6036.917,6043.6167,6055.1133,6052.2524,6053.344,6050.2393,6042.362
1830.6216,1831.6293,1839.6846,1840.5193,1842.9634,1844.2397,1846.843,1841.3899
