V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2031.8784,2027.3857,2028.8848,2026.6931,2030.3699,2025.9873,2029.8002,2029.6371,2026.2454,2026.4506,2021.2351,2023.1853,2025.0221,2019.9696
2980.8833,2987.194,2997.4316,3001.857,3014.9023,3018.9893,3028.1187,3027.0552,3029.5056,3031.3984,3029.8428,3029.34,3029.4937,3023.4756
1118.3774,1117.6963,1131.5452,1130.975,1146.21,1142.5967,1160.0,1151.1493,1146.4142,1148.8804,1137.002,1141.0023,1140.306,1134.9529
1217.245,1205.3966,1244.6865,1236.0625,1277.7473,1249.1107,1323.4657,1308.508,1316.9246,1343.7395,1319.6913,1358.8193,1389.5806,1374.0542
5899.057,5885.347,5884.2056,5876.4604,5885.5317,5857.728,5876.459,5869.954,5858.0317,5853.642,5822.205,5842.1196,5850.3105,5832.7656
3079.614,3018.9868,3018.1567,3003.4111,3015.5344,3030.0251,3059.7156,3076.3618,3115.8682,3138.8057,3157.575,3221.909,3282.4534,3279.671
5048.6807,4852.9595,4951.269,4724.918,4719.402,4488.312,4512.125,4380.6006,4138.4805,4051.768,3960.2163,3861.1416,3864.0068,4036.8813
1735.3337,1732.2433,1731.832,1730.2909,1734.4766,1728.7485,1737.8418,1738.0125,1738.8215,1740.9974,1732.7557,1739.8986,1745.325,1739.7546
1587.1249,1584.5444,1584.3022,1583.0232,1586.7391,1582.0125,1589.9126,1590.1732,1591.0002,1593.0822,1586.166,1592.3042,1597.1748,1592.4243
2616.1724,2609.5046,2601.6648,2596.4363,2602.5872,2589.2302,2604.4175,2601.461,2604.8198,2605.46,2589.5247,2603.2544,2607.4172,2602.3184
2435.7432,2425.3145,2416.4485,2403.9077,2397.7295,2387.415,2391.7104,2387.7842,2384.3972,2388.8965,2389.6042,2400.3381,2415.5085,2419.4766
3658.8179,3642.2275,3640.6477,3632.381,3635.62,3615.7393,3623.9592,3619.9841,3611.27,3601.572,3583.704,3592.321,3594.6816,3589.7893
7208.534,7173.963,7189.782,7169.109,7180.0405,7126.537,7140.0522,7118.4795,7086.282,7063.012,6988.467,6990.561,6977.1562,6951.5845
5710.828,5699.164,5710.724,5701.3613,5733.5786,5691.4487,5736.742,5716.1284,5701.7886,5716.3086,5669.2983,5704.9907,5733.364,5707.769
8040.75,7784.6865,7747.0625,7663.1934,7649.2393,7317.1074,7547.7935,7421.1606,7168.462,7045.2607,6757.8755,6869.806,6954.241,6916.5645
3081.161,3080.1016,3082.4617,3084.5845,3086.9333,3077.7554,3083.7292,3080.6165,3080.8076,3081.4395,3074.7646,3073.911,3074.1675,3078.0542
4051.7034,4038.4197,4041.5579,4028.515,4020.851,4001.0527,3998.9827,3986.4817,3971.4082,3953.3037,3931.0386,3938.076,3949.1458,3942.6382
9539.008,9526.931,9534.322,9523.892,9528.054,9523.479,9530.309,9529.192,9531.837,9531.485,9521.506,9525.361,9528.407,9524.59
2689.195,2673.561,2681.5134,2672.1667,2691.9365,2673.343,2695.2366,2689.6992,2682.5776,2678.4138,2653.7686,2680.7234,2702.0083,2675.6006
10874.664,10848.741,10857.933,10848.024,10874.495,10866.829,10878.148,10883.523,10874.296,10852.874,10834.195,10816.731,10834.966,10807.53
2677.4421,2661.7852,2669.9062,2660.4731,2680.4998,2661.906,2684.081,2678.5977,2671.1863,2667.417,2642.4014,2669.3794,2690.5022,2663.7917
2843.9224,2820.2886,2831.809,2837.2007,2870.1785,2859.988,2899.87,2910.3608,2925.8071,2946.0544,2921.3975,2950.3872,2963.8545,2940.3079
1886.7485,1868.3754,1874.1019,1876.7783,1891.8123,1896.9187,1913.6902,1926.1304,1939.5547,1954.9816,1957.3325,1969.3807,1969.237,1962.3481
2534.3118,2513.3696,2524.594,2531.3467,2561.013,2553.1284,2588.9856,2598.7568,2614.033,2633.1301,2612.6606,2637.731,2649.7703,2630.0513
1566.1698,1554.6616,1561.3883,1567.9019,1582.0422,1585.8834,1601.5206,1609.3174,1619.3572,1629.9729,1629.0267,1636.8549,1634.774,1628.3977
2367.7556,2350.5234,2360.1052,2364.2268,2392.1155,2379.4087,2412.773,2417.6812,2426.865,2443.094,2418.86,2441.7808,2452.7751,2429.6628
1686.6228,1670.4194,1675.5311,1677.8247,1691.061,1695.6685,1710.523,1721.768,1733.9602,1747.992,1750.4927,1761.1277,1761.2306,1754.9086
434.49585,427.34937,429.2718,422.82156,426.81378,424.96545,427.0206,426.8193,429.56555,427.28363,423.41666,422.45505,431.027,425.7675
6436.5493,6423.8677,6408.965,6380.431,6400.1953,6361.845,6384.529,6378.1616,6381.8193,6378.885,6363.296,6406.9346,6438.4263,6436.019
624.43445,614.16296,616.9263,607.6559,613.39246,610.73645,613.68976,613.4003,617.34644,614.06696,608.50854,607.1268,619.4458,611.88745
2101.3037,2084.351,2083.802,2072.4136,2071.1345,2054.8816,2063.2668,2055.5574,2050.1472,2045.6079,2037.1934,2039.3081,2041.6063,2030.5385
1905.82,1890.4375,1889.9274,1879.6129,1878.4347,1863.6759,1871.295,1864.28,1859.3821,1855.259,1847.6277,1849.5554,1851.6306,1841.5951
6786.0063,6762.1665,6775.5547,6759.7393,6766.002,6720.806,6703.886,6680.8667,6652.118,6624.9116,6557.365,6529.447,6510.1846,6470.3506
2262.7905,2247.76,2256.9873,2260.4495,2296.423,2279.5132,2309.5066,2316.389,2313.4617,2330.4863,2308.8398,2321.0269,2318.999,2296.8157
1666.1833,1658.1321,1661.2018,1650.7709,1653.0011,1653.1426,1654.98,1654.1741,1655.4536,1654.3069,1650.0088,1649.8282,1658.5171,1654.7131
