V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
2027.7,2023.9667,2023.5786,2021.7885,2020.018,2024.6115,2022.0529,2021.075,2018.7205,2016.8959,2017.1625,2015.4884,2015.2362,2012.8694
2971.619,2980.2793,2997.4143,3013.5671,3025.7192,3039.4785,3044.6606,3047.0183,3047.2,3043.5293,3043.4263,3035.9185,3033.1733,3031.3733
1112.7821,1131.6989,1155.8512,1178.3524,1179.0503,1190.1833,1187.662,1183.0624,1169.4276,1158.6383,1152.1229,1145.9438,1139.714,1142.0155
1185.2843,1249.4434,1301.5938,1356.4642,1349.2535,1356.9365,1344.21,1346.951,1351.118,1365.809,1403.6895,1410.3964,1402.1255,1387.4227
5859.947,5850.527,5840.667,5833.2773,5811.7256,5828.5264,5809.797,5802.5444,5793.592,5784.808,5784.418,5780.7363,5782.3413,5775.399
3057.302,3024.5046,2993.9663,2978.7295,2962.8413,3002.624,3029.9805,3049.0483,3081.8074,3109.1602,3146.2554,3193.1296,3247.5237,3279.8828
4345.8354,4320.9478,4243.862,4227.565,4221.2837,4168.4673,4109.1196,4013.2104,3938.7593,3881.061,3890.6768,3857.1514,3902.4412,3973.0547
1729.4084,1727.7216,1723.9713,1722.7195,1716.2773,1724.329,1719.887,1720.9596,1720.9695,1721.5292,1725.4194,1725.5934,1726.3124,1724.8009
1582.6099,1581.2739,1578.0874,1577.0132,1571.4261,1578.5079,1574.6383,1575.7285,1575.8179,1576.4596,1580.1211,1580.3759,1581.0525,1579.755
2589.5288,2580.6582,2569.3044,2564.2239,2557.2957,2567.0347,2559.2346,2566.4922,2566.8965,2564.5461,2571.4773,2575.9666,2575.1453,2575.5754
2426.7014,2419.8853,2408.4292,2398.5483,2389.0896,2384.214,2376.9307,2377.5408,2381.3901,2385.651,2396.4116,2398.8716,2408.1313,2417.783
3620.817,3607.7566,3591.221,3581.5813,3574.3806,3582.169,3569.6323,3567.3987,3559.4785,3552.6995,3553.631,3552.6816,3555.3967,3552.828
7151.6675,7106.4053,7078.475,7057.1284,7038.2896,7065.7363,7023.364,7005.6816,6976.8716,6956.2373,6950.766,6919.3896,6905.233,6891.326
5733.7993,5732.504,5727.0024,5733.3345,5683.331,5717.545,5674.5474,5653.8706,5632.4775,5619.5435,5633.122,5628.3574,5640.876,5632.0005
7404.703,7236.91,7072.416,6988.626,6726.4727,6830.7,6655.554,6539.2656,6409.8564,6288.737,6218.1133,6158.975,6246.8706,6249.8984
3077.362,3078.214,3078.6323,3080.4048,3077.4897,3078.8933,3076.2861,3074.9397,3072.7913,3071.6575,3071.0898,3067.2383,3068.4817,3071.9167
4006.6494,3994.5396,3986.739,3974.179,3959.058,3964.834,3947.998,3936.8184,3924.048,3916.5264,3916.1235,3913.6553,3917.983,3910.852
9530.365,9528.187,9530.197,9521.763,9521.331,9519.344,9522.322,9520.595,9522.97,9529.072,9525.478,9516.633,9516.67,9514.284
2674.4482,2674.8813,2678.8271,2674.6514,2650.7625,2680.147,2658.287,2643.7744,2626.25,2618.2244,2630.3367,2643.4417,2656.488,2644.8665
10854.142,10867.951,10869.5625,10878.895,10888.404,10888.3,10883.365,10883.454,10876.302,10860.195,10847.865,10836.174,10830.896,10832.303
2663.219,2663.502,2667.6985,2663.8452,2639.9346,2669.686,2647.8525,2633.421,2615.7097,2607.6106,2619.5823,2632.282,2645.2114,2633.685
2832.0833,2822.0469,2800.8628,2808.7263,2810.837,2870.4966,2880.2407,2896.3755,2911.7422,2910.7148,2937.763,2942.3723,2948.8704,2943.5002
1871.3752,1860.1293,1848.2324,1858.8585,1875.5956,1896.4319,1929.9443,1944.4791,1956.8141,1967.4629,1973.057,1976.4478,1980.0778,1979.4558
2523.2476,2515.6165,2498.711,2506.9004,2509.8335,2563.8044,2574.458,2588.8909,2603.8445,2604.7886,2630.1113,2634.788,2641.1506,2638.3535
1552.0569,1547.422,1540.1301,1552.5234,1568.1284,1586.9735,1614.0884,1625.8209,1633.8347,1639.7324,1642.8345,1643.5594,1643.2239,1641.663
2374.6294,2368.7778,2352.2512,2358.716,2352.3167,2398.2832,2398.1677,2412.7075,2419.4985,2416.75,2433.9229,2431.3054,2429.6519,2419.9443
1673.6792,1664.264,1654.0717,1662.845,1677.1683,1695.932,1725.622,1739.0474,1750.1442,1760.1415,1765.6451,1768.764,1771.9827,1771.1259
426.24448,427.06998,425.86206,424.33456,426.63513,425.9399,424.76437,426.89908,425.31323,424.3264,424.3251,422.75644,423.3498,425.6346
6384.167,6381.4336,6344.4263,6322.027,6287.1997,6308.279,6273.457,6263.9297,6261.589,6254.0845,6285.3184,6313.354,6339.1494,6347.588
612.57587,613.76154,612.0254,609.8297,613.13513,612.13654,610.4474,613.5146,611.2351,609.8169,609.8148,607.5599,608.4128,611.6967
2100.726,2089.6953,2079.099,2070.565,2071.447,2067.4272,2065.011,2061.9768,2058.9988,2054.2876,2050.9739,2050.872,2045.8843,2039.9901
1905.3123,1895.3049,1885.6774,1877.9459,1878.7263,1875.0691,1872.8844,1870.125,1867.4216,1863.1477,1860.1385,1860.0425,1855.5106,1850.1709
6749.9814,6750.1265,6755.6562,6741.661,6730.7144,6714.735,6682.3267,6654.2275,6626.645,6600.2397,6567.895,6506.967,6470.854,6464.8696
2287.0881,2272.6677,2255.639,2270.4402,2280.7412,2328.4807,2344.6147,2350.6758,2349.8196,2339.6497,2339.5642,2323.313,2314.2666,2305.7056
1660.0608,1658.9619,1656.1522,1653.7472,1652.5085,1654.4432,1653.2897,1653.3049,1651.5331,1652.1327,1653.9109,1650.7153,1651.4347,1654.9045
3772.9265,3771.1794,3764.5356,3762.975,3768.3157,3767.8323,3764.3293,3761.1055,3755.9387,3751.6506,3747.8933,3751.5066,3751.0083,3747.1968
