V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
36545.2,36670.625,36802.58,36918.047,36851.797,36904.758,36827.598,36977.348,37230.13,37323.74,37273.766,37231.332,37222.33
3611.8787,3626.4185,3643.0269,3660.5964,3655.9658,3663.3745,3652.9614,3672.5798,3703.1824,3716.9263,3714.2212,3709.7444,3706.631
9552.379,9517.858,9502.183,9505.035,9501.879,9506.088,9498.408,9511.667,9523.329,9525.185,9538.575,9562.704,9570.25
2418.198,2440.7576,2453.1577,2427.4175,2373.569,2409.3599,2433.118,2476.4907,2551.2366,2598.238,2592.6257,2513.211,2393.8708
1506.7278,1611.308,1665.3352,1753.4425,1753.5477,1720.9159,1659.1273,1700.222,1685.0233,1616.0712,1610.0857,1619.2057,1573.8273
500.26443,503.00323,512.97565,500.8016,495.00592,516.5732,495.5518,512.362,532.33154,533.77844,520.891,503.97864,501.27792
3002.046,3037.3782,3085.3862,3182.153,3252.6523,3406.3828,3469.5981,3540.4238,3551.15,3262.843,3010.603,2781.8691,2629.094
2527.8508,2413.7627,2336.1726,2319.4785,2364.249,2442.3235,2477.0796,2438.338,2361.2588,2265.48,2175.041,2150.9617,2087.555
6496.532,6211.5786,6033.331,6008.843,6086.7383,6228.6533,6270.46,6226.1943,6175.467,6088.7334,6004.3057,5946.5337,5883.419
5132.9907,5101.489,5104.3594,5095.391,5085.119,5091.482,5056.588,5024.5615,5023.879,4968.564,4929.516,4900.794,4866.0703
320.47986,317.01636,322.0374,328.0964,331.87918,336.46277,326.5251,332.64685,350.6552,361.86404,370.8555,378.6171,380.06754
1040.2448,1045.8054,1051.5736,1055.3981,1053.5161,1058.2634,1053.2024,1047.6238,1041.7046,1036.995,1033.7562,1032.8527,1033.7767
2260.748,2208.8142,2180.119,2176.5579,2171.6663,2196.1892,2193.1165,2175.0342,2174.051,2167.227,2164.331,2178.9521,2178.8367
2261.4893,2214.7817,2188.282,2183.0986,2178.0415,2198.706,2195.7922,2186.0027,2192.0828,2187.506,2180.3303,2190.3198,2185.5764
3902.8948,3556.819,3387.432,3354.23,3351.4016,3506.9204,3463.1838,3393.1736,3410.4822,3352.9758,3276.8535,3326.3745,3340.6848
3902.8948,3556.819,3387.432,3354.23,3351.4016,3506.9204,3463.1838,3393.1736,3410.4822,3352.9758,3276.8535,3326.3745,3340.6848
12090.742,12072.459,12083.047,12084.554,12088.038,12108.576,12087.643,12067.715,12068.535,12016.408,11990.599,11974.185,11945.517
4307.5547,4307.996,4315.213,4335.156,4336.619,4322.6323,4283.9795,4301.226,4337.365,4368.194,4400.1177,4424.2207,4424.925
2735.5981,2706.9243,2858.2844,2880.1643,2865.8396,3018.3213,2998.8264,3037.1099,3143.3289,3159.7527,3113.6562,3027.9124,2921.5244
4064.791,4133.872,4222.5566,4208.9473,4220.322,4319.9307,4311.038,4402.923,4476.418,4485.827,4419.141,4319.577,4210.8774
1958.0911,2004.4471,2059.3022,2074.0627,2030.4567,2027.4215,1939.6052,1963.17,1977.6611,1967.7877,1945.8582,1945.7596,1944.1412
3740.7034,3539.126,3504.3743,3704.7397,4014.2952,4345.857,4477.055,4368.96,4225.3467,3974.3337,3790.2886,3662.6604,3550.5864
769.3485,793.00684,826.0063,860.48413,886.6928,922.22205,908.5427,910.6666,921.6227,905.1202,869.7671,846.7403,828.3712
