V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
619.2507,583.127,572.07996,559.5139,567.3821,534.0031,541.013,571.15686,566.3062,610.56683,615.09033,668.23596,688.1508,707.25867,705.64026,737.6693,715.9158,738.0795,732.363,786.41455,741.70496,724.784,679.8138,651.51965,641.7788,612.8221,620.4157,552.5687,539.43945,568.9605,566.1443,533.7429,587.82367,596.86884,606.59735,769.93384,698.15936,702.3221,673.71277,714.5045,735.8571,741.2161,798.3544,699.031,740.2463,689.12384,688.09863,721.4491
2768.8538,2591.8677,2544.162,2475.1855,2512.4102,2335.3972,2338.6448,2484.4028,2447.1646,2605.3948,2629.3542,2845.8323,2961.86,3019.023,3012.8774,3150.5737,3096.139,3209.6938,3188.3533,3424.9417,3267.6064,3177.94,2995.7363,2878.986,2849.729,2720.0889,2752.481,2438.8682,2356.5679,2494.5088,2450.377,2306.8086,2558.0002,2560.3667,2590.4841,3280.3225,2988.2402,3003.8179,2923.0544,3053.456,3173.34,3208.017,3467.677,3067.7834,3242.8967,3038.0337,3047.906,3173.269
1162.4164,1105.6779,1075.6084,1061.049,1061.9832,1028.643,1007.911,1041.991,1018.7682,1056.6099,1072.9225,1107.4885,1120.8229,1157.7062,1140.4479,1182.0403,1167.1128,1181.0183,1212.867,1257.763,1247.057,1212.3765,1184.9915,1167.667,1169.7894,1134.8708,1131.8055,1047.7198,1031.4792,1045.3174,1040.3254,984.8418,1034.4874,1023.9904,1053.9149,1214.9508,1143.7692,1144.496,1115.553,1153.5881,1194.9684,1219.621,1256.0939,1171.5032,1226.8118,1188.3298,1229.4182,1223.9318
4953.518,4791.3315,4624.1245,4532.727,4559.146,4352.122,4159.6235,4306.4175,4220.508,4282.4546,4236.541,4417.3354,4625.1587,4630.6426,4661.4683,4810.7114,4877.157,4950.887,5115.027,5435.82,5354.411,5279.645,5155.019,5045.016,5035.987,4916.538,5000.203,4548.3975,4372.7036,4427.087,4422.2827,4098.066,4372.981,4184.44,4219.063,5067.143,4677.704,4616.4575,4519.2534,4644.1914,4906.9717,4992.624,5320.2417,4993.9204,5262.648,5131.657,5233.772,5331.6035
2791.727,2588.5972,2422.391,2383.7964,2337.3792,2258.052,2084.894,2178.812,2104.9238,2193.8154,2206.3726,2337.3074,2410.9543,2505.494,2509.2014,2637.4736,2676.8577,2651.6975,2905.397,3116.453,3098.1587,2978.336,2910.833,2832.0842,2833.2825,2703.064,2752.7317,2358.0066,2250.8328,2254.246,2278.3923,2013.7491,2187.9788,2060.3547,2160.76,2833.0642,2509.17,2466.314,2358.89,2502.933,2781.22,2859.7163,3048.979,2755.6655,2982.504,2887.1948,3063.7832,3086.5405
5429.0957,5445.1396,5677.49,5719.3955,5632.8413,6026.2344,6246.6177,6234.0586,6330.289,6448.625,6524.485,6727.942,6590.671,6596.2686,6395.444,6496.3286,6332.6436,6197.0015,5965.1714,5980.0884,5891.8877,5625.283,5645.112,5537.536,5655.539,5707.37,5693.9375,5760.665,5914.329,6055.4307,6186.1934,6312.6255,6379.5825,6462.7363,6453.111,7238.231,6712.048,6621.6016,6472.051,6402.0625,6248.223,6274.0273,6150.077,5902.717,5893.33,5548.7363,5628.6997,5997.4897
40468.387,38652.76,37360.28,36816.668,36281.6,35594.547,33774.49,34809.36,33903.54,34445.88,34342.61,35628.0,36560.83,37127.406,37106.055,38449.176,38913.527,38853.47,40934.945,43054.17,43088.26,42023.79,41448.227,40678.09,40680.05,39869.402,40340.492,36670.523,35611.938,35783.938,35752.19,32979.527,34866.457,33412.465,34114.535,40419.94,37508.824,36923.758,35902.18,37067.516,39845.22,40358.7,42184.355,39700.105,41989.75,41119.48,42779.977,42971.086
28255.303,27096.797,26487.81,26154.922,26519.625,25468.959,26000.094,27331.371,26758.975,28738.506,29243.559,31025.344,31480.951,32432.46,32228.621,33375.266,32351.402,33232.047,32991.566,34619.203,32929.254,32031.994,30552.562,29603.54,29327.059,27975.28,28026.697,25726.53,25255.418,26623.459,26583.492,25767.617,27186.055,28054.283,28772.63,34746.7,32017.703,32356.295,30914.889,32632.605,33236.64,33497.47,35349.63,31594.002,32955.707,30979.354,30973.818,32091.902
34871.33,33553.098,32863.758,32412.004,32753.275,31256.016,31181.438,32514.678,32009.24,33400.66,33525.113,35262.484,36282.95,36824.504,36866.977,37959.99,37490.98,38422.98,38455.508,40460.605,39058.33,38450.44,36878.105,35996.355,35544.625,34421.36,34737.336,31985.215,31234.172,32513.24,32116.188,30867.432,32954.246,32891.066,33177.12,39096.65,36623.695,36663.918,35813.598,37107.418,38220.668,38514.04,40744.89,37365.56,38908.465,37134.45,37264.062,38308.97
427.63525,418.80838,413.17664,414.3709,411.39688,407.2657,403.68216,406.92053,405.4975,411.44385,413.4815,418.22122,419.87625,426.15192,424.78537,430.0987,430.3222,429.879,435.2765,442.18472,438.99713,435.85544,430.95435,428.57513,429.3743,422.49457,423.15372,408.95197,407.79684,409.25302,409.98114,400.58368,406.89127,406.84552,410.65567,435.56732,424.6044,424.32263,417.9113,427.5068,432.19827,435.33478,442.20074,429.3091,437.6094,432.68292,438.26892,437.93085
27758.965,26980.467,27076.14,27394.66,26841.043,27827.197,28671.422,29458.057,29374.479,31109.896,31726.727,33257.8,32918.19,33922.13,33351.07,34436.91,33106.887,33227.117,32776.44,33544.49,32228.273,30860.934,30087.941,29130.402,29022.883,28113.582,28302.88,27040.488,27129.678,28258.357,28743.613,28981.59,29503.803,30589.521,31470.234,36401.12,33781.504,33954.023,32513.852,33867.27,33768.637,33842.777,34733.8,31412.248,32170.172,30391.928,30405.123,31856.898
