V1,V2,V3,V4,V5,V6,V7,V8
6834.3135,6817.334,6836.224,6822.7886,6843.6265,6827.367,6848.64,6826.696
7064.864,7055.7627,7070.9473,7060.68,7071.314,7065.6543,7088.818,7068.1724
7193.8496,7182.938,7195.154,7176.518,7192.5273,7195.649,7214.0464,7198.6416
7673.841,7671.637,7677.2476,7671.865,7682.963,7681.865,7696.252,7677.263
1021.66595,963.4134,1196.3002,1471.9673,1074.6688,1031.6807,1236.3455,1522.3168
9860.286,9836.797,9898.189,9975.425,10039.675,10010.261,10079.878,10158.138
3336.4734,3340.0767,3321.2483,3339.5486,3342.5117,3353.5093,3335.143,3353.55
2613.1343,2586.0166,2601.9866,2645.929,2650.5107,2614.5288,2632.1047,2676.1265
2496.7217,2496.5857,2491.9504,2511.405,2514.5967,2511.3872,2507.0386,2528.9045
2539.436,2532.4143,2544.807,2541.1907,2535.5874,2534.3445,2545.1992,2539.3208
1152.4022,1149.4336,1149.2721,1148.485,1150.8519,1150.6119,1151.7433,1149.084
3258.46,3040.353,3253.737,3418.2961,3307.737,3095.5657,3296.0264,3448.5
1763.0642,1768.4794,1774.9358,1774.0919,1785.0769,1784.2385,1783.0488,1781.4462
12588.295,12475.305,12510.806,12642.612,12777.457,12760.424,12760.221,12802.436
1238.5345,1244.7966,1300.9391,1353.2148,1266.4781,1262.9452,1320.7192,1372.3483
2060.746,2063.58,2125.8062,2124.5083,2138.4636,2142.1924,2188.4858,2167.1921
2448.6038,2494.6965,2457.6997,2498.4663,2490.5305,2532.5,2486.0938,2530.946
4743.416,4668.9487,4844.89,4752.032,4753.167,4683.4126,4852.5913,4765.373
5791.297,5818.6743,5862.4434,5908.6196,5955.757,5989.7847,6026.745,6106.751
6312.7964,6342.578,6304.4614,6407.9136,6426.9614,6463.582,6427.069,6536.7407
9746.067,9782.605,9767.813,9901.64,9899.004,9939.501,9929.289,10085.289
5076.668,5129.3906,5156.8267,5239.564,5154.8755,5238.7114,5286.391,5371.2354
6011.474,5941.9194,6056.6626,6159.1978,6094.8867,6010.966,6124.3643,6219.4004
2340.9055,2338.629,2355.096,2340.9053,2342.1792,2342.3354,2359.8503,2342.5295
1369.476,1369.4673,1377.9198,1369.6166,1365.2882,1367.25,1377.5383,1369.432
7524.474,6935.31,7229.76,9121.518,7478.1987,7128.456,7410.1353,9271.254
9212.51,9171.377,9198.776,9162.902,9174.331,9154.109,9165.86,9130.403
5007.7764,4968.0713,4857.304,4883.4287,4999.598,5041.7876,4926.215,4916.6133
1921.4423,1892.3741,1894.7516,1885.0042,1925.9661,1896.971,1905.7087,1895.3517
3095.0972,3105.7427,3069.419,3077.1675,3093.4639,3102.8137,3072.9392,3080.4966
2488.369,2504.4834,2480.908,2493.8306,2484.9597,2501.5103,2491.8018,2502.5637
4806.4277,4656.165,4667.681,4648.7275,4818.503,4678.878,4676.93,4658.356
8244.981,8301.719,8287.56,8293.113,8316.068,8379.416,8368.243,8391.738
7163.9224,7211.886,7188.882,7186.204,7169.3306,7227.15,7230.9355,7240.9053
10088.303,10209.384,10174.865,10017.318,10124.14,10269.065,10250.316,10118.498
8994.977,8901.925,8877.225,8895.902,8938.806,8963.869,8979.871,8962.48
4397.222,4312.3457,4257.845,4298.453,4338.7275,4370.603,4363.1987,4362.6533
6344.7217,6259.88,6255.85,6267.528,6270.9233,6268.425,6286.3457,6234.452
5270.3213,5480.682,6140.717,5976.525,5303.063,5518.682,6167.154,6003.9165
5224.3774,5248.8057,5235.161,5249.432,5257.0273,5289.606,5268.1187,5283.192
1910.7633,1912.1658,1911.9905,1911.9626,1917.2103,1917.0061,1914.1959,1915.0613
2123.9436,2120.2783,2122.741,2122.2065,2134.2808,2126.9143,2121.032,2120.2458
5399.163,5433.2505,5388.0015,5422.0654,5417.895,5472.637,5414.734,5454.8887
1280.3348,1285.2225,1277.3291,1276.8774,1287.8986,1295.6422,1286.098,1286.1157
1925.8949,1923.98,1927.0499,1927.2646,1935.9763,1932.2937,1934.0371,1936.1559
3373.414,3379.6497,3378.4226,3364.8352,3370.6895,3370.0186,3367.805,3345.109
9672.939,9702.489,9672.796,9685.606,9667.342,9671.658,9639.557,9635.26
1415.2903,1392.2311,1406.3436,1421.0623,1428.5319,1411.4286,1428.0972,1436.8243
8901.302,9039.89,8978.12,8922.148,8975.1875,9126.924,9092.291,9036.743
9247.342,9372.737,9279.875,9251.524,9264.235,9410.265,9390.137,9370.197
1499.2063,1530.5679,1529.0367,1462.3289,1514.4324,1552.4362,1548.889,1488.1075
5781.0625,5782.8433,5781.6714,5776.706,5768.834,5764.734,5752.845,5734.4854
2614.6543,2591.1333,2622.2415,2583.9814,2612.04,2590.2078,2621.7769,2578.8843
1659.3029,1660.1786,1664.2019,1664.8955,1669.2329,1667.1736,1665.0654,1664.2462
6889.0156,6901.877,6873.9463,6899.8496,6890.397,6900.9966,6860.9175,6856.999
2938.3735,2928.924,2954.864,2913.288,2946.968,2932.445,2957.8318,2911.3572
1469.9037,1470.8231,1471.5916,1471.1256,1478.8864,1483.2314,1483.6198,1485.5273
7273.7944,7275.6606,7278.9688,7257.498,7277.0513,7275.5405,7276.389,7247.7354
9371.552,9413.111,9394.683,9310.896,9374.081,9408.339,9391.094,9292.16
1383.7274,1388.6444,1388.3724,1384.7167,1381.8939,1383.3624,1384.8326,1375.181
2830.5745,2867.3538,2907.2605,2952.2717,2995.3308,3037.5305,3079.35,3136.5527
2094.6204,2094.8857,2101.2976,2106.4043,2120.5884,2134.6946,2154.6885,2177.001
2983.3784,3035.4712,3123.4868,3176.6506,3290.4233,3356.0552,3440.968,3526.3696
3262.6084,3278.456,3330.6914,3416.9229,3497.7366,3508.765,3556.3403,3646.2554
4772.9365,4868.1104,4877.071,4950.9893,4961.342,5079.7695,5084.3794,5189.215
6352.025,6521.8027,6607.297,6771.968,6842.866,7018.8223,7080.3047,7245.3555
10927.457,11078.123,11210.662,11349.344,11555.417,11747.506,11872.129,12099.893
3239.9092,3265.272,3283.0225,3264.584,3265.8623,3271.2937,3287.1443,3256.6018
1097.0365,1098.0286,1093.1619,1096.9233,1105.9443,1103.9634,1100.8074,1094.4457
10726.018,10776.609,10805.697,10841.217,10864.764,10916.447,10960.922,10987.301
4872.833,4856.089,4833.283,4863.382,4897.7344,4901.0093,4934.3286,4921.919
3931.8628,3903.9204,3886.361,3912.677,3972.726,3977.0498,3964.5078,4007.5676
5279.8936,5320.6514,5360.6924,5423.7627,5490.802,5533.284,5569.224,5646.3384
3065.976,3091.6487,3118.1924,3153.3496,3189.096,3219.4553,3248.1948,3296.1519
1612.9692,1619.4575,1627.1826,1636.5182,1645.239,1651.6523,1659.6147,1671.3142
13600.707,13650.897,13709.366,13807.237,13876.925,13922.833,13981.1,14097.012
17851.412,17995.838,18164.754,18368.355,18555.207,18706.94,18883.854,19115.377
17407.416,17547.805,17714.518,17914.127,18098.332,18245.871,18421.117,18648.613
1691.0719,1704.6044,1719.4067,1731.6954,1747.2612,1763.124,1777.543,1796.0505
6808.097,6810.226,6807.126,6807.0205,6808.967,6813.9946,6811.5923,6809.3506
4522.286,4521.9297,4521.8525,4522.137,4522.6216,4522.9346,4523.22,4523.35
2198.7544,2199.2603,2197.8096,2194.2188,2192.595,2198.0984,2198.539,2196.3494
3457.9983,3463.4326,3456.8235,3468.6816,3466.746,3471.025,3467.4875,3465.9297
12299.526,12302.827,12291.904,12304.142,12300.687,12296.532,12291.301,12301.424
34043.3,34633.695,35345.32,35425.926,35720.395,36131.695,36566.53,36260.5
1107.6316,1108.4604,1107.6957,1108.7076,1108.336,1108.324,1107.557,1108.4283
2378.1394,2393.7249,2401.646,2414.917,2422.35,2437.6775,2445.7065,2459.0107
3867.351,3870.9893,3859.384,3876.2996,3867.7092,3864.318,3857.0508,3876.0073
8421.89,8424.249,8388.638,8434.989,8410.952,8402.46,8382.115,8441.189
8481.759,8447.734,8425.54,8457.981,8493.283,8488.456,8483.193,8462.515
1080.1426,1079.7094,1078.785,1079.7787,1079.7775,1080.3602,1080.1448,1080.7175
7200.05,7186.2427,7193.9253,7181.5195,7182.3706,7184.467,7197.5186,7185.5127
1574.6453,1586.9414,1593.3824,1603.8799,1607.4307,1620.6962,1626.2877,1637.1829
3964.5374,3939.201,3949.3464,3942.3245,3948.767,3954.497,3965.24,3940.9067
5914.436,5893.624,5901.29,5892.2905,5904.344,5897.6206,5902.6416,5894.6016
8989.429,8906.925,8926.046,8871.265,8923.393,8894.009,8954.299,8888.266
21204.59,21321.68,21387.998,21457.914,21511.861,21636.13,21704.125,21788.508
2448.0752,2441.5032,2439.6272,2441.613,2440.9578,2438.6465,2441.8198,2448.5781
1526.3774,1523.4231,1504.7675,1519.6028,1516.8127,1541.2903,1539.6545,1559.7627
6904.504,6897.96,6877.2607,6896.7803,6881.506,6881.1045,6876.501,6908.357
4271.522,4278.215,4278.7373,4281.082,4279.2334,4282.3286,4281.987,4280.7046
2291.287,2292.6567,2294.6907,2294.3792,2292.3718,2294.2002,2300.5608,2298.6213
2292.845,2293.5652,2291.8455,2293.679,2292.5137,2292.8525,2292.0825,2294.3362
6086.5693,6089.927,6077.907,6089.8457,6084.067,6083.758,6078.4946,6090.859
1824.9285,1829.5367,1830.0217,1833.219,1835.5692,1838.9059,1835.797,1835.2502
3709.3342,3757.7954,3769.286,3800.812,3829.8396,3878.589,3880.1912,3919.0146
6242.364,6249.771,6243.03,6247.3857,6241.0303,6247.6616,6246.183,6250.1074
2317.7703,2315.981,2317.3499,2318.4797,2318.3586,2316.5898,2318.1223,2318.5881
3093.9873,3097.864,3093.7532,3099.8364,3095.876,3101.4675,3097.7937,3109.0256
2330.693,2330.9773,2329.0627,2330.774,2331.3586,2330.4924,2330.03,2331.124
5688.931,5692.5938,5681.327,5694.2866,5686.545,5688.2476,5684.084,5697.984
3904.9067,3901.118,3900.4417,3912.0837,3903.2278,3903.757,3903.0728,3908.3208
3388.6638,3394.291,3392.809,3395.9119,3393.1963,3396.2808,3395.0835,3396.1943
3268.271,3267.696,3270.4148,3270.7317,3267.3787,3266.9773,3271.6265,3273.1807
1412.9641,1437.5143,1419.0028,1434.1973,1417.4984,1437.6346,1420.592,1422.9207
2445.8257,2446.9077,2447.8848,2448.4001,2446.1875,2449.939,2456.9817,2456.5212
1511.1562,1401.042,1475.4989,1601.3607,1501.4991,1443.4846,1518.6346,1620.5109
4080.762,4110.242,4105.7505,4142.8193,4172.8906,4203.5713,4203.624,4256.331
3250.637,3277.1428,3281.6611,3298.8728,3299.1943,3317.012,3305.1206,3312.0876
1481.075,1514.0421,1544.3148,1561.9753,1577.2723,1616.4626,1647.5483,1671.0103
1671.596,1667.9481,1667.1934,1667.1057,1664.9037,1669.9675,1669.4142,1667.1631
3300.2947,3293.1353,3293.1575,3294.907,3292.8171,3299.081,3299.5,3299.29
1785.1411,1799.5837,1816.4753,1836.8356,1855.5206,1870.694,1888.3854,1911.5376
10253.933,10231.856,10227.367,10226.781,10213.145,10244.127,10240.621,10226.155
1457.597,1465.0803,1460.0815,1460.559,1463.7064,1464.531,1451.9812,1440.7246
5971.975,6003.1484,6018.6367,6034.572,6033.7466,6059.2075,6052.34,6060.567
1222.8967,1231.0837,1240.0824,1248.5905,1255.9395,1265.034,1273.2994,1282.6283
1077.9535,1081.7981,1087.6731,1091.2528,1094.8174,1099.2073,1104.9363,1108.5154
1132.978,1137.0177,1143.1968,1146.9581,1150.705,1155.3187,1161.3453,1165.1053
7921.6177,7928.1006,7934.541,7930.2617,7911.789,7878.8306,7832.063,7751.7827
3355.917,3411.6162,3405.1929,3441.356,3447.6748,3484.055,3457.2334,3477.652
3352.275,3424.6865,3413.7139,3474.2344,3494.6516,3569.4888,3544.6833,3593.7322
10086.231,10173.737,10253.779,10343.477,10407.513,10508.514,10573.292,10682.122
1116.4338,1125.2617,1126.6488,1123.0775,1119.8455,1129.2482,1132.5483,1128.1693
2791.0024,2801.1,2784.3423,2785.6519,2776.5132,2788.8826,2770.0862,2758.58
1056.5681,1057.9645,1055.8237,1059.506,1060.1028,1060.7003,1060.6064,1060.6066
10494.238,10626.947,10648.638,10785.054,10850.937,10993.605,10984.001,11147.426
6368.882,6437.621,6480.715,6554.043,6595.005,6681.294,6711.664,6800.844
9419.968,9414.077,9437.381,9439.448,9468.664,9482.258,9506.592,9534.699
7625.9756,7702.062,7749.0195,7825.002,7866.7944,7961.7896,7995.553,8089.1333
12056.449,12050.705,12069.774,12089.137,12094.719,12091.969,12118.377,12137.642
5967.2515,6042.242,6065.2383,6132.934,6155.667,6232.9756,6233.871,6306.923
18222.592,18184.783,18514.854,18630.787,18983.672,19028.758,19355.246,19587.145
12606.582,12744.873,12968.735,13105.522,13481.782,13698.702,13991.445,14201.008
11741.059,11905.856,11996.1455,12094.076,12171.294,12347.8545,12439.304,12547.773
10449.557,10546.166,10480.699,10544.258,10573.348,10650.131,10551.649,10632.686
19445.842,19719.41,19993.127,20221.14,20447.248,20747.19,21018.46,21293.861
4143.7817,4036.4863,4172.6055,4128.4673,4250.1045,4145.2373,4300.082,4250.0747
5892.817,5815.2827,5944.4814,6013.784,6157.1963,6078.1675,6199.698,6257.2305
6042.5186,5799.22,6117.5195,6155.972,6117.0,5866.9775,6196.6484,6203.9062
4464.635,4162.61,4302.409,4356.9224,4606.2075,4275.184,4417.3975,4451.4414
6111.3555,6097.3154,6082.9854,6097.4956,6082.9106,6094.8296,6107.7573,6130.626
1881.0417,1878.3875,1887.9174,1887.287,1881.7169,1879.1747,1886.0012,1885.2767
2289.2876,2276.754,2351.4673,2308.974,2304.1702,2287.1758,2357.441,2320.369
7613.8496,7792.5005,7816.952,7676.5513,7638.665,7817.8394,7867.6147,7745.1436
992.0228,1009.4602,1145.8315,1250.4956,1023.6844,1038.7,1168.3582,1265.8358
2525.266,2516.0176,2518.0425,2475.517,2475.6257,2448.2947,2451.8276,2381.4136
1248.4269,1226.8116,1235.8536,1269.853,1310.397,1286.3583,1293.2937,1325.4905
7728.1147,6776.608,7087.706,6920.572,7803.9033,6837.0107,7186.453,7002.5303
1473.1813,1424.7719,1456.2101,1424.345,1476.8206,1434.0791,1475.8352,1447.441
1214.3313,1220.131,1226.5226,1232.6929,1236.5817,1243.126,1249.783,1256.133
1220.8737,1227.2017,1233.5438,1239.4509,1242.7504,1249.8898,1256.3252,1262.4158
1190.397,1190.7085,1202.2784,1212.1909,1218.3942,1219.2084,1232.56,1241.831
1224.9343,1232.1476,1239.3639,1245.3472,1249.1948,1257.3528,1265.395,1271.2612
1232.0477,1239.9178,1248.1443,1255.1213,1260.2649,1269.25,1277.9109,1285.0709
1233.5105,1240.376,1249.6102,1256.3533,1261.7003,1269.7327,1279.7686,1286.5876
1207.7427,1214.3732,1222.5266,1227.7039,1232.4338,1240.1628,1249.4424,1254.862
1243.6229,1253.3447,1262.7076,1271.5822,1275.638,1286.936,1297.9396,1307.1942
1244.4403,1256.8663,1263.0269,1272.6733,1277.1556,1291.1292,1297.1616,1307.6925
1243.179,1247.864,1249.5247,1261.0217,1266.2727,1270.4971,1272.5337,1284.5748
1270.4746,1273.312,1284.4023,1291.978,1296.5792,1298.8762,1311.4183,1319.3318
1207.1066,1212.7407,1218.7534,1223.9637,1227.3009,1233.7821,1240.3052,1245.8577
1194.5603,1201.7029,1206.4204,1211.5132,1215.3954,1223.3142,1227.9241,1233.2382
1196.6232,1202.6364,1208.6781,1214.7168,1218.9408,1225.8232,1232.0215,1238.5223
1225.4022,1232.446,1238.8749,1244.6278,1248.501,1256.2506,1262.6702,1268.1436
1234.5756,1241.7744,1252.7565,1257.815,1259.5131,1268.156,1279.8431,1284.2745
1223.7208,1232.0491,1235.7424,1245.1611,1249.3807,1258.0095,1262.3086,1271.961
1193.116,1202.1748,1206.6011,1212.9656,1216.5284,1226.3629,1230.373,1237.6478
1209.784,1220.0497,1226.8901,1233.3013,1235.7456,1247.2878,1254.6649,1260.743
1293.1086,1305.83,1317.1943,1325.8229,1330.953,1345.2162,1357.477,1365.5465
1221.2788,1228.2974,1239.0813,1243.6046,1246.3025,1254.6544,1266.524,1269.7723
1225.4121,1230.0216,1234.917,1241.236,1246.6776,1251.6766,1256.3196,1263.1532
1232.0215,1237.0585,1237.4253,1248.2827,1253.0145,1257.666,1257.318,1268.9952
1228.3118,1233.3467,1237.5876,1243.1885,1247.9165,1253.263,1257.0228,1262.7798
1176.7966,1180.9427,1183.15,1187.3993,1190.3025,1194.6736,1196.779,1201.4015
1224.2444,1230.4663,1237.7373,1244.5887,1249.0632,1256.098,1263.6958,1270.7554
1236.7881,1243.5841,1251.8179,1257.8032,1261.352,1269.2555,1277.6625,1283.6312
1212.8866,1217.6606,1226.1464,1233.8218,1239.4045,1244.877,1254.4,1261.9113
1238.2731,1249.5353,1260.1678,1265.8553,1269.9027,1282.855,1295.9613,1302.1084
1266.0795,1275.2479,1277.2543,1288.271,1291.8035,1301.2203,1302.8704,1314.2711
1236.653,1243.3253,1243.9932,1253.9003,1257.4794,1264.0248,1264.2925,1274.8024
1231.3601,1237.9363,1237.6989,1247.9639,1251.272,1257.6031,1256.9143,1267.8403
1253.6029,1259.5912,1263.6444,1270.2789,1274.287,1280.863,1285.1621,1292.3071
1195.0636,1199.3181,1200.3242,1206.5947,1209.4838,1213.6766,1214.6088,1221.6731
1188.5784,1192.6343,1192.6761,1199.3678,1201.9172,1205.7119,1205.6578,1212.985
1184.1057,1187.9825,1187.7101,1194.8809,1196.9844,1200.5607,1200.3486,1208.086
1363.0813,1377.0526,1380.4198,1396.9895,1402.8511,1417.2234,1419.294,1436.0795
1709.9617,1713.6923,1705.2902,1719.8387,1710.0006,1715.0938,1709.8176,1721.0347
1695.404,1692.6191,1687.7894,1709.0253,1705.2627,1696.8107,1686.1866,1710.6472
1637.5419,1629.2039,1631.0018,1632.5475,1662.1079,1644.4119,1628.8518,1627.2959
1686.0022,1690.2434,1689.0479,1699.2451,1705.7888,1708.3676,1703.5688,1710.8983
2400.3972,2408.4155,2417.5232,2428.3616,2433.9727,2437.5242,2434.7048,2433.6729
1264.5303,1349.1622,1355.4237,1424.8834,1445.0917,1518.8822,1528.4894,1590.0774
4983.9517,4345.795,4644.88,4787.952,5004.2905,4375.9707,4638.9746,4812.263
1507.3271,1524.4595,1526.244,1546.3068,1540.222,1564.9136,1590.0365,1606.7715
18514.596,18721.414,18981.441,19286.363,19643.27,19855.992,20058.506,20384.824
11654.74,11907.676,11738.053,11951.509,11896.741,12014.631,11895.889,11939.402
10936.374,11584.736,8991.449,10575.054,10781.358,10997.768,8984.907,10961.643
2062.7427,2136.1433,2162.8972,2257.4048,2188.6501,2229.2944,2287.913,2368.8052
6855.6562,6272.5674,6001.747,6654.214,7407.9365,6790.355,6501.741,7120.5654
1204.7336,1039.9806,1340.4285,959.19775,1229.3289,1057.8936,1341.5004,987.0328
10185.883,10508.989,10350.417,10514.82,10548.388,10713.3,10435.513,10732.463
13659.007,14449.941,14728.023,15212.121,13935.716,14784.022,15124.391,15573.941
6612.89,6783.57,6639.5933,7358.8916,6599.8574,6806.203,6651.489,7367.9453
7170.4717,7334.289,7201.7783,7297.033,7153.3975,7479.4546,7352.4814,7411.394
10844.305,10923.506,10977.915,11071.336,11146.515,11233.619,11290.1,11400.734
1652.5295,1696.0625,1642.0183,1674.4824,1703.5471,1735.7334,1713.3486,1695.3704
10806.936,10900.935,10909.689,11001.276,11029.218,11124.152,11109.266,11195.783
16762.715,17358.035,17901.623,18597.414,18901.78,19541.195,20255.94,20919.836
3704.4626,3819.1807,3953.5405,4090.838,4174.3594,4299.442,4436.461,4565.3438
12080.965,12622.154,13041.618,13024.219,12723.041,13314.489,13830.25,13914.801
9756.752,9780.807,9693.985,9785.129,9792.785,9819.292,9773.503,9899.671
11494.382,11450.221,11268.311,11344.497,11334.236,11333.717,11221.417,11300.261
16590.514,17097.357,17326.535,17781.484,18215.438,18745.672,18879.637,19413.096
29954.197,31329.738,31153.615,32593.264,32911.656,34215.527,33651.84,35312.29
25127.479,25988.668,26791.36,27623.207,28332.074,29253.441,30009.062,30880.633
16604.488,17106.883,17334.76,17788.354,18222.209,18747.137,18880.275,19411.658
4835.9844,4900.0986,4965.8994,4919.995,5043.728,5090.465,5169.808,5164.05
10839.815,10926.633,10890.654,11009.006,11065.526,11141.499,11072.959,11202.391
11438.623,11569.89,11590.608,11741.725,11807.194,11936.972,11930.895,12059.674
8048.514,7961.7344,8066.1133,8036.8936,8132.5635,8088.9165,8190.693,8118.1006
11355.447,11276.971,11140.289,11301.012,11425.408,11308.532,11109.711,11299.469
12829.726,12872.212,13049.298,13000.5205,12900.361,13014.543,13206.988,13107.083
5921.6216,5808.5737,5860.2803,5845.7764,5957.0186,5845.703,5898.5527,5840.66
7540.282,7368.6763,7257.7583,7245.118,7391.1133,7260.5713,7112.4214,7078.637
13424.693,14031.089,13773.581,14246.213,14341.451,14805.865,14358.772,14784.682
2511.232,2491.1965,2488.2249,2477.572,2514.819,2495.4944,2495.9463,2480.2805
10721.873,10765.45,10764.621,10813.957,10822.797,10861.555,10835.296,10849.418
11116.49,11125.26,11123.596,11164.832,11224.051,11199.09,11127.649,11153.242
8024.1504,8024.8125,7998.4424,8015.114,8046.4766,8020.9736,7992.7217,8012.0806
1588.5128,1587.865,1574.0613,1592.0709,1602.7345,1593.8706,1588.1462,1591.8379
9614.187,9627.211,9589.152,9619.751,9664.679,9633.856,9602.308,9615.597
9522.501,9497.353,9486.357,9538.113,9523.176,9507.338,9500.497,9528.248
7504.996,7465.836,7684.0264,7844.9956,7860.979,7773.751,8028.3784,8129.926
