V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
657.1003,619.9729,546.6351,545.3231,531.7367,481.30576,485.44473,495.03534,515.35156,527.88403,601.04114,614.3713,671.0862,709.267,756.9266,793.3647,765.7498,689.1533,638.0785,742.85443,772.0098,688.39514,708.37103,667.75574,595.7934,592.93054,555.4973,559.2872,506.46512,483.70892,489.48404,491.25415,530.2103,520.58215,536.57324,637.47107,562.19366,668.08484,752.56506,792.1914,817.3202,779.5324,826.40717,782.322,765.6872,726.5261,735.1537,640.5702
2963.5515,2795.4565,2502.5662,2461.3413,2392.0938,2192.952,2160.0183,2188.3145,2252.5386,2291.5544,2572.4917,2609.125,2874.265,3035.997,3256.5215,3393.335,3298.9138,3010.4548,2830.4102,3273.8066,3406.366,3062.135,3147.1255,3020.4158,2718.5454,2702.6108,2545.733,2514.8708,2306.3755,2193.3054,2216.5217,2199.6472,2332.1785,2264.7327,2370.7085,2712.7324,2478.5913,2891.1182,3232.0796,3405.941,3515.445,3402.291,3596.2783,3449.513,3383.946,3252.9082,3276.688,2901.891
1217.4064,1145.2437,1095.0958,1075.6936,1020.5552,930.9158,917.35944,918.14044,921.0325,933.3229,1009.58777,1023.59216,1058.0052,1105.4751,1151.6436,1213.0782,1175.4081,1116.2948,1057.2568,1219.2736,1296.5336,1191.7203,1222.9183,1214.9506,1083.837,1123.9589,1066.8862,1053.7118,987.3524,943.5207,921.4491,906.9235,953.69604,915.24725,964.1766,1030.6506,950.9064,1063.5593,1155.6638,1208.265,1268.4307,1222.3085,1301.9199,1270.5421,1265.855,1233.8291,1280.5616,1137.7443
5256.7217,5022.347,4744.9644,4612.916,4432.68,4154.1143,3992.5703,3913.595,3850.611,3752.337,4016.166,3976.0818,4261.137,4431.8076,4734.522,4766.5664,4847.592,4736.1846,4613.13,5194.5938,5496.2764,5049.6387,5288.7144,5330.44,4843.4434,4995.686,4788.3086,4664.6143,4370.762,4120.337,4010.8423,3821.7598,3966.059,3740.1816,4020.4565,4022.8142,4018.942,4259.627,4726.3916,4889.2993,5131.464,5106.8325,5446.0894,5388.705,5454.7217,5397.9595,5566.2783,5083.203
3080.255,2778.1868,2604.8596,2462.4412,2258.9265,1892.1506,1814.2034,1757.8357,1704.2783,1661.3884,1913.8922,1928.9866,2039.7812,2235.4421,2412.312,2586.0806,2562.2473,2412.3564,2214.9985,2899.2207,3252.6655,2814.1665,3015.547,3073.9878,2486.3914,2724.6648,2499.8943,2442.6787,2110.756,1917.2632,1744.477,1580.8967,1804.0507,1598.0319,1831.9672,1922.4197,1711.7366,2015.9155,2452.1116,2574.2832,2906.7625,2773.5288,3151.3506,3084.4111,3150.57,3039.51,3281.6086,2693.7363
5524.356,5589.857,5495.376,5686.3076,5855.427,5808.5537,6186.026,6372.7876,6539.9473,6681.1787,6873.108,6790.0615,6851.4946,6814.2095,6781.383,6737.519,6357.484,5968.699,5585.937,5697.9365,5665.7485,5516.3066,5635.897,5385.6265,5332.7827,5398.004,5470.5947,5756.373,5792.3374,5866.4414,5595.921,5775.132,6401.5786,6538.6963,5705.1055,6964.4717,6032.015,6483.1772,6768.737,6615.405,6563.328,6181.8604,6143.6196,5841.3174,5753.384,5496.404,5573.647,5396.91
43263.34,40600.98,39374.9,37995.94,35909.184,32724.15,31720.414,31130.324,30393.299,29859.17,31979.914,32104.273,33109.527,34748.285,36514.742,37930.555,37796.973,36805.508,35325.734,41269.844,44451.734,40551.27,42555.15,43337.918,38118.266,40474.094,38400.02,37663.395,34788.21,32845.37,31051.324,29659.562,31395.088,29385.258,31585.012,31828.934,30537.691,32948.348,36720.47,37999.13,40848.215,39994.98,43282.004,42662.54,43550.43,42944.97,45030.793,39901.758
29249.14,27897.838,24980.03,25147.129,24788.74,22692.527,23227.9,23894.89,24855.941,25825.65,28857.033,29082.396,31102.111,32584.314,34200.18,35739.008,34160.016,31086.102,28649.627,32727.605,33791.387,30755.86,31100.78,29379.402,26776.445,26507.492,25177.322,25557.379,23645.783,22968.566,23568.938,23595.123,25379.91,25511.639,25455.732,30142.078,26494.63,30929.666,33946.715,35492.625,36554.58,34565.418,36422.055,34422.516,33469.395,31760.27,32242.502,28458.361
36365.242,34986.65,32260.63,31924.316,31311.453,29491.867,29257.078,29507.738,29898.207,30355.756,32775.887,33082.02,35256.293,36655.816,38642.938,39764.89,39094.215,36708.734,35005.402,39001.574,40261.945,37067.8,37970.594,36960.418,34257.664,34098.945,32733.809,32451.977,30559.355,29464.191,29881.783,29506.73,30666.83,30121.059,31155.012,33906.04,31988.992,35429.457,38413.105,40026.97,41164.824,39959.027,41819.63,40598.414,39991.04,38831.805,39168.805,35761.027
434.4911,422.8771,414.23956,411.83902,404.44696,391.77567,390.08743,390.04062,388.24762,390.98328,402.34018,404.69608,409.06558,416.30276,423.42313,431.92093,428.74838,418.76868,410.7103,435.1951,446.6789,430.66846,435.32263,433.79523,413.92816,420.8922,411.43042,410.58508,398.87177,393.22464,390.0032,385.84064,393.4318,387.89844,396.03748,404.74698,393.33725,409.13513,425.4782,431.30673,441.92734,434.63943,447.66876,442.0752,442.17358,437.08356,443.2983,421.76846
28265.95,27582.322,25307.727,26185.14,26366.76,24680.809,26256.793,27419.584,28588.871,29716.523,32332.23,32346.025,33631.05,34486.383,35270.613,36474.363,34153.65,31165.428,28314.285,31390.074,31843.53,29774.465,29888.92,27821.275,25863.615,26043.182,25447.0,26579.148,25177.584,25144.783,24935.688,25603.709,28380.941,29267.322,26962.979,33374.336,28301.826,32377.166,34988.14,35513.99,36164.566,33718.777,34976.82,32656.785,31964.668,29861.986,30337.793,27142.63
8130.932,7692.7046,6799.9717,6852.1924,6729.9272,6045.586,6224.8936,6439.116,6735.373,7026.6235,7955.557,8050.6333,8628.067,9090.368,9584.39,10073.482,9582.678,8650.132,7868.878,9156.554,9513.742,8549.124,8678.468,8148.082,7303.9526,7260.667,6828.5815,6976.3477,6362.002,6149.826,6287.1807,6295.967,6894.2295,6922.4204,6906.4497,8345.13,7200.822,8552.964,9506.207,9978.778,10333.463,9686.036,10301.021,9685.366,9409.031,8852.24,9020.907,7817.33
550.8028,535.9927,494.43506,509.88776,497.89737,458.35568,474.35254,483.76138,512.08734,510.96683,575.7816,548.2892,588.2129,613.1728,636.46906,649.3091,615.81055,570.63696,534.3436,595.8868,604.0475,573.363,564.9147,541.2312,515.5803,509.8453,505.46844,505.83344,488.6261,480.04666,479.22406,468.62466,509.178,516.1448,485.84464,581.1724,512.4032,591.0465,634.5848,641.92053,667.5752,636.04956,656.2079,614.9556,600.36707,580.5399,597.2525,554.11884
176.35602,166.58357,159.11797,156.24295,149.7831,137.36795,136.12825,136.00781,135.90552,137.19766,147.40103,150.11441,152.97104,159.55717,165.07571,172.96077,169.71933,162.01884,153.4452,176.03412,186.5431,171.84113,176.98326,175.4448,156.83195,163.68124,155.1335,154.81233,144.60576,138.54744,135.21333,132.00728,140.15096,134.67827,141.64005,149.49583,138.85686,152.64243,166.79482,172.87334,182.16737,174.37364,187.18326,182.5991,183.017,177.75021,184.11357,164.17223
13684.914,13092.866,11741.99,11830.701,11684.461,10782.008,11014.465,11325.398,11770.5625,12226.077,13600.62,13707.273,14668.076,15335.141,16079.844,16756.066,16019.182,14575.943,13471.153,15311.765,15767.738,14397.482,14563.862,13756.157,12578.974,12450.843,11866.176,12034.582,11178.211,10880.5625,11139.598,11208.576,12011.8125,12076.221,12000.395,14217.096,12530.283,14585.926,15948.277,16648.793,17094.686,16191.997,16993.484,16079.069,15627.904,14862.634,15050.986,13361.844
1307.4756,1250.6411,1142.8888,1121.1005,1089.4353,1013.18335,989.2444,991.1759,1001.1538,1005.32666,1094.7058,1096.6418,1197.3295,1253.3694,1344.3414,1381.0262,1362.3604,1282.0266,1225.2574,1385.6078,1447.3486,1314.1375,1363.5822,1336.6107,1219.9875,1221.563,1165.5266,1143.1748,1063.0936,1010.40393,1015.93964,989.7609,1035.9038,999.01276,1049.4434,1132.1166,1081.6698,1207.923,1328.8776,1394.1233,1447.8042,1416.9907,1494.4506,1452.84,1437.1471,1401.821,1419.3029,1281.5927
53664.996,50953.457,46986.875,46237.164,44780.586,41473.33,41001.92,41061.26,41968.547,42365.926,46726.11,46893.293,50845.473,53310.94,56578.61,59062.332,57506.395,53401.01,50808.453,57775.984,60002.87,54851.5,56104.36,54483.133,49884.99,49682.89,47399.414,46741.363,43508.664,41562.234,42310.68,41630.953,43230.26,42036.7,44077.56,48524.48,45099.43,51204.617,56177.367,58931.773,60994.703,59535.47,62446.77,60520.6,59513.836,57606.645,58375.918,52501.83
28953.084,27670.29,24955.85,25334.902,24948.34,23083.535,23766.773,24478.484,25582.66,26560.123,29468.387,30048.35,31797.102,33183.13,34633.812,36095.52,34360.45,31105.535,28666.324,32482.965,33366.78,30447.066,30795.416,28939.223,26347.94,26292.336,25015.803,25566.98,23852.785,23346.41,23396.957,23951.875,26027.273,26135.465,25609.344,31005.473,26891.164,31509.434,34444.55,35693.92,36409.57,34465.547,36017.59,34008.5,33065.727,31244.287,31724.992,28146.613
2161.2263,2074.465,1888.27,1915.5372,1898.4496,1786.0667,1841.8818,1894.201,1976.6106,2060.277,2271.8005,2290.5103,2442.7876,2540.3179,2635.2615,2743.5269,2598.8208,2338.6492,2177.6,2439.1797,2474.4487,2290.519,2299.9187,2159.1238,2000.1396,1972.7156,1904.3062,1934.8845,1822.5355,1796.7743,1824.4834,1865.7241,2009.1494,2024.0586,1958.391,2392.5083,2066.3901,2429.2646,2624.5986,2705.1545,2743.7473,2625.4026,2692.7551,2552.6316,2463.033,2343.2231,2371.644,2125.9087
6328.488,6036.593,5453.9067,5544.261,5459.203,5089.585,5239.1123,5379.8613,5676.0903,5890.4067,6605.0093,6649.1475,7153.0137,7488.142,7782.082,8160.5137,7699.248,6877.228,6367.9624,7221.0796,7340.8623,6748.5127,6764.4766,6320.866,5806.754,5732.1367,5498.036,5589.55,5249.108,5150.16,5211.8037,5332.463,5775.747,5795.1797,5631.4985,6983.838,5948.891,7131.5625,7760.6816,8043.751,8144.564,7800.2837,8011.825,7595.942,7300.9795,6925.467,7017.5176,6251.2603
15199.814,14538.231,12989.525,13224.698,13031.557,11954.885,12313.89,12742.367,13257.936,13771.845,15274.614,15669.119,16481.375,17222.281,18015.797,18702.746,17851.574,16221.2705,14833.591,16927.217,17491.99,15804.301,16141.932,15145.719,13661.425,13766.588,13020.065,13389.656,12417.365,12119.8125,11998.671,12294.104,13529.665,13527.871,13246.172,16034.64,13932.657,16232.404,17917.04,18554.443,19016.582,17820.8,18829.691,17719.922,17297.855,16296.33,16580.605,14624.228
635.94196,620.7143,607.918,603.71985,593.3742,569.00946,567.2949,568.43585,567.70966,569.73236,587.39026,589.8991,593.5152,605.1044,612.71277,626.86444,620.68054,608.0087,591.2712,631.9105,650.94684,625.45825,636.79095,634.13605,599.3192,614.13446,599.9359,601.9419,583.31573,570.4591,563.0707,555.30286,574.46356,564.6818,574.1019,588.10596,568.28217,589.1589,616.1167,625.0204,643.06616,627.0954,652.2167,644.171,645.75244,635.16864,648.99133,611.4287
261.0335,249.12407,219.87558,223.15848,219.02849,197.06573,204.95203,211.66644,223.50392,229.81383,260.46332,263.66766,285.84955,298.36053,315.4343,331.19724,310.55545,277.19867,254.35347,294.11633,305.20404,273.26535,281.88052,262.54794,232.39212,233.4179,221.6513,227.66016,206.37953,199.72249,199.42075,202.77226,226.09792,224.54729,219.4584,274.4212,231.5643,278.61038,312.7687,323.59262,332.94662,317.04294,331.5073,311.5732,303.40182,284.17215,291.57602,250.59445
