V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
37150.152,37089.543,37227.996,37168.66,37138.887,37149.87,36976.254,37105.434,37085.453,36961.035,36932.684,36986.67,37260.832
3694.255,3688.797,3705.3308,3695.5332,3694.273,3694.43,3676.7139,3690.8584,3690.664,3673.449,3671.199,3672.1072,3712.1475
9651.431,9650.633,9616.652,9656.195,9628.449,9626.457,9617.414,9644.486,9623.039,9599.66,9599.703,9626.026,9649.6
2298.1843,2257.1184,2270.2666,2329.1174,2261.1604,2286.1548,2224.9995,2310.637,2255.5522,2251.4905,2210.4995,2275.3137,2291.6907
1540.7552,1528.9888,1557.7651,1600.0917,1572.9927,1507.7814,1439.2262,1507.9722,1485.5123,1416.5488,1416.511,1478.1633,1539.6538
513.8845,497.608,536.1999,527.16693,508.53372,531.2254,468.01794,533.80676,483.59015,500.411,477.7459,484.09265,510.42548
2893.7617,2848.4429,2850.7263,2969.5347,2825.465,2814.9934,2686.7024,2839.5815,2738.9678,2738.437,2654.9492,2822.4966,2837.7961
2578.6794,2593.8254,2578.8418,2634.8308,2569.1611,2586.7434,2380.0435,2573.52,2483.9958,2472.9026,2410.3862,2551.755,2544.546
6779.2847,6757.412,6678.47,6779.1875,6578.7046,6687.0654,6423.121,6743.709,6622.431,6595.1147,6566.9688,6671.571,6606.209
5080.5547,5078.713,5040.5483,5081.7656,5059.5146,5057.0166,5029.4116,5067.1025,5038.142,5015.0264,5013.204,5040.6304,5109.6206
358.76462,352.1169,361.27216,357.89087,358.7795,356.93723,342.0144,352.2961,348.89215,342.38202,339.7614,341.2006,364.21667
1045.6567,1043.6526,1042.6803,1047.0435,1044.7897,1044.2357,1037.5256,1043.2195,1039.355,1038.7649,1035.974,1042.0427,1048.3153
2323.1074,2312.9092,2286.1416,2317.6794,2288.7473,2293.787,2274.65,2302.4802,2285.0957,2269.9155,2286.467,2309.2136,2293.8018
2323.364,2316.3398,2291.9321,2323.422,2291.9731,2295.8855,2277.8584,2308.6577,2289.185,2271.2695,2286.89,2309.3438,2297.8047
4355.1064,4299.7627,4145.675,4351.1807,4140.202,4163.789,4016.7446,4250.238,4106.943,3990.9915,4077.8496,4244.733,4195.1777
4355.1064,4299.7627,4145.675,4351.1807,4140.202,4163.789,4016.7446,4250.238,4106.943,3990.9915,4077.8496,4244.733,4195.1777
12041.895,12032.664,12013.127,12056.456,12034.401,12031.884,12016.436,12036.664,12011.449,12005.842,11994.567,12025.011,12074.553
4370.2114,4351.652,4349.6733,4376.0283,4364.3706,4352.796,4328.9634,4356.9287,4341.7476,4318.635,4316.7007,4326.7812,4376.917
2860.2449,2821.4602,2769.8977,2986.7026,2797.4456,2811.6792,2649.301,2791.0168,2741.38,2687.502,2584.7666,2847.087,2856.318
4248.198,4222.835,4280.3096,4345.659,4242.4326,4259.3374,4096.713,4227.0776,4166.398,4128.1226,4060.8364,4188.813,4231.8413
1980.2952,1944.6086,1938.6421,2043.3158,1976.7859,1937.7668,1857.4425,1942.5499,1879.6273,1820.7876,1808.8673,1911.9979,1953.0155
3615.0642,3504.4917,3580.6162,3730.4277,3565.0552,3561.0427,3449.867,3692.0269,3460.8855,3534.4424,3457.0657,3591.2708,3604.7693
787.6375,778.5912,788.23566,799.85297,786.3735,784.0404,763.94415,786.13824,775.41547,768.3817,761.8306,789.81854,781.04065
6708.847,6659.0938,6541.3545,7003.186,6539.1294,6658.864,6344.3447,6691.2466,6463.915,6392.885,6266.3276,6728.871,6656.603
1142.7207,1137.7886,1118.6083,1140.1758,1103.8706,1109.0614,1089.7288,1124.6045,1103.1896,1087.406,1098.7626,1127.7896,1102.396
2836.252,2827.4316,2812.7244,2878.8599,2842.3586,2806.717,2758.2527,2825.5505,2793.807,2745.235,2732.755,2790.659,2823.3767
1870.9402,1826.9298,1927.9374,1928.435,1852.2147,1958.9169,1679.3115,1810.7389,1756.7351,1705.4421,1621.2399,1760.7009,1923.4369
3574.5364,3546.8293,3426.3018,3936.8923,3433.1443,3422.4832,3070.0647,3467.8457,3181.797,3237.114,2935.8193,3424.8098,3524.9878
665.93835,664.9755,667.38165,680.3675,654.4318,680.0911,629.83746,673.13025,642.8402,655.25433,633.93304,651.51917,658.86444
3662.495,3569.2966,3654.6829,3722.3584,3640.7722,3620.7512,3522.583,3726.8093,3549.9316,3565.2886,3550.286,3619.5427,3634.833
807.5028,790.7603,793.5314,831.5963,797.3412,800.27966,743.347,803.9346,771.5006,772.8062,760.81366,795.3238,791.113
3984.903,3939.3208,3899.0537,4070.9136,3948.7566,3913.4832,3790.4048,3966.277,3819.508,3807.4082,3761.574,3949.2383,3950.2144
1481.6442,1451.6735,1490.2795,1483.9053,1462.3955,1470.5105,1396.4713,1456.322,1421.7634,1425.9518,1394.5919,1430.9425,1453.9761
1167.0188,1162.0822,1157.3529,1167.8834,1157.9812,1167.8345,1121.8248,1161.2104,1146.9624,1147.8707,1136.2935,1158.158,1152.908
1078.8143,1063.6353,1066.3068,1085.4446,1077.7347,1089.5442,1022.18823,1058.0195,1062.8542,1046.0093,1012.72754,1054.2444,1078.3633
15734.09,15562.425,15340.285,15990.841,15716.016,15822.6875,15006.597,15846.926,15201.645,15198.052,14847.02,15343.0625,16092.9795
2882.9194,2881.4746,2879.3162,2881.733,2873.1099,2882.283,2859.6902,2873.9438,2869.665,2864.7402,2860.02,2870.5916,2879.1606
3112.8245,3107.705,3117.281,3118.1533,3111.0706,3115.7341,3088.2842,3109.496,3102.2537,3094.5142,3088.6807,3096.711,3115.1445
5780.6816,5783.0605,5757.2925,5773.847,5754.422,5758.505,5735.287,5773.241,5751.538,5727.9927,5743.0405,5754.984,5772.2246
5775.8867,5778.054,5752.3853,5769.0083,5749.449,5753.604,5730.6123,5768.3438,5746.679,5723.001,5738.3447,5750.5073,5767.21
6195.18,6194.404,6188.5503,6205.1035,6194.6875,6196.9595,6190.091,6204.1157,6197.743,6192.395,6187.1816,6193.97,6206.8667
6205.446,6205.816,6199.48,6215.627,6205.735,6207.6226,6200.784,6214.5674,6208.9463,6203.4175,6197.907,6204.321,6217.5166
6200.3057,6200.1245,6194.017,6210.3564,6200.2144,6202.278,6195.4365,6209.3276,6203.361,6197.905,6192.561,6199.1323,6212.1865
5771.09,5773.0435,5747.471,5764.1743,5744.4717,5748.6963,5725.929,5763.448,5741.809,5718.0024,5733.6367,5746.021,5762.1934
2936.5586,2929.368,2924.2559,2939.7634,2928.8347,2931.4702,2914.6936,2928.8909,2924.7832,2916.3704,2909.0684,2922.4475,2937.5654
3291.3665,3290.5603,3286.1536,3302.898,3289.9836,3291.9797,3275.5906,3292.7456,3281.562,3273.184,3266.8064,3281.3755,3297.634
2935.3862,2928.2502,2923.0923,2938.617,2927.6628,2930.363,2913.5376,2927.6506,2923.6255,2915.2056,2907.8682,2921.328,2936.436
3040.4062,3042.6929,3027.7646,3046.4568,3029.4902,3029.8992,3020.95,3044.1045,3022.7249,3006.888,3004.9834,3016.2935,3052.2817
3262.7002,3255.8857,3248.885,3265.2046,3255.3928,3255.325,3240.8403,3250.8958,3252.0588,3237.398,3231.326,3245.7783,3269.4382
3264.0002,3257.1284,3250.1804,3266.4727,3256.6885,3256.5598,3242.1543,3252.2844,3253.3386,3238.7158,3232.6794,3247.0305,3270.6902
6643.488,6639.953,6632.75,6657.474,6639.176,6632.3154,6625.776,6647.892,6621.8696,6625.0244,6607.14,6628.342,6658.0547
7184.4375,7166.1055,7194.872,7205.8086,7183.903,7180.226,7151.4375,7195.3276,7169.17,7157.591,7146.351,7168.4263,7197.4854
1853.731,1857.2114,1819.4346,1844.0491,1823.2661,1822.8633,1789.2964,1846.6542,1808.4805,1774.1212,1787.0059,1813.1089,1853.3439
2513.4521,2511.0715,2513.0652,2518.5105,2511.6628,2512.238,2506.0767,2511.8247,2509.12,2504.8643,2501.0017,2506.939,2516.3647
4761.0425,4733.597,4737.306,4769.265,4710.387,4729.8677,4650.1484,4740.232,4703.5615,4705.096,4690.059,4756.3276,4735.581
2763.2407,2774.2036,2671.009,2744.2478,2661.1074,2673.1687,2582.8127,2743.2256,2648.6445,2527.5493,2594.0505,2655.551,2746.2917
2340.7466,2341.58,2306.1543,2361.7454,2340.0386,2335.5044,2333.24,2351.2437,2329.488,2311.0735,2294.6162,2324.3445,2396.1343
3596.9624,3550.1716,3608.0964,3634.9712,3590.804,3581.3262,3515.5066,3598.9116,3540.9343,3530.2527,3504.2803,3555.187,3595.881
2296.4648,2262.0881,2108.2163,2297.4912,2220.5857,2202.3538,2124.5435,2283.6812,2164.5417,2130.224,2110.6829,2179.3936,2298.1064
9024.625,9017.744,9006.114,9032.487,9015.978,9014.65,9008.02,9026.418,9009.777,8997.471,9005.517,9017.283,9027.455
