V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
680.5114,625.0778,532.825,589.4414,603.96106,503.58923,450.3109,539.6645,528.3697,571.35004,731.67914,641.4102,627.3374,719.8109,719.5512,789.18756,756.0442,673.2631,644.06537,792.8672,763.8131,696.73535,750.4585,665.20575,532.7587,571.54724,564.21484,590.7174,469.03876,577.23193,638.09155,652.93604,563.357,547.595,637.13367,652.94086,557.9053,589.0758,672.227,762.79443,786.28406,816.67456,870.4409,829.12726,798.2815,686.67633,839.83026,559.2991
3049.279,2806.514,2438.531,2643.7295,2690.295,2285.095,2023.2063,2373.4211,2311.6406,2477.4597,3125.1758,2735.3115,2707.956,3095.3262,3118.3801,3383.3906,3261.0146,2950.7278,2856.4568,3484.6052,3371.9321,3086.9854,3307.0066,3001.4758,2446.0112,2605.849,2581.9756,2638.462,2151.63,2587.6086,2843.473,2880.6318,2479.6687,2383.8225,2814.8032,2782.4006,2483.6343,2577.499,2908.4622,3288.5803,3391.6924,3559.605,3775.5881,3644.9517,3509.5269,3089.7644,3702.5703,2562.695
1224.6652,1132.841,1071.927,1125.2731,1094.4208,949.9514,870.6791,962.60004,929.0893,984.52893,1160.746,1063.1555,1007.28705,1128.2566,1115.6101,1210.1704,1166.3982,1106.8662,1071.7313,1287.0269,1289.5753,1194.2275,1260.4097,1204.663,991.4177,1088.901,1070.4836,1079.369,937.5536,1049.4111,1094.7938,1098.283,988.0561,948.36066,1107.5553,1044.8011,965.9933,982.6034,1071.0569,1173.0596,1241.7423,1271.2605,1354.383,1334.1831,1305.6115,1189.7845,1401.0,1035.3964
5271.7183,4943.6274,4607.5376,4827.846,4768.0596,4243.519,3814.4058,4125.6,3912.4426,3991.5786,4756.0366,4206.453,4087.2783,4592.303,4649.8667,4783.785,4855.0435,4737.385,4730.3784,5527.6226,5469.7773,5036.935,5430.9556,5277.1245,4402.3047,4834.346,4798.997,4753.8115,4155.1963,4619.6343,4812.3677,4708.724,4141.631,3936.524,4724.5093,4131.338,4194.7886,3960.3743,4379.656,4764.9814,5024.2554,5344.676,5690.5083,5698.857,5629.248,5207.6553,6105.202,4623.3164
3067.9753,2690.1636,2490.052,2659.41,2535.322,1954.24,1617.3394,1911.6943,1722.1575,1856.5928,2533.4277,2114.0444,1843.584,2365.4163,2306.4792,2583.1255,2548.402,2412.2615,2314.006,3197.958,3231.703,2801.7146,3138.109,3024.134,2071.7256,2572.4648,2505.2146,2518.7622,1906.4844,2342.08,2451.747,2366.0461,1929.3169,1744.804,2474.0168,1985.5061,1856.2803,1730.5043,2136.2432,2444.1313,2822.5613,2985.7397,3365.5266,3368.7427,3311.0388,2866.369,3766.9336,2266.9343
5769.3843,5700.1157,5501.6943,5851.06,6195.853,5858.1533,6044.9766,6658.4204,6562.6304,6879.6895,7404.6187,6835.852,6551.0176,6759.3145,6535.9517,6694.3335,6447.5137,5986.807,5845.7363,5984.9243,5668.6777,5655.434,6005.321,5459.721,5212.2583,5382.119,5437.3237,5887.639,5612.448,6285.4937,6026.5845,6298.455,6311.737,6613.139,5861.199,6983.082,5877.281,6086.2393,6398.0967,6458.239,6368.9272,6362.2393,6391.951,6111.75,6061.7056,5315.459,6146.424,5107.928
43039.066,39675.562,38217.33,39735.246,38375.215,33277.46,29993.932,32566.27,30612.102,31674.734,37710.812,33913.098,31427.945,36027.59,35652.586,37933.04,37713.14,36882.95,36316.95,44035.46,44240.98,40389.848,43592.375,42811.113,34281.79,39022.715,38361.71,38242.695,32907.977,36715.637,37444.062,36775.973,32579.719,30818.13,37479.99,32477.498,32029.45,30476.44,33919.09,36857.562,40067.81,41932.93,45218.91,45255.15,44995.88,41378.35,49374.348,36008.824
30380.984,28270.555,24513.363,26875.027,27724.205,23557.832,21859.229,25783.688,25371.414,27605.357,33927.24,30012.496,29290.824,32889.645,32636.88,35504.992,33806.434,30468.525,28961.145,34681.754,33501.688,31166.008,32951.83,29339.68,24477.777,25743.309,25518.52,26882.092,22219.734,26647.145,29211.354,29765.781,26506.314,26520.14,29087.988,30651.133,26124.11,27720.494,30775.557,34283.53,35280.383,35987.438,38174.22,36267.523,34874.457,30197.332,36446.695,25356.785
37098.547,35064.457,31673.418,33506.57,33912.742,30290.057,28029.906,31129.156,30407.639,31987.287,37667.605,34224.156,33823.305,37220.504,37465.703,39701.89,38794.73,36213.11,35262.78,40890.633,40009.18,37287.867,39377.918,36790.28,31831.977,33248.273,33043.617,33513.164,29182.156,32910.598,35373.574,35482.945,31941.742,31173.115,35096.28,34527.84,32098.293,32717.074,35605.844,39013.24,40113.105,41353.336,43429.168,42355.53,41134.785,37406.465,42930.867,32765.572
435.7471,420.88513,410.30722,419.50015,416.01877,394.63193,382.70657,396.75348,389.19608,398.6537,425.83698,410.77826,401.24326,419.84125,418.08456,431.48706,427.57224,417.5396,413.19778,445.80508,445.53745,430.88483,441.26483,432.34924,399.4942,415.20386,411.9709,414.4831,391.183,409.5439,417.17065,415.76968,398.7152,393.09396,418.43564,407.1039,396.12296,396.58765,412.38162,425.86523,437.79825,442.28857,455.9062,452.03177,448.4056,429.95062,462.06207,405.7887
