V1,V2,V3,V4,V5,V6,V7,V8
6818.541,6788.529,6818.4897,6764.905,6839.4595,6785.1035,6825.4766,6774.0967
7032.3413,7038.997,7068.424,6997.219,7050.0283,7034.7227,7080.4595,7009.617
7152.547,7173.884,7188.1997,7114.418,7185.8296,7205.8857,7239.8203,7121.4326
7647.306,7669.589,7679.9033,7617.2666,7661.753,7668.676,7694.146,7632.781
991.289,988.49805,1214.78,1443.1163,1036.0986,997.94293,1288.9868,1448.146
9813.075,9834.766,9896.353,9926.26,9984.758,9964.813,10051.572,10001.845
3352.0212,3359.6326,3348.2153,3361.7937,3381.5667,3382.2236,3375.2976,3375.7551
2597.6438,2588.575,2607.753,2625.7092,2636.2163,2616.891,2645.2273,2641.7563
2487.4976,2483.8193,2485.8777,2498.795,2506.324,2497.0417,2504.2407,2508.2405
2538.0396,2536.2805,2555.6428,2554.745,2538.8013,2536.3936,2558.2708,2554.8127
1157.531,1155.2253,1153.5424,1152.387,1156.5864,1153.6685,1154.2649,1152.645
3268.8657,3109.5173,3320.6216,3443.9336,3337.664,3144.527,3405.523,3457.2217
1757.6398,1773.7152,1789.7742,1776.7152,1802.2982,1802.6804,1826.3173,1792.7257
12591.273,12671.938,12696.109,12666.797,13076.988,13033.649,13159.106,12931.669
1220.1835,1226.1832,1323.8135,1344.8676,1241.6514,1234.348,1348.311,1349.8585
2028.8159,2051.828,2132.4412,2121.7822,2124.0027,2115.884,2217.9458,2158.161
2437.0798,2479.3125,2457.1929,2474.7583,2490.985,2520.1116,2505.3901,2499.6692
4728.7075,4642.5186,4923.203,4823.8843,4752.1562,4654.7627,4971.6777,4826.901
5718.5454,5786.7764,5827.0747,5829.764,5908.547,5939.221,6005.1753,5933.516
6289.8643,6336.755,6335.1904,6387.622,6437.978,6441.537,6466.8613,6456.1196
9690.968,9758.449,9795.886,9875.648,9906.059,9920.683,9999.686,9985.842
5035.472,5153.2344,5228.5703,5279.2803,5154.821,5216.738,5320.1177,5306.4136
6009.4326,5985.3345,6098.7285,6148.7666,6109.426,6055.676,6196.888,6186.4087
2330.344,2326.9578,2352.1704,2335.5525,2332.3447,2328.117,2357.0132,2337.9678
1368.3073,1371.2543,1391.4521,1373.0211,1365.6213,1371.6831,1393.0093,1371.0687
7680.198,7241.7085,7426.816,8865.817,7571.321,7055.394,7545.737,8764.252
9196.701,9159.292,9239.151,9183.546,9199.138,9151.9,9256.985,9181.714
5028.0444,5061.713,4993.2124,4931.14,5099.9756,5123.2764,5076.122,4982.457
1923.4764,1895.7448,1885.6364,1876.0005,1926.9904,1887.7302,1889.8667,1881.2007
3099.7285,3120.0706,3068.8364,3075.1077,3102.2031,3118.7263,3071.7893,3077.7483
2491.3032,2525.2117,2507.7004,2507.636,2496.0715,2530.5642,2515.7002,2509.6953
4798.528,4719.9424,4698.148,4684.8306,4863.9795,4757.9443,4763.909,4719.718
8249.873,8341.151,8332.111,8286.71,8344.671,8418.327,8414.581,8334.329
7148.6826,7258.44,7249.254,7201.84,7180.8223,7290.671,7286.8677,7223.723
10063.159,10200.339,10170.212,10023.797,10102.522,10229.944,10204.92,10051.623
9119.216,9099.824,9100.902,9084.057,9212.264,9179.843,9195.834,9124.069
4506.29,4518.459,4468.744,4480.0166,4533.907,4548.0312,4520.0034,4515.2935
6326.651,6283.254,6322.1626,6339.1724,6355.518,6281.4526,6378.494,6344.078
5179.9336,5498.9004,6017.1274,6006.7915,5233.8125,5553.744,6136.96,6042.421
5219.0444,5268.051,5258.2227,5244.217,5280.7915,5321.116,5317.73,5280.3936
1910.4058,1911.9491,1914.5477,1907.7812,1924.714,1919.6396,1925.5404,1912.0924
2121.017,2116.1167,2118.2334,2112.3723,2146.1787,2130.7764,2140.8171,2122.008
5392.6045,5463.8037,5426.729,5424.3027,5451.8706,5516.17,5488.8096,5461.9883
1278.928,1290.4409,1281.3872,1275.1766,1292.1661,1299.3296,1291.7073,1279.3246
1924.4833,1921.3973,1924.9323,1920.734,1935.3802,1927.2903,1933.3877,1924.2919
3376.0754,3396.2112,3390.8423,3367.2334,3386.1497,3394.6587,3402.3132,3374.3054
9607.062,9684.414,9684.457,9656.367,9661.38,9712.761,9731.053,9668.627
1419.2678,1401.8463,1433.0913,1431.8668,1446.821,1413.7766,1457.8258,1443.1023
8858.571,9055.121,9068.084,8927.9375,8971.544,9168.981,9192.277,9007.401
9212.208,9425.074,9401.157,9283.008,9279.219,9502.855,9494.27,9335.746
1482.7563,1520.4158,1520.9601,1456.741,1507.9553,1541.8976,1544.6487,1476.2736
5770.3306,5795.2925,5801.611,5766.1577,5773.763,5796.1562,5814.0127,5769.22
2615.435,2618.1128,2639.0303,2594.4038,2629.9707,2620.3486,2648.9375,2594.2903
1653.516,1652.3088,1658.9202,1659.3949,1668.3643,1660.774,1673.0392,1665.2676
6872.573,6914.166,6871.7153,6872.569,6908.76,6936.7407,6908.2397,6886.7275
2939.5308,2943.9287,2988.4211,2914.6558,2955.153,2950.1863,2994.4106,2911.6528
1470.8542,1483.5255,1482.7465,1473.2202,1491.5503,1499.5846,1500.3779,1482.1663
7310.2847,7353.181,7337.541,7270.253,7319.53,7354.9175,7346.761,7274.1543
9401.701,9515.976,9513.536,9365.325,9436.6045,9536.44,9534.657,9358.219
1382.3073,1400.5923,1406.5793,1393.4303,1392.6678,1404.5803,1414.8533,1396.6726
2811.7046,2881.7712,2916.812,2923.9187,2959.4155,2989.0728,3041.1182,2986.371
2084.5913,2115.653,2131.2441,2104.911,2122.4956,2137.5544,2162.6956,2117.6472
2916.9512,3042.0195,3090.0508,3083.5884,3213.2976,3271.63,3347.488,3217.8845
3218.4219,3279.8115,3326.93,3361.764,3434.5352,3433.165,3511.061,3450.5854
4742.011,4884.4883,4956.4062,4935.6523,4963.095,5035.3604,5130.3604,5025.969
6263.94,6526.845,6622.0566,6655.0396,6764.8877,6907.7866,7064.4834,6879.2456
10825.164,11136.721,11232.925,11213.517,11470.443,11628.415,11784.511,11508.137
3224.3984,3279.8447,3316.7937,3269.1594,3291.8977,3322.4714,3370.8271,3299.0417
1097.2621,1114.5923,1101.3701,1092.1168,1115.2148,1124.8849,1119.1072,1103.0457
10698.69,10762.779,10804.511,10787.54,10811.273,10847.715,10903.599,10836.709
4942.103,5002.6416,4902.829,4890.7773,4962.069,4986.407,4966.566,4918.64
3932.513,3934.808,3898.7927,3884.7563,4005.896,3980.0,3963.9604,3912.0923
5239.9365,5325.8545,5346.8877,5368.293,5449.8247,5489.1396,5533.8813,5464.9624
3038.6667,3092.3032,3107.6455,3118.3496,3154.2954,3180.5635,3208.5916,3171.434
1605.7465,1618.861,1623.3743,1627.6948,1637.1677,1643.2313,1651.6122,1642.4335
13533.892,13634.369,13675.127,13726.769,13810.094,13844.318,13922.633,13855.281
17723.574,18024.627,18141.625,18211.129,18402.404,18554.545,18748.236,18521.61
17281.951,17576.484,17691.777,17760.63,17948.652,18096.822,18287.555,18065.69
1686.1799,1714.0941,1730.039,1725.4259,1740.4258,1751.7361,1774.5123,1747.154
6802.2373,6814.895,6812.3853,6802.0186,6803.0576,6817.0947,6814.1567,6800.146
4520.2793,4527.0664,4525.439,4519.4326,4520.746,4527.016,4527.506,4519.496
2189.1719,2198.2727,2193.7568,2190.4492,2195.2922,2206.5503,2207.845,2189.7268
3372.638,3413.0962,3400.4683,3398.2676,3414.9211,3428.527,3433.904,3380.4521
12210.816,12231.62,12204.665,12226.577,12254.495,12258.164,12262.076,12217.155
33414.824,34540.95,35142.74,34458.016,35328.332,35988.363,36865.793,35370.055
1100.4644,1103.9388,1101.3474,1103.3947,1104.1492,1105.2028,1105.1284,1101.5193
2369.1729,2390.874,2399.4768,2402.3367,2415.3438,2428.1675,2442.563,2425.1562
3793.4927,3813.868,3787.2395,3824.359,3828.321,3834.5037,3836.8547,3821.6394
8223.166,8260.794,8193.333,8288.553,8316.451,8333.1455,8343.331,8296.855
8483.633,8313.68,8333.531,8402.168,8502.225,8313.755,8341.586,8355.024
1072.1492,1076.1117,1073.1492,1073.6445,1077.0312,1079.4213,1079.2721,1072.5083
7201.312,7219.0903,7214.178,7196.0103,7198.9346,7212.2373,7213.798,7192.016
1568.5328,1586.8884,1593.909,1596.0403,1604.6792,1615.9452,1627.0961,1613.5034
3986.9275,3975.649,3971.3804,3973.5903,3980.5688,3966.8398,3975.0605,3974.3066
5918.2173,5910.6826,5917.5977,5916.185,5930.826,5921.2275,5937.217,5927.7383
9095.803,9049.108,9052.347,8928.653,9077.258,9012.614,9051.402,8921.507
21129.988,21304.713,21366.752,21370.771,21465.078,21580.09,21681.15,21541.838
2419.8342,2421.3704,2418.5527,2423.2012,2439.4854,2439.1987,2449.6108,2429.3494
